01.06.2020 00:00;Bel_A53_M5_3007;Vwz_A53_M5_3007;Bel_A57_M2_1138;Vwz_A57_M2_1138;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_D31;Vwz_D31;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_D43;Vwz_D43;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H53_M3_3006;Vwz_H53_M3_3006;Bel_H53_M6_1140;Vwz_H53_M6_1140;Bel_H57_M1_1137;Vwz_H57_M1_1137;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
01.06.2020 00:00;11;10990;0;0;1;11630;11;10260;0;0;0;3600000;0;3600000;121;117800;0;0;0;0;7;6990;0;0;8;7680;0;0;0;0;0;0;0;0
01.06.2020 01:00;1;1000;0;0;3;1680;8;6230;0;0;0;3600000;0;3600000;68;44680;0;0;0;0;2;2000;0;0;1;1290;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;1;990;4;2770;0;0;0;3600000;0;3600000;50;30070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;1;1000;0;0;3;2360;12;9250;0;0;0;3600000;0;3600000;23;14150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;1;1000;0;0;1;12840;1;790;2;2160;0;3600000;0;3600000;20;12870;0;0;0;0;3;3000;0;0;3;3000;0;0;0;0;0;0;0;0
01.06.2020 05:00;5;4990;0;0;2;2360;4;4930;0;0;0;3600000;0;3600000;25;16890;0;0;0;0;6;5970;0;0;7;6990;0;0;0;0;0;0;0;0
01.06.2020 06:00;10;9990;0;0;6;137540;6;12710;1;13170;0;3600000;0;3600000;30;16380;0;0;0;0;12;11990;0;0;11;10970;0;0;0;0;0;0;0;0
01.06.2020 07:00;10;10000;0;0;5;224631;7;7010;0;0;0;3600000;0;3600000;44;26700;0;0;0;0;11;11000;0;0;11;11000;0;0;0;0;0;0;0;0
01.06.2020 08:00;10;9990;0;0;6;170732;12;13420;0;0;0;3600000;0;3600000;46;32120;0;0;0;0;11;11000;0;0;11;11000;0;0;0;0;0;0;0;0
01.06.2020 09:00;10;9000;0;0;15;342930;25;24440;2;1980;0;3600000;0;3600000;131;88083;0;0;0;0;11;10990;0;0;11;11330;0;0;0;0;0;0;0;0
01.06.2020 10:00;10;9980;0;0;32;595931;40;55990;1;690;0;3600000;0;3600000;221;161227;0;0;0;0;11;10980;0;0;11;11610;0;0;0;0;0;0;0;0
01.06.2020 11:00;10;9970;0;0;25;266786;62;135526;0;0;0;3600000;0;3600000;282;205356;0;0;0;0;11;10960;0;0;11;11000;0;0;0;0;0;0;0;0
01.06.2020 12:00;14;13980;0;0;27;474898;62;187680;0;0;0;3600000;0;3600000;311;209719;0;0;0;0;13;13000;0;0;13;13000;0;0;0;0;0;0;0;0
01.06.2020 13:00;20;19960;0;0;24;416712;86;260365;3;1990;0;3600000;0;3600000;331;282076;0;0;0;0;20;19960;0;0;20;19990;0;0;0;0;0;0;0;0
01.06.2020 14:00;19;18970;0;0;29;486735;82;157966;4;34400;0;3600000;0;3600000;386;291687;0;0;0;0;21;20990;0;0;21;20940;0;0;0;0;0;0;0;0
01.06.2020 15:00;21;20970;0;0;27;419494;86;150680;4;1850;1;3516320;1;3515430;348;287340;0;0;0;0;21;20960;0;0;21;20990;0;0;0;0;0;0;0;0
01.06.2020 16:00;20;21683;0;0;29;494073;78;206292;8;23350;0;3600000;0;3600000;397;461888;0;0;0;0;22;21970;0;0;23;22940;0;0;0;0;0;0;0;0
01.06.2020 17:00;20;19960;0;0;32;532265;91;232380;11;72227;1;3511330;1;3511330;397;408265;0;0;0;0;21;20990;0;0;21;20960;0;0;0;0;0;0;0;0
01.06.2020 18:00;18;17980;0;0;33;399862;83;231760;7;48200;0;3600000;0;3600000;395;467625;0;0;0;0;21;21800;0;0;21;20970;0;0;0;0;0;0;0;0
01.06.2020 19:00;18;17990;0;0;27;244951;78;332263;6;86800;0;3600000;0;3600000;406;515865;0;0;0;0;18;17980;0;0;19;18990;0;0;0;0;0;0;0;0
