01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_T1;Vwz_T1;Bel_T2;Vwz_T2;Bel_T3;Vwz_T3;Bel_T4;Vwz_T4
01.06.2020 00:00;22;567647;15;372735;5;37180;0;0;1;960;0;0;0;0
01.06.2020 01:00;10;225545;6;251650;6;96856;0;0;2;2460;0;0;0;0
01.06.2020 02:00;7;302761;4;146440;7;112805;0;0;0;0;0;0;1;470
01.06.2020 03:00;3;148300;4;61610;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;2;44150;1;72220;1;400;0;0;0;0;0;0;0;0
01.06.2020 05:00;3;28050;5;218500;3;45370;0;0;0;0;0;0;2;1960
01.06.2020 06:00;9;424092;4;112017;2;71540;0;0;0;0;1;1520;2;1160
01.06.2020 07:00;9;244196;5;236610;4;111130;2;1320;0;0;0;0;3;5270
01.06.2020 08:00;27;680187;22;756617;7;36984;0;0;2;1380;3;3690;4;3150
01.06.2020 09:00;50;998582;21;448423;17;613595;1;690;11;11559;5;4760;0;0
01.06.2020 10:00;75;1376810;45;707838;17;596332;7;23080;4;4490;8;6040;6;3940
01.06.2020 11:00;88;1527238;56;853732;22;378821;6;2820;0;0;11;10980;10;8900
01.06.2020 12:00;85;1535792;53;908018;39;613467;4;17380;4;2400;6;3710;25;15984
01.06.2020 13:00;92;1379311;53;809157;31;453342;6;4830;10;19520;13;12010;25;29150
01.06.2020 14:00;104;1351517;65;963027;26;363209;1;520;10;6705;19;12150;16;9418
01.06.2020 15:00;76;1413739;54;1274909;24;467633;5;4160;10;22670;17;17840;15;11644
01.06.2020 16:00;104;2112896;57;579787;36;596715;5;3670;9;7800;7;4590;10;6575
01.06.2020 17:00;101;1677696;72;995911;31;382866;10;7590;22;39730;14;10980;14;9450
01.06.2020 18:00;98;2003219;67;1103108;37;769942;12;9320;17;16120;14;9198;17;12840
01.06.2020 19:00;85;1874196;57;791389;30;734840;9;8370;22;28400;18;13380;13;9100
01.06.2020 20:00;83;1038138;44;653888;23;220928;7;5690;9;6910;13;9430;9;6890
01.06.2020 21:00;59;896969;33;699924;20;342578;3;1170;8;4735;11;6210;11;6960
01.06.2020 22:00;45;816067;21;514760;15;179446;3;4890;7;7240;5;4050;1;860
01.06.2020 23:00;25;713719;12;157570;9;129790;0;0;1;1080;2;1140;0;0
02.06.2020 00:00;10;238560;3;105890;5;93820;0;0;0;0;0;0;0;0
02.06.2020 01:00;7;242260;4;158701;6;132740;0;0;0;0;0;0;1;530
02.06.2020 02:00;2;66160;2;55970;2;42950;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;3;30880;0;0;0;0;0;0;0;0
02.06.2020 04:00;6;219905;2;100045;3;94685;0;0;0;0;0;0;0;0
02.06.2020 05:00;21;650147;11;148180;9;276480;1;1190;1;570;3;1860;0;0
02.06.2020 06:00;68;1123923;32;685359;27;689961;1;500;0;0;9;5460;6;3820
02.06.2020 07:00;169;2162189;78;1288012;56;988972;5;3208;36;29610;3;1790;15;8976
02.06.2020 08:00;158;2241576;91;1471701;52;601462;19;16560;8;8970;10;11940;3;2260
02.06.2020 09:00;147;2095316;88;1245768;60;1241547;7;3960;9;21305;7;5170;10;5200
02.06.2020 10:00;127;2063020;90;1458082;49;925198;6;4950;12;8450;26;20779;10;6180
02.06.2020 11:00;147;1954743;103;1324285;40;945828;10;8930;7;3570;12;11106;25;23020
02.06.2020 12:00;121;1805580;97;1463339;35;566030;9;9860;16;44269;25;20870;7;3080
02.06.2020 13:00;134;2011562;102;1516691;41;789632;7;3086;15;15430;10;14246;14;5910
02.06.2020 14:00;126;2179867;99;1410810;48;1007105;9;10430;11;10920;12;9909;10;6510
02.06.2020 15:00;136;2279802;122;1356094;46;948060;24;63950;22;23925;9;7030;9;8679
02.06.2020 16:00;177;2518967;118;1532464;56;1123633;12;7720;19;68640;30;25720;18;16084
02.06.2020 17:00;147;2441228;131;1644858;61;1120887;7;9580;34;75350;17;11510;19;11970
02.06.2020 18:00;159;2351343;112;1482741;38;587106;21;19567;28;49766;12;37080;23;13407
02.06.2020 19:00;117;2111111;60;1102109;36;720056;15;11070;11;12610;17;13169;16;9547
02.06.2020 20:00;83;1154518;38;751677;26;316684;2;1640;9;16830;21;37910;15;10510
02.06.2020 21:00;61;1003774;43;572686;24;372116;0;0;6;6410;5;11260;1;730
02.06.2020 22:00;38;776074;25;577020;14;212505;1;850;14;31860;3;6090;3;4220
02.06.2020 23:00;21;429203;12;250170;6;153443;2;3730;2;2340;1;1000;2;1090
03.06.2020 00:00;7;143925;3;107697;8;146560;0;0;0;0;1;390;2;1280
03.06.2020 01:00;6;122577;6;251911;1;8180;0;0;0;0;0;0;0;0
03.06.2020 02:00;4;118370;1;30470;3;23760;0;0;0;0;0;0;0;0
03.06.2020 03:00;3;71781;2;85620;1;52080;0;0;0;0;0;0;0;0
03.06.2020 04:00;5;211705;1;40390;4;143470;0;0;0;0;0;0;0;0
03.06.2020 05:00;14;399672;7;166960;14;292618;1;540;0;0;0;0;3;2100
03.06.2020 06:00;67;1288190;34;704134;20;522399;4;3970;1;630;1;850;6;4690
03.06.2020 07:00;133;1957467;92;1104130;58;1080830;10;6770;9;7010;7;5260;6;4550
03.06.2020 08:00;144;2217753;86;1139105;59;908635;10;15340;15;15960;12;43930;15;11680
03.06.2020 09:00;129;1870535;90;1600942;51;1114566;4;2430;11;10550;9;9110;13;8070
03.06.2020 10:00;134;2115598;81;1316695;69;1299300;18;9418;13;9539;10;8160;19;12887
03.06.2020 11:00;128;2006461;73;1166858;49;957548;8;5550;14;35920;16;8070;17;11330
03.06.2020 12:00;139;2075060;110;1295524;49;975746;3;5540;41;29830;14;15460;25;14790
03.06.2020 13:00;144;2383384;92;1157037;46;791355;18;21070;13;12850;9;6100;27;16690
