01.06.2020 00:00;Bel_AF_BS_32;Vwz_AF_BS_32;Bel_AF_BS_35;Vwz_AF_BS_35;Bel_AF_BS_38;Vwz_AF_BS_38;Bel_AF_BS_41;Vwz_AF_BS_41;Bel_AF_T1_T2;Vwz_AF_T1_T2;Bel_AF_T3_T4;Vwz_AF_T3_T4;Bel_D31;Vwz_D31;Bel_D32;Vwz_D32;Bel_Reserve;Vwz_Reserve;Bel_V12;Vwz_V12;Bel_V21;Vwz_V21;Bel_V22;Vwz_V22;Bel_V23;Vwz_V23;Bel_V24;Vwz_V24
01.06.2020 00:00;0;0;0;0;0;0;1;1120;0;3600000;0;3600000;3;14400;8;17730;0;0;8;61050;4;3380;81;94701;69;100930;4;6310
01.06.2020 01:00;0;0;0;0;0;0;1;1050;0;3600000;0;3600000;0;0;4;1630;0;0;15;85590;4;5840;56;49940;34;49650;4;4610
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;3600000;0;3600000;0;0;2;1260;0;0;10;67230;6;14140;32;39850;17;25010;2;2400
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;3600000;0;3600000;1;18270;6;14940;0;0;7;49242;4;3330;21;30470;17;18360;5;3660
01.06.2020 04:00;0;0;0;0;0;0;1;920;0;3600000;0;3600000;0;0;0;0;0;0;2;13300;3;2880;20;21060;11;8790;1;1340
01.06.2020 05:00;0;0;0;0;0;0;0;0;0;3600000;0;3600000;1;450;5;18540;0;0;33;417680;12;48120;57;76200;31;35960;22;33970
01.06.2020 06:00;0;0;0;0;0;0;1;1250;0;3600000;0;3600000;2;97156;6;6300;0;0;17;734171;13;15780;34;45021;48;40460;46;45400
01.06.2020 07:00;0;0;1;760;0;0;0;0;0;3600000;0;3600000;2;2520;5;3150;0;0;25;756862;13;10180;54;58060;50;40070;45;39970
01.06.2020 08:00;0;0;1;740;0;0;0;0;0;3600000;0;3600000;2;3600;5;2970;0;0;21;731891;8;25480;86;885515;66;65518;64;61728
01.06.2020 09:00;1;2880;0;0;0;0;6;7592;0;3600000;0;3600000;7;115110;10;5580;0;0;34;996901;23;126720;141;126412;118;104240;110;108760
01.06.2020 10:00;2;1950;0;0;0;0;1;1410;0;3600000;0;3600000;9;242330;14;66150;0;0;41;995232;27;47060;220;317808;215;271030;204;298510
01.06.2020 11:00;0;0;2;1700;0;0;2;2870;0;3600000;0;3600000;18;33120;24;76530;0;0;64;1062106;37;74960;248;253670;256;256178;267;296762
01.06.2020 12:00;1;650;4;3680;0;0;4;3410;0;3600000;0;3600000;18;144070;27;46530;0;0;62;1291607;54;110162;285;383142;265;182178;269;257360
01.06.2020 13:00;0;0;2;1920;0;0;6;5270;0;3600000;0;3600000;13;72000;40;22880;0;0;74;1569573;75;627963;292;488490;277;404841;293;403521
