01.06.2020 00:00;Bel_T10_b;Vwz_T10_b;Bel_T10_s;Vwz_T10_s;Bel_T13_b;Vwz_T13_b;Bel_T13_s;Vwz_T13_s;Bel_T1_b;Vwz_T1_b;Bel_T1_s;Vwz_T1_s;Bel_T3_b;Vwz_T3_b;Bel_T3_s;Vwz_T3_s;Bel_T4_b;Vwz_T4_b;Bel_T4_s;Vwz_T4_s;Bel_T5_b;Vwz_T5_b;Bel_T5_s;Vwz_T5_s;Bel_T8_b;Vwz_T8_b;Bel_T8_s;Vwz_T8_s;Bel_T9_b;Vwz_T9_b;Bel_T9_s;Vwz_T9_s;Bel_VD11;Vwz_VD11;Bel_VD12;Vwz_VD12;Bel_VD13;Vwz_VD13;Bel_VK_iO;Vwz_VK_iO
01.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;1;600;0;0;0;0;0;0;0;0;0;0;2;1200;87;64200;89;27600;5;0;0;3600000
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;1;600;2;1200;60;33000;55;20400;2;0;0;3600000
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1800;0;0;0;0;0;0;0;0;40;28200;26;26400;0;0;0;3600000
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;14400;31;6600;1;0;0;3600000
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;18;1200;15;3600;0;0;0;3600000
01.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78;60600;42;22200;2;1200;0;3600000
01.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;89400;64;78000;4;5400;0;3600000
01.06.2020 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1800;2;1800;0;0;0;0;0;0;0;0;0;0;3;2400;77;137400;63;72000;5;1800;0;3600000
01.06.2020 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4200;4;3600;0;0;6;5400;0;0;2;1200;2;1200;4;2400;100;85800;92;175200;11;5400;0;3600000
01.06.2020 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;1;600;1;2400;7;4800;0;0;2;1200;2;1800;3;1800;168;403200;162;286200;11;23400;0;3600000
01.06.2020 10:00;0;0;0;0;0;0;0;0;1;3000;2;1800;0;0;0;0;5;4800;11;6600;1;3000;9;6600;0;0;18;15000;8;9600;12;7200;273;677400;261;453600;30;149400;0;3600000
01.06.2020 11:00;0;0;0;0;0;0;0;0;1;3000;3;2400;0;0;0;0;5;3600;10;8400;0;0;16;12600;0;0;6;5400;8;4800;10;6000;310;624000;329;441600;46;101400;0;3600000
01.06.2020 12:00;0;0;0;0;0;0;0;0;2;6000;2;1200;0;0;2;1800;7;4800;9;6600;0;0;25;21000;0;0;9;5400;9;7800;13;10200;355;720000;323;319200;152;262200;0;3600000
01.06.2020 13:00;0;0;0;0;0;0;0;0;0;0;2;1200;0;0;2;1200;8;6000;12;7200;1;2400;12;8400;0;0;24;19800;14;13200;20;15600;376;851400;379;349200;96;586800;0;3600000
01.06.2020 14:00;0;0;0;0;0;0;0;0;0;0;5;4200;0;0;0;0;9;7800;19;12000;0;0;17;12600;0;0;28;22800;10;10800;14;9600;420;850800;427;762000;57;145200;0;3600000
01.06.2020 15:00;0;0;0;0;0;0;0;0;2;6000;4;3000;0;0;0;0;10;6000;13;7800;0;0;23;16200;0;0;14;9600;20;16800;20;13200;375;769800;404;533400;57;57000;0;3600000
01.06.2020 16:00;0;0;0;0;0;0;0;0;1;3000;1;600;0;0;2;1200;16;15000;16;11400;0;0;17;12000;0;0;22;14400;11;7800;17;11400;405;724800;420;469200;72;107400;0;3598800
01.06.2020 17:00;0;0;0;0;0;0;0;0;1;3000;7;6000;0;0;0;0;13;19800;23;18000;1;3000;27;18000;0;0;21;16200;21;24600;20;15600;412;660000;428;585600;68;101400;0;3600000
01.06.2020 18:00;0;0;0;0;0;0;0;0;3;9000;2;1200;0;0;0;0;14;15600;13;9000;0;0;29;22800;0;0;19;15000;19;25800;27;19200;370;721800;427;677400;75;264000;0;3600000
01.06.2020 19:00;0;0;0;0;0;0;0;0;1;2400;2;1200;0;0;5;4800;12;9600;14;9000;1;3000;17;11400;0;0;16;10200;20;21000;19;13200;357;636600;389;633000;67;184800;0;3600000
01.06.2020 20:00;0;0;0;0;0;0;0;0;0;0;2;1200;0;0;0;0;36;43200;23;16200;1;3000;20;15600;0;0;13;9000;18;19200;24;16800;325;702000;326;763200;50;171000;0;3600000
01.06.2020 21:00;0;0;0;0;0;0;0;0;2;6000;2;1200;0;0;0;0;9;10800;11;9000;0;0;14;9600;0;0;10;7800;15;16800;18;15000;268;550800;285;575400;43;160200;0;3600000
01.06.2020 22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4200;7;4200;0;0;9;7200;0;0;7;6000;14;16800;13;7800;197;178200;171;127800;17;4800;0;3600000
01.06.2020 23:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;1;600;2;1200;0;0;2;1800;0;0;0;0;4;2400;3;1800;117;88200;96;46200;4;1200;0;3600000
02.06.2020 00:00;0;0;0;0;0;0;0;0;1;2400;0;0;0;0;0;0;1;600;2;1200;0;0;0;0;0;0;2;1800;2;2400;1;600;56;15000;49;50400;0;0;0;3600000
02.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;2;1200;35;72000;22;7200;2;0;0;3600000
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2400;15;600;2;0;0;3600000
02.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;58200;23;3600;1;0;0;3600000
02.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;45;9600;46;29400;3;600;0;3600000
02.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1200;2;1200;0;0;2;1200;0;0;1;600;0;0;3;1800;269;234600;250;226200;11;8400;0;3600000
02.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;5;3600;4;2400;0;0;7;5400;0;0;10;7200;2;1200;4;2400;534;1258200;515;1098000;46;94800;0;3600000
02.06.2020 07:00;0;0;0;0;0;0;39;31200;1;3000;0;0;0;0;4;3600;4;3000;4;2400;2;6000;15;11400;0;0;26;20400;7;12000;11;7200;641;1261800;676;1396200;79;193200;0;3600000
02.06.2020 08:00;0;0;0;0;0;0;10;6600;2;6000;3;1800;0;0;10;9600;7;4800;11;7800;0;0;17;11400;0;0;22;15000;5;4200;19;12600;610;1505400;660;1455000;124;311400;0;3600000
02.06.2020 09:00;0;0;0;0;0;0;2;1800;3;9000;6;4200;0;0;7;4800;11;7800;20;13200;2;6000;15;10200;0;0;26;19800;10;15000;15;10200;596;1624200;669;1393800;137;327600;0;3600000
02.06.2020 10:00;0;0;0;0;0;0;5;3000;6;18000;7;4800;0;0;6;4200;24;18000;20;13200;2;5400;31;25800;0;0;22;16800;16;13200;21;15600;586;1704600;612;1495800;177;428400;0;3600000
02.06.2020 11:00;0;0;0;0;0;0;8;5400;11;32400;10;6600;0;0;1;600;19;20400;21;14400;1;3000;25;20400;0;0;34;25800;11;12000;24;17400;587;1520400;613;1264200;162;333600;0;3600000
02.06.2020 12:00;0;0;0;0;0;0;8;5400;0;0;9;6600;0;0;0;0;10;11400;25;18000;0;0;16;11400;0;0;26;19200;8;6600;15;10200;578;1490400;608;1218600;139;252000;0;3600000
02.06.2020 13:00;0;0;0;0;0;0;3;3000;3;9000;8;4800;0;0;3;1800;14;12000;23;14400;0;0;18;13200;0;0;26;19200;18;15000;29;21000;564;1393200;620;1065000;144;290400;0;3600000
02.06.2020 14:00;0;0;0;0;0;0;0;0;3;9000;12;8400;0;0;1;600;13;15600;21;15000;0;0;15;11400;0;0;19;12600;18;18600;32;25800;561;1308600;623;1100400;145;308400;0;3600000
02.06.2020 15:00;0;0;0;0;0;0;0;0;6;18000;15;12000;0;0;8;6000;24;24600;27;19800;0;0;20;14400;0;0;26;19800;34;35400;32;24600;576;1425000;625;1297800;150;456000;0;3600000
02.06.2020 16:00;0;0;0;0;0;0;0;0;7;19800;9;6000;0;0;5;4200;14;12000;26;18600;0;0;20;15000;0;0;18;13200;17;13800;20;12600;608;1522800;631;1281600;151;313200;0;3600000
