01.06.2020 00:00;Bel_D51;Vwz_D51;Bel_D52;Vwz_D52;Bel_D53;Vwz_D53;Bel_D54;Vwz_D54;Bel_D71;Vwz_D71;Bel_D72;Vwz_D72;Bel_D91;Vwz_D91;Bel_D92;Vwz_D92;Bel_D93;Vwz_D93;Bel_D94;Vwz_D94;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_MP3;Vwz_MP3;Bel_MP4;Vwz_MP4;Bel_MP5;Vwz_MP5;Bel_MP6;Vwz_MP6;Bel_MP7;Vwz_MP7;Bel_TBS35;Vwz_TBS35;Bel_TBS37;Vwz_TBS37;Bel_TBS38;Vwz_TBS38;Bel_TBS39;Vwz_TBS39;Bel_TF37;Vwz_TF37;Bel_TF38;Vwz_TF38;Bel_TS57;Vwz_TS57
01.06.2020 00:00;31;413818;26;409796;27;19900;28;25310;48;90010;44;36810;78;233297;66;238860;77;45560;62;34760;2;2000;2;2000;2;2000;0;0;0;0;3;2990;3;3000;0;0;1;880;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 01:00;14;136990;12;385122;13;7820;17;13520;24;22130;22;12220;56;147660;39;41660;54;30450;38;19880;1;1000;1;1000;1;1000;0;0;0;0;0;0;0;0;0;0;1;1210;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 02:00;9;241430;6;156174;10;7190;8;4930;11;14200;12;6970;35;74810;24;34210;28;15230;21;11450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 03:00;8;181730;10;95480;10;6820;11;7770;6;10450;5;3230;26;46930;23;48220;25;14160;17;8480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 04:00;8;148203;3;70350;8;4780;4;2380;14;18310;13;8220;18;32310;9;33450;16;12250;9;5260;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;860;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 05:00;14;360531;8;162858;15;10190;8;5740;25;24570;24;15460;73;85290;28;20150;68;42540;28;15140;0;0;0;0;0;0;0;0;0;0;1;1000;1;1000;0;0;1;2280;0;3600000;1;2050;0;3600000;0;3600000;0;0
01.06.2020 06:00;28;471867;21;359661;22;16380;22;65776;22;29430;22;20730;45;35150;26;35630;43;25740;25;16430;5;5000;4;4000;4;4000;0;0;0;0;4;3980;4;4000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 07:00;26;453980;27;411330;21;17020;27;27720;26;33440;26;24680;66;68250;40;34520;63;39490;38;20170;4;4000;4;4000;4;3990;0;0;0;0;4;4000;4;4000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 08:00;39;687838;32;491936;38;32970;33;28015;39;50920;35;28880;95;84707;58;78187;92;52340;56;32760;4;4000;4;4000;4;3990;0;0;0;0;4;3990;4;4000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 09:00;72;843282;50;984807;72;71530;52;62220;60;89190;58;43110;149;169165;92;130220;143;84320;93;50500;4;3990;4;3990;4;3990;0;0;0;0;4;4000;4;4000;0;0;1;1000;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 10:00;98;1073313;81;981297;98;87839;78;82305;145;163110;138;93900;253;559628;178;279782;237;130932;179;92530;4;4000;4;4000;4;4000;0;0;0;0;4;4000;4;3980;5;5070;5;8000;0;3600000;2;1890;0;3600000;0;3600000;0;0
01.06.2020 11:00;115;1147010;100;1104608;132;103270;96;88480;144;155928;139;94411;277;595847;223;481929;261;143929;222;121260;5;4990;4;4000;4;4000;0;0;0;0;4;4000;4;4000;4;5510;7;9200;0;3600000;1;770;0;3600000;0;3600000;0;0
01.06.2020 12:00;134;1243358;98;979926;125;111630;102;116960;183;217510;173;118290;297;748054;231;523887;288;165370;232;130350;5;5000;5;5000;5;4990;1;1000;1;1000;4;3990;4;3990;0;0;2;2700;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 13:00;162;1367837;115;1176999;158;192659;117;147700;203;283430;193;139956;335;907509;249;610539;326;197480;249;136780;9;8990;8;8000;8;7960;4;4000;4;4000;8;7990;8;7980;4;3310;15;16630;0;3600000;8;12090;0;3600000;0;3600000;0;0
01.06.2020 14:00;172;1213029;129;1226056;169;145010;135;126110;212;306990;198;147465;355;892624;305;835949;350;206971;310;176850;8;8000;8;8000;8;8000;4;4000;4;3980;8;8000;8;8000;4;4010;14;18230;0;3600000;2;2410;0;3600000;0;3600000;0;0
01.06.2020 15:00;159;1374203;109;1087690;149;133355;120;167485;209;352790;201;145560;343;810219;293;731440;312;188390;294;171110;8;8000;8;8000;8;7990;4;4000;3;3000;8;8000;8;7990;1;1310;18;20240;0;3600000;2;2490;0;3600000;0;3600000;0;0
01.06.2020 16:00;173;1621235;125;1511900;187;321902;129;190442;227;346488;214;150322;345;800285;306;771309;278;760209;305;186377;9;8990;8;7990;8;7990;4;3850;4;4000;8;8000;8;8058;2;3050;19;27510;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 17:00;192;1447539;138;1405577;193;174598;141;136350;223;340870;215;149664;329;689767;306;642320;280;578263;305;186100;8;7980;8;7980;8;7990;3;3150;4;4000;8;7990;8;7990;1;920;10;10180;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 18:00;154;1433008;113;1187231;156;192350;121;154170;194;274229;187;134588;313;702530;339;743790;287;732680;335;199200;9;8980;8;8000;8;7990;4;4000;4;4000;8;8000;8;7980;9;10400;9;9280;0;3600000;0;0;0;3600000;0;3600000;0;0
01.06.2020 19:00;162;1613152;115;1529221;156;174330;116;107990;203;283441;203;141505;294;695948;278;486818;186;2521447;277;153640;6;5990;6;6000;6;5990;0;0;0;0;7;6990;7;6980;1;740;10;14980;0;3600000;2;2180;0;3600000;0;3600000;0;0
01.06.2020 20:00;114;1008970;94;1060754;111;89420;98;81800;157;188700;150;101460;277;774749;237;795641;203;1293031;241;137570;4;4000;4;4000;4;3990;0;0;0;0;5;5000;5;5000;1;1000;4;3810;0;3600000;5;4850;0;3600000;0;3600000;0;0
01.06.2020 21:00;100;1077859;74;895062;96;77330;81;68680;146;171290;139;97849;252;644803;200;537170;185;983577;205;117390;4;4000;4;3990;4;3990;0;0;0;0;4;4000;4;4000;5;6630;6;6180;0;3600000;1;810;0;3600000;0;3600000;0;0
01.06.2020 22:00;77;882957;51;647930;73;73270;59;49810;89;102450;85;57560;165;425522;118;361212;131;907995;115;68150;4;4000;4;4000;4;4000;0;0;0;0;4;4000;4;4000;3;3880;2;2600;0;3600000;2;1840;0;3600000;0;3600000;0;0
01.06.2020 23:00;50;746130;33;414578;41;32270;35;37540;46;59520;43;33910;102;240067;58;136510;92;58280;55;31190;4;3990;4;3990;4;4000;0;0;0;0;4;3990;4;4000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 00:00;22;511463;8;117965;24;18790;12;32320;29;35920;28;22780;48;118005;36;43940;47;27220;32;18330;2;2000;2;2000;2;2000;0;0;0;0;3;3000;3;3000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 01:00;6;73990;8;127290;7;5880;9;8930;12;10270;12;7980;38;76299;18;11320;34;20520;18;8770;1;1000;1;1000;1;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 02:00;8;149653;9;119010;5;4470;9;6200;3;2500;3;1780;23;15410;10;7000;24;906315;8;4620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 03:00;4;55690;5;90880;5;2230;6;3820;3;2770;3;1710;28;30720;14;9880;26;322034;14;7500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 04:00;10;144010;14;222810;8;4430;15;16250;13;21260;13;16070;53;90550;34;72456;50;40306;31;17603;2;2000;2;2000;2;2000;0;0;0;0;3;3000;3;3000;0;0;0;0;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 05:00;50;543240;51;577691;49;42797;53;61630;50;60170;49;46480;261;656052;197;291840;252;155550;199;113640;6;6000;6;6000;6;5990;4;4000;4;4000;6;5990;6;6000;0;0;2;1980;0;3600000;1;3450;0;3600000;0;3600000;0;0
02.06.2020 06:00;119;909504;130;1246183;124;151161;133;166400;140;190970;135;106370;478;1175556;424;809356;466;421233;423;298196;11;10960;10;10000;10;10000;3;3000;3;3000;9;9000;8;8000;0;0;2;2050;0;3600000;2;2780;0;3600000;0;3600000;0;0
02.06.2020 07:00;212;1650573;218;1811823;230;362006;226;386480;236;285158;235;181470;562;1639116;534;1347802;556;523336;535;514965;9;9038;11;11059;12;11990;5;4990;5;5000;10;9990;10;9990;1;920;9;9090;0;3600000;0;0;0;3600000;0;3600000;0;0
02.06.2020 08:00;244;1804890;253;1836478;251;420448;257;643180;258;409420;249;215830;538;1657720;510;1290174;307;226734;522;445766;11;10990;12;11990;13;12970;4;3990;4;3990;9;8990;10;10000;2;2360;12;13640;0;3600000;0;0;0;3600000;0;3600000;0;0
