01.06.2020 00:00;Bel_D111;Vwz_D111;Bel_D51;Vwz_D51;Bel_ST1_Anf;Vwz_ST1_Anf;Bel_ST2_Anf;Vwz_ST2_Anf;Bel_TF32_Anf;Vwz_TF32_Anf;Bel_TF32a_Anf;Vwz_TF32a_Anf;Bel_TF38_Anf;Vwz_TF38_Anf;Bel_TF38a_Anf;Vwz_TF38a_Anf
01.06.2020 00:00;11;98400;7;60000;0;0;0;0;0;0;0;0;2;1800;0;0
01.06.2020 01:00;9;91800;6;49200;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;6;61800;1;10800;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;1;10200;1;600;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;2;25800;1;12000;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;3;38400;1;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;5;48000;8;73800;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 07:00;9;76200;7;61200;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 08:00;33;504600;15;95400;0;0;0;0;1;600;0;0;1;600;1;600
01.06.2020 09:00;74;597600;37;253800;0;0;0;0;1;600;1;600;0;0;0;0
01.06.2020 10:00;71;759600;57;351000;0;0;0;0;0;0;0;0;0;0;4;2400
01.06.2020 11:00;99;1042200;80;474600;0;0;0;0;0;0;0;0;1;600;0;0
01.06.2020 12:00;114;1273200;89;487800;0;0;0;0;1;600;1;600;0;0;1;600
01.06.2020 13:00;107;988200;63;489000;0;0;0;0;0;0;0;0;0;0;10;9600
01.06.2020 14:00;98;1027800;66;626400;0;0;0;0;0;0;0;0;4;3600;0;0
01.06.2020 15:00;134;1285200;84;745800;0;0;0;0;0;0;3;2400;2;1200;1;600
01.06.2020 16:00;114;1171800;58;506400;0;0;0;0;0;0;0;0;0;0;1;600
01.06.2020 17:00;100;1089600;53;460200;0;0;0;0;0;0;2;1200;0;0;0;0
01.06.2020 18:00;98;1144800;68;748200;0;0;0;0;0;0;2;1800;0;0;1;600
01.06.2020 19:00;89;915600;49;454200;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 20:00;74;731400;23;240600;0;0;0;0;0;0;0;0;0;0;3;1800
01.06.2020 21:00;45;426600;17;152400;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 22:00;27;402000;11;70200;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 23:00;13;183000;6;53400;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 00:00;10;100800;2;25800;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 01:00;6;60600;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 02:00;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;3;27600;3;24000;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;6;79800;3;77400;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 05:00;6;51000;3;33000;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 06:00;45;595200;29;259800;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 07:00;98;1356600;72;838800;0;0;0;0;0;0;0;0;7;6000;1;600
02.06.2020 08:00;146;1954800;66;1038600;0;0;0;0;0;0;1;600;4;2400;1;600
02.06.2020 09:00;147;1738200;66;829200;0;0;0;0;0;0;1;600;1;600;0;0
02.06.2020 10:00;166;2089800;69;774600;6;1200;0;0;2;1200;0;0;1;600;2;1200
02.06.2020 11:00;207;2001000;81;1189200;0;0;0;0;0;0;0;0;3;2400;2;1200
02.06.2020 12:00;216;1851000;74;852600;0;0;0;0;1;600;0;0;4;3000;7;5400
02.06.2020 13:00;136;1714800;70;787800;0;0;0;0;0;0;0;0;0;0;11;9600
02.06.2020 14:00;152;1881000;74;1045200;0;0;0;0;1;600;0;0;2;1200;2;1200
02.06.2020 15:00;159;1992000;87;1209000;0;0;0;0;1;600;1;600;1;600;1;600
02.06.2020 16:00;154;1719000;89;930600;0;0;0;0;0;0;1;600;0;0;3;1800
02.06.2020 17:00;215;1736400;92;955200;0;0;0;0;0;0;1;600;2;1200;2;1200
02.06.2020 18:00;156;1681800;76;687600;0;0;0;0;0;0;0;0;1;600;4;2400
02.06.2020 19:00;113;1193400;67;765000;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 20:00;82;835800;41;429600;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 21:00;46;548400;16;179400;0;0;0;0;3;3000;0;0;0;0;1;600
02.06.2020 22:00;44;331800;18;114000;0;0;0;0;0;0;0;0;0;0;0;0
