01.06.2020 00:00;Bel_A51_M1_1208;Vwz_A51_M1_1208;Bel_A6H55_M2_1197;Vwz_A6H55_M2_1197;Bel_AH55_M2_1197;Vwz_AH55_M2_1197;Bel_Anf_32;Vwz_Anf_32;Bel_Anf_33;Vwz_Anf_33;Bel_H51_A38_M3_1202;Vwz_H51_A38_M3_1202;Bel_H6H55_A142/M4_X;Vwz_H6H55_A142/M4_X;Bel_HH55_A142/M4_1X;Vwz_HH55_A142/M4_1X
01.06.2020 00:00;2;1990;0;0;1;990;0;0;0;0;2;2000;0;0;1;1000
01.06.2020 01:00;1;1000;0;0;0;0;0;0;0;0;1;1000;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;1;1000;0;0;2;2000;0;0;0;0;1;1000;0;0;2;2000
01.06.2020 05:00;1;1000;0;0;2;1990;0;0;0;0;1;1000;0;0;2;1990
01.06.2020 06:00;2;2000;0;0;2;2000;0;0;0;0;2;2000;0;0;2;2000
01.06.2020 07:00;2;2000;0;0;2;2000;0;0;0;0;2;2000;0;0;2;1990
01.06.2020 08:00;2;1990;0;0;2;2000;0;0;1;680;2;1990;0;0;2;1990
01.06.2020 09:00;2;2000;0;0;2;2000;0;0;2;2300;2;2000;0;0;2;2000
01.06.2020 10:00;2;2063;0;0;2;2000;1;260;0;0;2;2000;0;0;2;1990
01.06.2020 11:00;2;1990;0;0;2;2063;4;4240;7;3940;2;2000;0;0;2;2000
01.06.2020 12:00;2;2000;0;0;2;2000;8;10520;4;3530;2;1990;0;0;2;1990
01.06.2020 13:00;4;4000;0;0;4;3990;4;3690;9;6510;4;4000;0;0;4;4000
01.06.2020 14:00;4;4000;0;0;4;3990;1;7210;6;11750;4;3990;0;0;4;3990
01.06.2020 15:00;4;4000;0;0;4;4000;1;2800;7;11910;4;4000;0;0;4;3990
01.06.2020 16:00;4;4000;0;0;4;4000;1;810;5;4400;4;4000;0;0;4;4000
01.06.2020 17:00;4;4000;0;0;4;4000;1;1670;7;4850;4;3990;0;0;4;3990
01.06.2020 18:00;4;3990;0;0;4;3990;4;790;5;5950;4;3990;0;0;4;4000
01.06.2020 19:00;3;3000;0;0;3;3000;6;4920;6;16330;3;2990;0;0;3;2990
01.06.2020 20:00;2;1990;0;0;2;2000;0;0;9;4440;2;2000;0;0;2;2000
01.06.2020 21:00;2;2000;0;0;2;2000;0;0;1;590;2;1990;0;0;2;2000
01.06.2020 22:00;2;2000;0;0;2;1990;0;0;1;1200;2;2000;0;0;2;2000
01.06.2020 23:00;2;1980;0;0;2;2000;0;0;0;0;2;2000;0;0;2;1990
02.06.2020 00:00;2;2000;0;0;1;1000;0;0;0;0;2;2000;0;0;1;1000
02.06.2020 01:00;1;1000;0;0;0;0;0;0;0;0;1;1000;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;1;990;0;0;2;2000;0;0;0;0;1;1000;0;0;2;2000
02.06.2020 05:00;3;3000;0;0;4;4000;0;0;2;1070;3;3000;0;0;4;4000
02.06.2020 06:00;5;5000;3;3000;4;4000;4;4780;9;8860;5;4970;3;3000;4;3970
02.06.2020 07:00;8;7980;4;3990;4;3990;5;3070;16;10780;8;7990;4;4000;4;4000
02.06.2020 08:00;8;8000;4;3990;3;3000;4;9140;14;8730;7;6990;4;4000;3;2980
02.06.2020 09:00;8;7980;4;4059;4;4000;5;18810;5;5450;8;7990;4;3990;4;3980
02.06.2020 10:00;8;7980;3;3000;4;4000;3;4320;8;8100;8;8000;4;4000;4;3990
02.06.2020 11:00;8;7980;4;3990;4;3990;4;2540;7;5830;8;8000;4;4000;4;3980
02.06.2020 12:00;8;8000;5;5000;4;4000;16;14830;13;9050;8;7990;4;4000;4;4000
