01.06.2020 00:00;Bel_A51_M1_493;Vwz_A51_M1_493;Bel_A55_M2_1290/12X;Vwz_A55_M2_1290/12X;Bel_Anf_32;Vwz_Anf_32;Bel_H51_A135/1_492;Vwz_H51_A135/1_492;Bel_H55_A110/M3_12X;Vwz_H55_A110/M3_12X;Bel_MP3_SL_A110;Vwz_MP3_SL_A110;Bel_V51_A9/M2_510;Vwz_V51_A9/M2_510
01.06.2020 00:00;5;5000;2;2000;2;2020;5;4990;2;2000;0;0;5;5000
01.06.2020 01:00;1;1000;0;0;0;0;1;1000;0;0;0;0;1;1000
01.06.2020 02:00;0;0;0;0;3;3920;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;1;1000;2;1990;1;1010;1;1000;2;1990;0;0;1;1000
01.06.2020 05:00;1;1000;3;3000;0;0;1;1000;3;3000;0;0;1;990
01.06.2020 06:00;3;3000;4;4000;1;1020;3;3000;4;3990;0;0;3;3000
01.06.2020 07:00;4;3990;4;3990;6;6070;4;3990;4;4000;0;0;4;4000
01.06.2020 08:00;4;4000;4;4000;5;5080;4;4000;4;3990;0;0;4;3990
01.06.2020 09:00;4;3980;4;4000;15;16700;4;4000;4;4055;0;0;3;2990
01.06.2020 10:00;4;4000;4;3990;21;23090;4;3980;4;4000;0;0;4;3990
01.06.2020 11:00;4;4000;4;3990;20;20560;4;4000;4;3990;0;0;4;4000
01.06.2020 12:00;5;4990;6;5990;26;30990;5;5000;6;5980;0;0;5;4980
01.06.2020 13:00;8;7990;8;8000;46;50120;8;7990;8;8000;0;0;8;7990
01.06.2020 14:00;8;7970;8;8051;44;53800;8;7980;8;7990;0;0;8;7990
01.06.2020 15:00;8;8000;8;8057;46;48930;8;7990;8;7980;0;0;8;7990
01.06.2020 16:00;8;7990;8;7980;49;54820;8;7980;8;7990;0;0;8;8000
01.06.2020 17:00;8;7990;8;8000;54;56090;8;8000;8;8058;0;0;8;8000
01.06.2020 18:00;8;8000;9;8990;40;41800;8;8000;8;7990;0;0;8;7990
01.06.2020 19:00;6;6000;5;5000;26;27020;6;5970;5;5000;0;0;5;4970
01.06.2020 20:00;4;4000;4;4000;30;32340;4;3990;4;4000;0;0;4;4000
01.06.2020 21:00;4;4000;4;4000;22;23170;4;4000;4;4000;0;0;4;4000
01.06.2020 22:00;4;3990;5;4990;8;9810;4;3990;4;3980;0;0;4;4000
01.06.2020 23:00;4;4000;4;4000;2;2020;4;4000;4;4000;0;0;4;4000
02.06.2020 00:00;5;4990;2;2000;1;1020;5;5000;2;2000;0;0;5;4990
02.06.2020 01:00;1;1000;0;0;0;0;1;990;0;0;0;0;1;1000
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;2;1990;0;0;0;0;2;2000;0;0;0;0
02.06.2020 04:00;2;2000;3;3000;0;0;2;2000;3;3000;0;0;2;1990
02.06.2020 05:00;8;7980;12;12000;2;2380;8;7980;11;10990;0;0;9;8980
02.06.2020 06:00;13;13000;16;15980;12;12730;13;12980;17;16980;0;0;12;11990
02.06.2020 07:00;16;16000;16;15980;32;33916;16;16000;16;15950;0;0;16;15970
02.06.2020 08:00;15;14980;15;14990;50;52810;15;15000;15;15000;0;0;15;14980
02.06.2020 09:00;16;15980;16;15980;52;56648;16;15960;17;16980;0;0;16;15990
02.06.2020 10:00;16;15980;16;15990;47;52670;16;15980;16;16000;0;0;16;15990
02.06.2020 11:00;16;15970;16;16000;64;73080;16;16000;16;15980;0;0;16;16000
02.06.2020 12:00;16;16000;17;16990;45;48780;16;15970;16;16037;0;0;17;17037
02.06.2020 13:00;16;15980;16;15990;55;59980;16;15980;15;14970;0;0;15;14970
02.06.2020 14:00;17;16970;17;16980;52;62470;17;16980;17;17000;0;0;18;17600
02.06.2020 15:00;16;16016;16;15980;53;60400;16;15970;17;16980;0;0;15;15383
02.06.2020 16:00;15;14980;15;14990;57;64230;15;14980;15;14970;0;0;15;14980
02.06.2020 17:00;16;16000;17;16990;64;70030;16;15980;16;15980;0;0;17;17000
02.06.2020 18:00;15;14980;15;15000;63;69050;15;15000;15;14980;0;0;14;13980
02.06.2020 19:00;13;12990;9;8980;53;58450;13;13000;8;7990;0;0;13;13000
02.06.2020 20:00;8;8000;8;8000;43;49560;8;8000;8;7970;0;0;8;8000
02.06.2020 21:00;7;7000;7;6990;23;28670;7;6990;7;6990;0;0;7;6980
02.06.2020 22:00;6;6000;5;5000;18;23860;6;5990;5;4990;0;0;6;5990
02.06.2020 23:00;4;3990;4;4000;7;7920;4;4000;4;4000;0;0;4;4000
03.06.2020 00:00;6;6000;2;1990;2;2930;6;6000;2;1990;0;0;6;5990
03.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;2;1990;0;0;0;0;2;2000;0;0;0;0
03.06.2020 04:00;2;2000;2;2000;0;0;2;1990;3;3000;0;0;2;2000
03.06.2020 05:00;8;7990;13;12990;0;0;8;7990;12;12000;0;0;8;7990
03.06.2020 06:00;14;13990;16;15990;12;12320;14;13980;16;15980;0;0;16;15940
03.06.2020 07:00;16;15970;17;16990;37;38650;16;15980;17;16980;0;0;15;14980
03.06.2020 08:00;16;15990;16;16000;49;50760;16;15870;15;15000;0;0;17;16990
03.06.2020 09:00;17;17045;20;19990;51;52220;16;16100;19;18980;0;0;16;15970
03.06.2020 10:00;17;16970;16;16000;49;52690;17;16980;16;15990;0;0;16;15940
03.06.2020 11:00;16;16000;16;15980;46;53271;16;15990;16;15980;0;0;16;16000
03.06.2020 12:00;16;15980;16;16000;55;59340;16;16000;15;14990;0;0;16;16000
03.06.2020 13:00;16;15980;17;16980;54;56620;15;14980;17;16990;0;0;15;15000
03.06.2020 14:00;17;16990;17;16990;47;51310;17;16980;17;16990;0;0;17;16980
03.06.2020 15:00;16;15970;16;16000;54;56810;14;13980;16;15990;0;0;14;13980
03.06.2020 16:00;16;16000;15;15000;66;70350;16;15980;15;14990;0;0;15;15054
03.06.2020 17:00;16;16035;15;15000;49;52600;16;15990;14;13990;0;0;16;15970
03.06.2020 18:00;14;13990;17;16990;59;63088;13;12970;16;15980;0;0;14;13990
03.06.2020 19:00;12;11970;8;7980;35;37790;12;11970;8;8000;0;0;11;11000
03.06.2020 20:00;8;7990;8;7990;23;23623;8;7990;8;8000;0;0;7;7000
03.06.2020 21:00;7;7000;7;6990;25;26570;7;6990;7;7000;0;0;7;6980
03.06.2020 22:00;6;5990;5;5000;9;9310;6;5990;5;5000;0;0;6;6000
03.06.2020 23:00;4;4000;4;3990;3;4850;4;4000;4;4000;0;0;4;3990
04.06.2020 00:00;6;6000;2;2000;2;2030;6;6000;2;1990;0;0;6;6000
04.06.2020 01:00;0;0;0;0;1;1010;0;0;0;0;0;0;0;0
