01.06.2020 00:00;Bel_A51/1_M3_653;Vwz_A51/1_M3_653;Bel_A51_M2_652;Vwz_A51_M2_652;Bel_A55_M6_666;Vwz_A55_M6_666;Bel_H51/1_M2_652;Vwz_H51/1_M2_652;Bel_H51_M1_669;Vwz_H51_M1_669;Bel_H55_M5_665;Vwz_H55_M5_665;Bel_Schluessel_S55;Vwz_Schluessel_S55;Bel_T1;Vwz_T1;Bel_T5;Vwz_T5;Bel_T6;Vwz_T6;Bel_V55_M4_664;Vwz_V55_M4_664;Bel_VR_101_einw;Vwz_VR_101_einw;Bel_VR_102_ausw;Vwz_VR_102_ausw
01.06.2020 00:00;0;0;0;0;1;1000;0;0;0;0;1;1000;0;0;1;1010;0;0;0;0;1;1000;4;420;9;1301
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;110;2;200
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;100;2;200
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;200
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;1;1000;1;1000;1;1000;1;1000;1;1000;1;1000;0;0;0;0;0;0;0;0;1;1000;1;100;0;0
01.06.2020 06:00;3;2990;3;3000;2;2000;3;3000;3;3000;2;2000;0;0;0;0;0;0;0;0;2;2000;1;100;2;210
01.06.2020 07:00;2;2000;2;2000;2;2000;2;2000;2;2000;2;2000;0;0;1;1180;0;0;0;0;2;2000;3;330;0;0
01.06.2020 08:00;2;2000;2;1990;2;2000;2;1990;2;1990;2;1990;0;0;3;4060;0;0;1;1010;2;1990;4;420;4;420
01.06.2020 09:00;2;1990;2;1990;2;2000;2;2000;2;2000;2;2000;0;0;4;4030;0;0;7;7690;2;2000;2;200;10;1020
01.06.2020 10:00;2;1990;2;1990;2;1990;2;2000;2;2000;2;2000;0;0;9;11540;0;0;7;9970;2;1980;1;110;25;2940
01.06.2020 11:00;2;2000;2;2000;2;2000;2;2000;2;2000;2;1990;0;0;8;8060;0;0;5;5130;2;2000;11;1120;38;4323
01.06.2020 12:00;3;3000;3;3000;3;3000;3;3000;3;3000;4;4000;0;0;10;11750;0;0;3;3680;3;3000;15;1540;43;5570
01.06.2020 13:00;4;3802;4;4000;4;3980;4;4000;4;4000;4;4000;0;0;2;2020;0;0;7;7640;4;3990;24;2881;19;2341
01.06.2020 14:00;4;4000;4;3990;4;3990;4;3990;4;4000;4;3990;0;0;6;6990;0;0;5;7759;4;4000;29;2970;40;4471
01.06.2020 15:00;4;4000;4;4000;4;3990;4;4000;4;4000;4;4000;0;0;11;13350;0;0;11;12500;4;4000;6;610;31;3160
01.06.2020 16:00;4;3990;4;4000;4;4000;4;4000;4;4057;4;4000;0;0;11;17160;0;0;16;16420;4;4000;3;310;44;4490
01.06.2020 17:00;4;4000;4;3990;4;4000;4;3990;4;4000;4;4000;0;0;10;11170;0;0;16;16330;4;4000;2;200;50;5592
01.06.2020 18:00;4;4000;4;4000;4;4000;4;4000;4;4000;4;3990;0;0;6;6700;0;0;11;11300;4;4000;3;320;41;4210
01.06.2020 19:00;2;1990;2;2000;2;2000;2;2000;2;2000;2;2000;0;0;9;9930;0;0;8;8890;2;2000;1;100;34;3881
01.06.2020 20:00;2;1990;2;2000;2;2000;2;2000;2;2000;2;1990;0;0;6;6210;0;0;9;11690;2;2000;3;320;31;3590
01.06.2020 21:00;2;1990;2;2000;2;2000;2;2000;2;2000;2;2000;0;0;8;13047;0;0;5;5060;2;2000;7;740;16;1640
01.06.2020 22:00;2;1990;2;2000;2;1990;2;2000;2;2000;2;2000;0;0;4;4040;0;0;1;1010;2;2000;5;520;11;1511
01.06.2020 23:00;2;1990;2;2000;2;2000;2;2000;2;2000;2;2000;0;0;0;0;0;0;1;1010;2;2000;1;100;3;300
02.06.2020 00:00;0;0;0;0;1;1000;0;0;0;0;1;1000;0;0;0;0;0;0;0;0;1;1000;0;0;1;100
02.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;210
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;1;1000;1;1000;0;0;1;1000;1;1000;0;0;0;0;0;0;0;0;0;0;0;0;2;210;1;100
02.06.2020 05:00;3;2980;3;3000;3;2990;3;3000;3;3000;3;3000;0;0;0;0;0;0;0;0;3;3000;1;100;1;100
02.06.2020 06:00;4;4000;4;3990;4;4000;4;4000;4;3980;4;3990;0;0;1;1010;0;0;1;1010;4;3990;10;1040;3;320
02.06.2020 07:00;4;4000;4;3980;4;4000;4;3980;4;4000;4;3980;0;0;9;9590;0;0;9;10690;4;4000;31;3210;23;2802
02.06.2020 08:00;5;5000;5;5000;4;4000;5;5000;5;5000;4;3990;0;0;8;8650;0;0;12;14160;4;3990;53;5812;43;4420
02.06.2020 09:00;3;3000;3;3000;4;4000;3;3000;3;3000;4;3980;0;0;9;9760;0;0;14;13220;4;4000;7;720;29;2930
02.06.2020 10:00;5;4970;5;5000;3;2990;5;5000;5;4990;3;3000;0;0;9;10100;0;0;13;14070;4;4000;6;610;32;3250
02.06.2020 11:00;3;3000;3;2990;5;5000;3;3000;3;2990;5;5000;0;0;19;21620;0;0;20;22460;4;4000;4;410;41;4695
02.06.2020 12:00;5;5000;5;4980;7;6980;5;4990;5;5000;5;5000;0;0;12;13970;0;0;16;17930;5;5000;18;1840;41;4230
02.06.2020 13:00;4;4000;4;4000;5;5000;4;4000;4;3980;5;5000;0;0;12;13620;0;0;16;17410;5;5000;38;3950;53;5420
02.06.2020 14:00;4;3990;4;4000;4;3990;4;4000;4;4000;4;4000;0;0;12;13060;0;0;15;19360;4;4000;24;2871;45;4580
02.06.2020 15:00;4;4000;4;3990;4;3990;4;3990;4;4000;4;4000;0;0;11;12670;0;0;15;18130;4;4000;19;1970;51;5180
02.06.2020 16:00;4;4000;4;3980;5;5000;4;3980;4;4000;4;3990;0;0;12;14540;0;0;11;11820;4;3990;14;1420;76;8180
