01.06.2020 00:00;Bel_AF_Bld_33;Vwz_AF_Bld_33;Bel_AF_FG33;Vwz_AF_FG33;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_MP2_A142;Vwz_MP2_A142;Bel_MP2_A8;Vwz_MP2_A8;Bel_MP3;Vwz_MP3
01.06.2020 00:00;0;0;0;3600000;0;0;5;1790;5;4500;5;4490;5;4490;2;1800;2;1800
01.06.2020 01:00;0;0;0;3600000;2;53200;9;5120;1;900;1;900;1;900;0;0;0;0
01.06.2020 02:00;0;0;0;3600000;1;66340;3;840;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;3600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;3600000;0;0;0;0;1;900;1;900;1;900;2;1800;2;1790
01.06.2020 05:00;0;0;0;3600000;1;67463;7;4220;1;900;1;900;1;900;3;2690;3;2690
01.06.2020 06:00;0;0;0;3600000;0;0;6;2350;3;2700;3;2690;3;2700;4;3600;4;3600
01.06.2020 07:00;2;1520;0;3600000;2;83730;7;4090;4;3590;4;3590;4;3590;4;3590;4;3600
01.06.2020 08:00;2;1460;0;3600000;3;29120;1;140;4;3600;4;3590;4;3580;4;3600;4;3590
01.06.2020 09:00;0;0;0;3600000;1;16840;10;3210;4;3600;4;3570;4;3600;4;3600;4;3590
01.06.2020 10:00;7;5110;0;3600000;2;58760;19;6370;4;3590;4;3600;4;3590;4;3590;4;3600
01.06.2020 11:00;9;10110;0;3600000;6;164737;36;11890;4;3590;4;3590;4;3590;4;3590;4;3600
01.06.2020 12:00;10;6610;0;3600000;3;103290;41;13170;5;4490;5;4490;5;4500;6;5400;5;4500
01.06.2020 13:00;5;5030;0;3600000;4;160430;41;13980;8;7190;8;7200;8;7190;8;7200;9;8090
01.06.2020 14:00;7;5470;0;3600000;8;214631;43;15860;8;7190;8;7200;8;7190;8;7190;8;7200
01.06.2020 15:00;11;11680;0;3600000;2;35560;36;12960;8;7180;8;7190;8;7190;8;7160;8;7200
01.06.2020 16:00;4;6580;0;3600000;4;151838;35;12500;8;7200;8;7180;8;7200;8;7190;8;6970
01.06.2020 17:00;15;23020;0;3600000;5;238210;32;10850;8;7190;8;7190;8;7180;8;6660;7;6510
01.06.2020 18:00;15;9530;0;3600000;7;245176;40;13940;8;7246;8;7190;8;7190;8;7730;9;8090
01.06.2020 19:00;5;9300;0;3600000;4;45478;45;16430;6;5400;6;5390;6;5400;5;4500;5;4480
01.06.2020 20:00;4;2810;0;3600000;5;157370;33;11710;4;3600;4;3655;4;3600;4;3590;4;3590
01.06.2020 21:00;5;5580;0;3600000;4;90608;26;9430;4;3600;4;3600;4;3600;4;3600;4;3590
01.06.2020 22:00;6;6570;0;3600000;8;235280;25;11830;4;3600;4;3600;4;3600;4;3600;4;3590
01.06.2020 23:00;0;0;0;3600000;3;56990;12;4910;4;3570;4;3600;4;3600;4;3600;4;3600
02.06.2020 00:00;2;1870;0;3600000;0;0;5;1610;5;4500;5;4500;5;4500;2;1800;2;1790
02.06.2020 01:00;0;0;0;3600000;1;9720;7;5530;1;900;1;900;1;900;0;0;0;0
02.06.2020 02:00;0;0;0;3600000;2;59510;4;2210;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;3600000;0;0;2;760;0;0;0;0;0;0;1;900;1;900
02.06.2020 04:00;0;0;0;3600000;0;0;5;2060;2;1800;2;1800;2;1800;3;2690;3;2700
02.06.2020 05:00;6;7660;0;3600000;2;57220;39;15910;9;8090;9;8070;9;8158;12;10780;12;10760
02.06.2020 06:00;17;16470;0;3600000;40;920398;91;62120;13;11680;13;11724;13;11700;15;13490;15;13470
02.06.2020 07:00;23;27330;0;3600000;39;1340987;101;71270;16;14380;16;14390;16;14400;17;15280;16;14380
02.06.2020 08:00;27;25478;0;3600000;44;1199605;89;63940;15;13490;15;13470;15;13500;15;13500;16;14400
02.06.2020 09:00;35;36030;0;3600000;26;1065715;88;49138;16;14390;16;14400;16;14380;16;14437;17;15390
02.06.2020 10:00;48;51120;0;3600000;21;936260;87;46940;16;14400;16;14380;16;14449;16;14380;16;14400
02.06.2020 11:00;23;25690;0;3600000;18;883845;104;49640;16;14390;16;14380;16;14390;16;14390;16;14370
02.06.2020 12:00;34;43610;0;3600000;23;695090;122;59140;16;14400;16;14400;16;14455;16;14400;16;14380
02.06.2020 13:00;28;35313;0;3600000;22;944848;114;54800;16;14370;16;14380;16;14400;16;14390;16;14380
02.06.2020 14:00;29;34070;0;3600000;25;820588;100;49300;17;15260;17;15280;17;15270;17;15280;17;15300
02.06.2020 15:00;33;28118;0;3600000;12;531102;107;45430;16;14380;16;14380;16;14380;16;14390;16;14428
02.06.2020 16:00;43;45460;0;3600000;11;236180;118;50170;15;13500;15;13460;15;13470;15;13480;14;12590
02.06.2020 17:00;28;28150;0;3600000;15;611014;112;47150;16;14350;16;14390;16;14380;16;14380;17;15290
02.06.2020 18:00;16;22590;0;3600000;4;138130;74;26630;16;14380;16;14390;16;14380;15;13534;15;13470
02.06.2020 19:00;15;11880;0;3600000;4;186660;59;20000;11;9880;11;9890;11;9860;9;8090;9;8090
02.06.2020 20:00;11;13880;0;3600000;5;130270;44;15030;8;7190;8;7180;8;7200;8;7180;8;7180
02.06.2020 21:00;11;10036;0;3600000;5;120338;25;9020;7;6300;7;6300;7;6290;7;6300;7;6300
02.06.2020 22:00;2;2520;0;3600000;0;0;8;2320;6;5400;6;5400;6;5400;5;4490;5;4500
02.06.2020 23:00;3;4980;0;3600000;3;44640;11;6090;4;3600;4;3600;4;3590;4;3600;4;3590
03.06.2020 00:00;0;0;0;3600000;1;43730;5;2360;6;5400;6;5400;6;5400;2;1800;2;1790
03.06.2020 01:00;0;0;0;3600000;0;0;4;2970;0;0;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;3600000;1;21510;6;3180;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;3600000;0;0;0;0;0;0;0;0;0;0;1;900;1;900
03.06.2020 04:00;1;490;0;3600000;1;620;5;2970;2;1790;2;1800;2;1780;3;2690;3;2700
03.06.2020 05:00;5;7160;0;3600000;2;10450;44;14310;9;8100;9;8070;9;8080;12;10800;12;10790
03.06.2020 06:00;22;28940;0;3600000;47;1228569;106;103550;14;12580;14;12590;14;12580;16;14390;16;14380
03.06.2020 07:00;22;23060;0;3600000;47;1364891;110;74150;16;14380;16;14390;16;14480;17;15300;18;16180
03.06.2020 08:00;30;33140;0;3600000;34;1025090;101;58520;16;14380;16;14370;16;14380;16;14400;16;14390
03.06.2020 09:00;21;24680;0;3600000;22;791267;88;44790;17;15280;16;14400;17;15300;18;16180;18;16180
03.06.2020 10:00;29;23620;0;3600000;25;839627;99;54530;16;14380;17;15300;17;15270;16;14446;16;14390
03.06.2020 11:00;24;22830;0;3600000;27;842361;101;49000;17;15260;16;14370;15;13490;16;14447;16;14390
