01.06.2020 00:00;Bel_T1;Vwz_T1;Bel_T2;Vwz_T2;Bel_V11;Vwz_V11;Bel_V111;Vwz_V111;Bel_V5;Vwz_V5;Bel_V51;Vwz_V51
01.06.2020 00:00;0;0;0;0;43;23590;43;33480;52;23360;51;35410
01.06.2020 01:00;0;0;0;0;24;13500;26;22200;19;8330;20;14490
01.06.2020 02:00;0;0;0;0;13;7290;15;12820;18;8940;16;12180
01.06.2020 03:00;0;0;0;0;5;78040;5;78430;7;3100;7;5480
01.06.2020 04:00;0;0;0;0;6;3730;7;5770;5;2170;5;3640
01.06.2020 05:00;0;0;0;0;16;206250;12;209530;23;21340;22;21360
01.06.2020 06:00;0;0;0;0;34;17520;30;23727;18;14790;24;17720
01.06.2020 07:00;0;0;0;0;35;17750;32;27290;32;25610;33;30490
01.06.2020 08:00;1;660;1;460;70;41149;69;56780;60;52750;61;48950
01.06.2020 09:00;3;2520;2;2410;222;120750;186;194020;118;326518;123;133536
01.06.2020 10:00;8;8130;4;2900;323;140907;255;258389;213;287320;210;315220
01.06.2020 11:00;11;6719;7;5570;420;297750;338;404428;269;384820;272;425820
01.06.2020 12:00;1;580;20;30510;352;563425;202;3004795;294;400830;301;442120
01.06.2020 13:00;7;9610;14;9840;394;246756;123;3146254;287;324918;275;680891
01.06.2020 14:00;6;4460;19;15679;420;256059;365;732018;315;483671;327;505977
01.06.2020 15:00;14;9926;15;18760;321;257270;307;346595;292;447607;299;512157
01.06.2020 16:00;9;23870;12;27130;290;199120;261;250500;327;344073;332;405443
01.06.2020 17:00;6;6880;15;36420;310;252864;286;316971;338;505974;345;613725
01.06.2020 18:00;5;3660;14;12030;315;264549;283;297779;392;507360;401;590958
01.06.2020 19:00;8;6060;6;3210;270;207770;242;267620;307;321847;298;398686
01.06.2020 20:00;2;2350;3;1590;251;147169;210;204700;262;228737;263;270908
01.06.2020 21:00;3;2430;1;450;147;95181;139;120631;183;168820;182;193947
01.06.2020 22:00;0;0;1;900;103;56660;111;85800;101;72400;97;97830
01.06.2020 23:00;0;0;0;0;52;29450;56;42750;62;27660;62;46440
02.06.2020 00:00;0;0;0;0;17;10340;18;14840;22;11320;23;17570
02.06.2020 01:00;0;0;0;0;6;3240;7;5690;10;4690;10;7570
02.06.2020 02:00;0;0;0;0;3;1660;5;4860;11;6460;11;10190
02.06.2020 03:00;0;0;0;0;4;2810;4;3370;4;2640;4;3300
02.06.2020 04:00;0;0;0;0;27;14400;28;24710;20;10810;20;16450
02.06.2020 05:00;0;0;0;0;69;277470;61;286650;196;216980;196;214370
02.06.2020 06:00;0;0;0;0;294;165377;257;211410;529;454045;540;466487
