01.06.2020 00:00;Bel_A51_M3_;Vwz_A51_M3_;Bel_A55_M6_;Vwz_A55_M6_;Bel_H51_M2_;Vwz_H51_M2_;Bel_H55_M5_;Vwz_H55_M5_;Bel_T32_b;Vwz_T32_b;Bel_T32_s;Vwz_T32_s;Bel_T32a_b;Vwz_T32a_b;Bel_T32a_s;Vwz_T32a_s;Bel_V2;Vwz_V2;Bel_V32;Vwz_V32;Bel_V51_M1_;Vwz_V51_M1_;Bel_V55_M4_;Vwz_V55_M4_;Bel_V8;Vwz_V8
01.06.2020 00:00;0;0;1;1000;0;0;1;1000;0;0;0;0;0;0;0;0;15;46715;1;1350;0;0;1;1000;15;21180
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;12600;0;0;0;0;0;0;2;3070
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6280;1;1930;0;0;0;0;6;11450
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7370;1;3580;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7900;0;0;0;0;0;0;4;3070
01.06.2020 05:00;1;990;1;1000;1;1000;1;1000;0;0;0;0;0;0;0;0;4;38700;0;0;1;1000;1;1000;8;19000
01.06.2020 06:00;3;2990;2;2000;3;3000;2;2000;0;0;0;0;0;0;0;0;8;91390;2;4810;3;3000;2;1990;7;22840
01.06.2020 07:00;2;2000;2;2000;2;1990;2;2056;0;0;0;0;0;0;0;0;11;67059;2;8590;2;2000;2;1990;26;46813
01.06.2020 08:00;2;2000;2;1990;2;2000;2;2000;2;2010;2;2020;0;0;0;0;28;101910;6;26200;2;1990;2;2000;55;86360
01.06.2020 09:00;2;2000;2;2000;2;2000;2;1990;1;1000;3;3020;0;0;1;1010;54;153294;12;48064;2;2000;2;2000;64;98074
01.06.2020 10:00;2;2000;2;1990;2;2000;2;2000;4;4010;8;7390;1;1000;3;3020;72;196180;15;74090;2;2000;2;2000;71;145226
01.06.2020 11:00;2;2000;2;1990;2;2000;2;2000;6;6085;10;10770;7;7030;6;6070;108;344518;32;158130;2;2000;2;1990;99;214950
01.06.2020 12:00;3;2990;3;3000;3;3000;3;3000;6;6135;8;8070;3;3000;5;5094;92;268364;28;159439;3;2990;3;3000;118;270000
01.06.2020 13:00;4;4000;4;3990;3;2980;4;4000;4;4020;11;11080;5;5020;5;5050;84;306125;25;132690;4;3990;4;4000;101;260198
01.06.2020 14:00;4;3990;4;3990;2;1990;4;3990;8;8060;13;13120;3;3030;2;2020;91;355424;32;196310;4;4000;4;3990;146;818046
01.06.2020 15:00;4;4000;4;4000;3;3000;4;4000;7;7030;13;13070;2;2020;9;9090;82;299604;36;232768;4;4000;4;4000;80;232310
01.06.2020 16:00;4;3990;4;3990;4;3990;4;4000;8;8030;14;13230;4;4040;6;6060;112;433589;40;222580;4;3990;4;3980;108;328934
01.06.2020 17:00;4;3990;4;3990;4;4000;4;4000;10;10088;12;11970;3;3000;6;6050;97;364010;41;225413;4;4000;4;3990;130;290093
01.06.2020 18:00;4;3990;4;3980;4;3980;4;4000;6;6030;12;10800;0;0;2;2020;126;436384;27;133259;4;3990;4;4000;133;308990
01.06.2020 19:00;2;2000;2;2000;2;1990;2;2000;5;5010;6;6040;2;2010;9;9090;107;317454;30;166610;2;2000;2;2000;114;267073
01.06.2020 20:00;2;2000;2;2000;2;1990;2;2000;5;5030;5;5020;2;2010;3;3030;105;264383;20;116267;2;2000;2;1990;112;230477
01.06.2020 21:00;2;2000;2;2000;2;1990;2;2000;2;2010;7;7030;0;0;2;2020;67;183756;14;80070;2;2000;2;1990;72;227743
01.06.2020 22:00;2;2000;2;1980;2;2000;2;2000;0;0;0;0;0;0;1;1010;46;268445;8;18510;2;2000;2;2000;57;83790
01.06.2020 23:00;2;2000;2;2000;2;2000;2;1980;1;1000;1;990;0;0;0;0;21;64470;3;13930;2;1990;2;2000;11;17893
02.06.2020 00:00;0;0;1;1000;0;0;1;1000;0;0;0;0;0;0;0;0;11;32870;2;3450;0;0;1;990;13;34370
02.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;15570;0;0;0;0;0;0;11;19660
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12170;0;0;0;0;0;0;3;3050
02.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10520;1;1050;0;0;0;0;3;7740
02.06.2020 04:00;1;1000;0;0;1;1000;0;0;0;0;0;0;0;0;0;0;7;17960;0;0;1;1000;0;0;3;5630
02.06.2020 05:00;3;3000;3;3000;3;3000;3;2980;0;0;0;0;0;0;0;0;26;136300;1;5180;3;3000;3;3000;19;44500
02.06.2020 06:00;4;4000;4;4000;4;4000;4;4000;0;0;5;5050;0;0;1;1010;60;431101;7;33740;4;4000;4;3990;60;116650
02.06.2020 07:00;3;3000;4;4000;3;3000;4;4000;5;5020;7;7060;1;1000;2;2020;149;418505;15;71772;3;3000;4;4000;138;313456
02.06.2020 08:00;5;5000;4;4000;5;5000;4;3990;8;8040;7;7050;3;3010;4;4030;140;484350;24;119120;5;5000;4;3990;187;367140
02.06.2020 09:00;4;4000;4;4000;4;3990;4;4000;7;7030;6;6050;3;3020;3;3030;146;429120;26;102770;4;4000;4;4000;158;447310
02.06.2020 10:00;4;4000;4;4000;4;3990;4;4000;9;9050;9;9090;3;3030;9;9080;158;620652;44;240750;4;4000;4;4000;145;493220
02.06.2020 11:00;4;4000;4;4000;4;3990;4;3990;3;3020;16;16120;4;4040;7;7070;137;441900;36;183214;4;4000;4;4000;183;426330
02.06.2020 12:00;5;4980;5;4990;5;5000;5;5000;6;6060;14;14110;1;1010;4;4030;152;509736;34;170039;5;4990;5;5000;175;582143
02.06.2020 13:00;4;4000;5;5000;4;4000;5;4980;3;3020;6;6060;9;9080;7;7070;122;405194;18;86590;4;4000;5;4990;161;423872
02.06.2020 14:00;4;3990;4;3990;4;3990;4;3990;4;4010;6;6000;3;3030;5;5050;137;480653;26;147340;4;3990;4;4000;127;369838
