01.06.2020 00:00;Bel_Fg35_T1_T2;Vwz_Fg35_T1_T2
01.06.2020 00:00;0;0
01.06.2020 01:00;0;0
01.06.2020 02:00;0;0
01.06.2020 03:00;0;0
01.06.2020 04:00;0;0
01.06.2020 05:00;0;0
01.06.2020 06:00;0;0
01.06.2020 07:00;0;0
01.06.2020 08:00;0;0
01.06.2020 09:00;1;1290
01.06.2020 10:00;8;10310
01.06.2020 11:00;6;7750
01.06.2020 12:00;6;7750
01.06.2020 13:00;2;2590
01.06.2020 14:00;1;1290
01.06.2020 15:00;9;12890
01.06.2020 16:00;7;9030
01.06.2020 17:00;9;12900
01.06.2020 18:00;12;173964
01.06.2020 19:00;8;10320
01.06.2020 20:00;13;16605
01.06.2020 21:00;4;5180
01.06.2020 22:00;0;0
01.06.2020 23:00;0;0
02.06.2020 00:00;0;0
02.06.2020 01:00;0;0
02.06.2020 02:00;0;0
02.06.2020 03:00;0;0
02.06.2020 04:00;0;0
02.06.2020 05:00;1;2550
02.06.2020 06:00;3;3880
02.06.2020 07:00;10;368873
02.06.2020 08:00;11;16720
02.06.2020 09:00;14;20600
02.06.2020 10:00;24;33530
02.06.2020 11:00;18;24570
02.06.2020 12:00;13;18050
02.06.2020 13:00;13;18060
02.06.2020 14:00;14;18090
02.06.2020 15:00;23;32310
02.06.2020 16:00;18;24510
02.06.2020 17:00;18;23260
02.06.2020 18:00;15;82460
02.06.2020 19:00;16;21960
02.06.2020 20:00;6;9020
02.06.2020 21:00;5;7720
02.06.2020 22:00;0;0
02.06.2020 23:00;3;3870
03.06.2020 00:00;0;0
03.06.2020 01:00;0;0
03.06.2020 02:00;0;0
03.06.2020 03:00;0;0
03.06.2020 04:00;0;0
03.06.2020 05:00;1;1290
03.06.2020 06:00;3;3880
03.06.2020 07:00;7;9030
03.06.2020 08:00;17;21950
03.06.2020 09:00;14;23140
03.06.2020 10:00;11;15490
03.06.2020 11:00;12;18040
03.06.2020 12:00;14;20683
