01.06.2020 00:00;Bel_MP11;Vwz_MP11;Bel_MP12;Vwz_MP12;Bel_MP13;Vwz_MP13;Bel_MP51;Vwz_MP51;Bel_MP52;Vwz_MP52;Bel_MP53;Vwz_MP53;Bel_ST51;Vwz_ST51;Bel_ST55;Vwz_ST55;Bel_TBS32;Vwz_TBS32;Bel_TF32;Vwz_TF32
01.06.2020 00:00;2;2000;2;2000;2;2000;2;2000;2;2000;2;2000;0;0;0;0;1;730;1;970
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;2;2000;2;2000;2;2000;2;1990;2;2000;2;1990;0;0;0;0;0;0;0;0
01.06.2020 07:00;2;2000;2;2000;2;2000;2;2000;2;2000;2;2000;0;0;0;0;1;310;0;0
01.06.2020 08:00;2;2000;2;1990;2;2000;2;2000;2;2000;2;2000;0;0;0;0;0;0;0;0
01.06.2020 09:00;2;1990;2;2000;2;2000;2;1990;2;1990;2;2000;0;0;0;0;1;710;1;390
01.06.2020 10:00;2;2000;2;2000;2;2000;2;2000;2;2000;2;2000;0;0;0;0;1;240;3;8700
01.06.2020 11:00;2;2000;2;2000;2;2000;2;1990;2;1990;2;2000;0;0;0;0;6;1470;3;2330
01.06.2020 12:00;3;2980;3;3000;3;3000;4;4000;4;4000;4;4000;0;0;0;0;15;5870;6;4480
01.06.2020 13:00;4;3990;4;3990;4;3990;4;3980;4;4000;4;4000;0;0;0;0;11;4520;10;11340
01.06.2020 14:00;4;3990;4;3990;4;3990;4;3980;4;4000;4;3990;0;0;0;0;12;4580;11;13000
01.06.2020 15:00;4;3990;4;3990;4;4000;4;3990;4;3990;4;3990;0;0;0;0;28;6840;21;29020
01.06.2020 16:00;4;4000;4;3990;4;4000;4;3990;4;4000;4;4000;0;0;0;0;24;8900;26;43390
01.06.2020 17:00;4;4000;4;3990;4;4000;4;4000;4;4000;4;4000;0;0;0;0;28;8940;13;23110
01.06.2020 18:00;4;3990;4;3990;4;4000;4;3990;4;3980;4;4000;0;0;0;0;36;9520;21;20670
01.06.2020 19:00;3;3000;3;3000;3;2990;2;2000;2;1990;2;2059;0;0;0;0;13;3281;12;21840
01.06.2020 20:00;2;2000;2;1990;2;2000;2;2000;2;2000;2;1990;0;0;0;0;32;9100;13;14010
01.06.2020 21:00;2;2000;2;2000;2;2000;2;2000;2;2000;2;2000;0;0;0;0;19;8280;11;27350
01.06.2020 22:00;2;1990;2;2000;2;2000;2;2000;2;1990;2;2000;0;0;0;0;15;3040;5;2450
01.06.2020 23:00;2;2000;2;1990;2;2000;2;2000;2;2000;2;2000;0;0;0;0;2;800;0;0
02.06.2020 00:00;2;2000;2;2000;2;2000;2;2000;2;2000;2;1990;0;0;0;0;0;0;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;1;1000;1;990;1;1000;2;2000;2;2000;2;2000;0;0;0;0;0;0;0;0
02.06.2020 05:00;7;6990;7;6980;7;6990;7;7000;7;7000;7;6990;0;0;0;0;0;0;0;0
02.06.2020 06:00;8;7990;8;7990;8;7990;8;7950;7;6980;7;7000;0;0;0;0;0;0;0;0
02.06.2020 07:00;8;7980;8;7990;8;7990;8;8000;9;8990;9;9000;0;0;0;0;55;14030;11;9290
02.06.2020 08:00;8;7990;8;8000;8;7980;9;8960;9;9056;9;8980;0;0;0;0;47;13751;19;27969
02.06.2020 09:00;8;7990;8;8000;8;8000;8;8000;7;7000;8;8000;0;0;0;0;44;11240;27;26720
02.06.2020 10:00;8;7970;8;7980;8;8000;8;8000;8;7990;8;8000;0;0;0;0;152;46843;51;49290
02.06.2020 11:00;8;7990;8;8000;8;8000;8;8000;8;7980;8;7990;0;0;0;0;36;16270;30;25780
02.06.2020 12:00;8;7990;8;8000;9;9000;8;8000;8;7980;8;7990;0;0;0;0;77;21926;17;13550
02.06.2020 13:00;7;7000;8;8000;8;8000;8;8060;8;7990;8;7980;0;0;0;0;75;24860;41;41780
02.06.2020 14:00;8;7980;9;9052;9;9000;9;9000;9;8990;9;8990;0;0;0;0;85;22700;58;60137
02.06.2020 15:00;8;8000;8;7990;8;8000;8;7990;8;7990;8;7970;0;0;0;0;72;20839;42;68590
