01.06.2020 00:00;Bel_A117/MP1;Vwz_A117/MP1;Bel_A117_MP2;Vwz_A117_MP2;Bel_A117_MP3;Vwz_A117_MP3;Bel_A117_MP4;Vwz_A117_MP4;Bel_A118_MP3;Vwz_A118_MP3;Bel_A88_MP2;Vwz_A88_MP2;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_FG-AF_41a;Vwz_FG-AF_41a;Bel_FG-AF_41b;Vwz_FG-AF_41b;Bel_FG-AF_BF41a;Vwz_FG-AF_BF41a;Bel_FG-AF_BF41b;Vwz_FG-AF_BF41b
01.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;690;91;47700;67;36720;33;9460;0;0;0;0;0;0;0;3600000
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;1;2320;1;2300;69;32470;47;24230;36;9960;0;0;0;0;0;0;0;3600000
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;19100;29;14870;20;6000;0;0;0;0;0;0;0;3600000
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;20120;17;8660;24;7310;0;0;0;0;0;0;0;3600000
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0;1;15450;1;2590;32;15770;21;11420;15;4950;0;0;0;0;0;0;0;3600000
01.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;32970;65;33980;22;8740;2;4000;2;4020;2;4020;0;3600000
01.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;0;0;3;60900;0;0;82;43000;51;28830;33;12110;2;4020;2;4010;2;4010;0;3600000
01.06.2020 07:00;0;0;0;0;0;0;0;0;0;0;0;0;5;227410;0;0;64;35180;72;40810;23;7920;2;4010;2;4020;2;4020;0;3600000
01.06.2020 08:00;0;0;0;0;0;0;0;0;0;0;0;0;2;137983;0;0;124;60040;122;61250;49;16612;2;4010;2;4010;2;4020;0;3600000
01.06.2020 09:00;0;0;0;0;0;0;0;0;0;0;0;0;9;277404;0;0;270;143670;203;108140;81;20570;2;4010;2;4010;2;4020;0;3600000
01.06.2020 10:00;0;0;0;0;0;0;0;0;0;0;2;13540;8;312900;1;80220;347;186923;305;173500;133;34860;2;4010;2;4010;2;4020;0;3600000
01.06.2020 11:00;0;0;0;0;0;0;0;0;0;0;1;1300;4;170650;1;38080;406;219220;383;208301;109;31540;2;4020;2;4010;2;4010;0;3600000
01.06.2020 12:00;0;0;0;0;0;0;0;0;0;0;1;1300;18;595991;0;0;497;273425;481;284408;122;32230;2;4020;2;4010;1;2010;0;3600000
01.06.2020 13:00;0;0;0;0;0;0;0;0;0;0;3;3900;9;401959;1;11830;555;320867;438;243418;141;34270;2;4000;2;4010;2;4020;0;3600000
01.06.2020 14:00;0;0;0;0;0;0;0;0;0;0;1;1290;5;99191;1;22210;586;331659;487;273950;141;36131;2;4000;2;4010;1;2010;0;3600000
01.06.2020 15:00;0;0;0;0;0;0;0;0;0;0;0;0;3;235517;3;7900;538;298691;437;242800;124;30510;2;4010;2;4020;2;4010;0;3600000
01.06.2020 16:00;0;0;0;0;0;0;0;0;0;0;8;10440;5;219191;1;1550;491;317090;451;271510;92;25920;2;4020;2;4020;1;2010;0;3600000
01.06.2020 17:00;0;0;0;0;0;0;0;0;0;0;3;3900;7;333392;0;0;483;285717;558;330950;103;26240;2;4010;2;4010;2;4020;0;3600000
01.06.2020 18:00;0;0;0;0;0;0;0;0;0;0;2;2590;6;245020;1;1380;489;275840;509;301740;156;38460;2;4010;2;4010;1;2000;0;3600000
01.06.2020 19:00;0;0;0;0;0;0;0;0;0;0;2;3220;8;311340;2;7210;415;226000;442;280890;145;38350;2;4010;2;4020;2;4010;0;3600000
01.06.2020 20:00;0;0;0;0;0;0;0;0;0;0;0;0;3;129140;1;22210;331;172851;339;186050;111;26912;2;4020;2;4010;2;4010;0;3600000
01.06.2020 21:00;0;0;0;0;0;0;0;0;0;0;2;2600;5;76610;5;47090;266;150640;302;176820;112;30480;2;4020;2;4020;1;2010;0;3600000
01.06.2020 22:00;0;0;0;0;0;0;0;0;0;0;1;1310;5;32860;4;25030;262;145050;221;136611;94;30721;2;4010;2;4020;2;4020;0;3600000
