01.06.2020 00:00;Bel_T2_b;Vwz_T2_b;Bel_T2_s;Vwz_T2_s;Bel_T3_b;Vwz_T3_b;Bel_T3_s;Vwz_T3_s;Bel_TFW;Vwz_TFW
01.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 08:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 09:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 10:00;0;0;2;600;0;0;4;1200;0;0
01.06.2020 11:00;0;0;0;0;0;0;2;1200;0;0
01.06.2020 12:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 13:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 14:00;7;600;3;4800;7;600;4;1200;0;0
01.06.2020 15:00;7;1200;7;4800;0;0;1;0;0;0
01.06.2020 16:00;19;3000;3;3000;1;0;1;0;0;0
01.06.2020 17:00;5;1200;1;0;0;0;1;0;0;0
01.06.2020 18:00;27;4800;1;3000;0;0;0;0;0;0
01.06.2020 19:00;4;1200;1;2400;4;600;1;600;0;0
01.06.2020 20:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 21:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 07:00;0;0;0;0;9;2400;3;0;0;0
02.06.2020 08:00;2;600;0;0;0;0;4;3600;0;0
02.06.2020 09:00;1;600;6;3000;4;0;0;0;0;0
02.06.2020 10:00;3;0;4;3000;3;600;3;1200;0;0
02.06.2020 11:00;1;0;3;2400;0;0;3;1200;0;0
02.06.2020 12:00;1;0;2;600;4;600;2;600;0;0
02.06.2020 13:00;2;600;9;3600;1;0;2;600;0;0
02.06.2020 14:00;10;1200;5;2400;9;600;2;1800;0;0
02.06.2020 15:00;5;0;10;6000;7;600;8;5400;0;0
02.06.2020 16:00;14;3600;12;7800;5;600;9;2400;0;0
02.06.2020 17:00;22;4800;6;6000;5;600;20;8400;0;0
02.06.2020 18:00;5;0;6;15000;4;0;10;13800;0;0
02.06.2020 19:00;23;4800;4;1800;2;0;2;1200;0;0
02.06.2020 20:00;3;2400;1;4200;0;0;1;1800;0;0
02.06.2020 21:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 07:00;1;0;0;0;4;600;2;2400;0;0
03.06.2020 08:00;2;600;5;4200;3;0;4;1200;0;0
03.06.2020 09:00;0;0;0;0;2;600;6;1200;0;0
03.06.2020 10:00;3;0;2;1200;5;600;4;2400;0;0
03.06.2020 11:00;4;0;3;600;8;1200;7;5400;0;0
03.06.2020 12:00;7;600;7;1800;1;0;12;7200;0;0
03.06.2020 13:00;6;0;1;600;3;600;8;1800;0;0
03.06.2020 14:00;9;600;3;0;2;0;2;3000;0;0
03.06.2020 15:00;1;600;2;2400;13;1200;3;4800;0;0
03.06.2020 16:00;2;0;11;6000;18;3600;14;7800;0;0
03.06.2020 17:00;4;0;4;600;61;10800;11;19800;0;0
03.06.2020 18:00;15;1200;2;600;3;0;1;600;0;0
03.06.2020 19:00;0;0;0;0;8;600;1;1200;0;0
03.06.2020 20:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 21:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 22:00;0;0;0;0;3;0;0;0;0;0
03.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 07:00;0;0;2;600;3;0;13;4200;0;0
04.06.2020 08:00;0;0;0;0;1;0;4;1200;0;0
04.06.2020 09:00;0;0;6;2400;3;600;12;12000;0;0
04.06.2020 10:00;0;0;3;7200;3;0;8;3600;0;0
04.06.2020 11:00;0;0;0;0;5;600;1;0;0;0
04.06.2020 12:00;11;4200;7;10200;0;0;0;0;0;0
04.06.2020 13:00;1;0;0;0;2;0;1;0;0;0
04.06.2020 14:00;0;0;0;0;1;0;0;0;0;0
04.06.2020 15:00;6;1200;2;600;4;0;7;7200;0;0
04.06.2020 16:00;4;600;7;12600;4;600;6;3000;0;0
04.06.2020 17:00;3;0;6;1800;9;1800;13;4200;0;0
04.06.2020 18:00;1;0;7;1800;4;0;1;600;0;0
04.06.2020 19:00;3;2400;6;6000;0;0;0;0;0;0
04.06.2020 20:00;2;0;0;0;0;0;0;0;0;0
04.06.2020 21:00;0;0;0;0;0;0;3;600;0;0
04.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
