01.06.2020 00:00;Bel_D11;Vwz_D11;Bel_D31;Vwz_D31;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_MP3;Vwz_MP3;Bel_MP4;Vwz_MP4;Bel_MP5;Vwz_MP5;Bel_MP6;Vwz_MP6;Bel_MP7;Vwz_MP7;Bel_T1_2;Vwz_T1_2;Bel_T5_6;Vwz_T5_6
01.06.2020 00:00;2;1530;7;6840;3;1480;3;1530;3;1580;0;0;0;0;0;0;3;1520;1;320;1;360
01.06.2020 01:00;6;7380;6;4950;1;500;1;500;1;540;0;0;0;0;0;0;1;540;0;0;0;0
01.06.2020 02:00;2;1260;3;7560;1;540;1;500;1;480;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;2;1530;3;1800;1;500;1;530;1;500;0;0;0;0;0;0;1;480;0;0;0;0
01.06.2020 04:00;0;0;0;0;1;480;1;490;1;500;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;1;810;1;540;1;500;1;480;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;2;10620;7;75500;3;1500;3;1520;3;1470;1;500;2;1020;2;960;1;500;0;0;0;0
01.06.2020 07:00;5;16560;16;77210;3;1520;3;1500;3;1460;2;1080;2;1020;2;1000;1;480;0;0;0;0
01.06.2020 08:00;8;53720;25;104846;4;1980;4;1950;4;2040;2;1040;2;1080;2;1040;1;480;1;580;0;0
01.06.2020 09:00;20;85030;31;307193;4;1980;4;1970;4;2050;2;980;2;1040;2;1020;2;1040;1;980;8;7680
01.06.2020 10:00;22;72440;48;378085;4;2060;4;1950;5;2500;2;1020;2;1040;2;980;3;1520;1;610;2;1520
01.06.2020 11:00;24;66823;44;373960;4;1990;3;1510;4;2060;2;1000;2;1040;2;960;2;1020;9;7750;3;2200
01.06.2020 12:00;41;163230;54;367945;5;2540;5;2530;5;2540;2;970;2;1080;2;1000;3;1520;4;12760;6;4699
01.06.2020 13:00;33;100420;65;496743;6;3100;5;2480;6;3120;4;2040;4;2040;4;2020;2;960;5;2798;0;0
01.06.2020 14:00;24;135520;51;483700;7;3520;7;3510;7;3490;4;2020;3;1560;4;2060;3;1460;6;4900;1;390
01.06.2020 15:00;33;218940;65;648722;6;3000;6;2980;6;2980;4;2000;4;2080;4;1970;2;1010;1;680;2;780
01.06.2020 16:00;26;72133;60;423223;6;3020;7;3430;7;3560;4;2020;4;2060;4;2000;3;1480;2;2640;1;820
01.06.2020 17:00;28;137760;60;503019;5;2520;6;3070;5;2540;3;1500;4;2000;3;1550;2;1020;6;3020;6;11940
01.06.2020 18:00;37;154780;68;451106;6;3100;6;3120;7;3480;4;2060;4;2000;4;2060;3;1520;1;780;6;4070
01.06.2020 19:00;29;197373;50;393213;4;2010;4;2060;4;2030;1;480;2;1020;2;1080;2;990;3;2300;1;1310
01.06.2020 20:00;37;172212;61;522290;4;1950;5;2540;5;2480;2;960;2;1080;2;1020;3;1620;7;5460;3;2830
01.06.2020 21:00;34;111735;38;470890;4;1990;4;2030;4;2020;2;960;2;980;2;1040;2;980;4;3500;5;4580
01.06.2020 22:00;19;122967;22;89710;4;2030;4;2000;4;2010;2;1040;2;1040;2;1000;2;1020;0;0;1;670
01.06.2020 23:00;13;9980;14;16560;3;1480;4;2050;4;2000;2;960;2;960;2;1020;3;1450;0;0;1;690
02.06.2020 00:00;5;3870;11;11790;3;1520;3;1490;3;1580;0;0;0;0;0;0;3;1470;0;0;0;0
02.06.2020 01:00;2;1350;2;1880;1;480;1;500;1;540;0;0;0;0;0;0;1;500;0;0;0;0
02.06.2020 02:00;0;0;1;900;1;500;1;540;1;500;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;2;1350;4;4860;1;500;1;490;1;480;0;0;0;0;0;0;1;540;0;0;0;0
02.06.2020 04:00;0;0;2;2790;1;540;1;500;1;480;0;0;0;0;0;0;1;480;0;0;0;0
02.06.2020 05:00;7;2880;18;27540;6;3040;6;2990;7;3550;3;1500;3;1560;3;1580;1;480;0;0;0;0
02.06.2020 06:00;14;39150;39;374280;8;4020;8;4010;8;4110;4;2010;4;1940;4;1930;5;2560;0;0;0;0
02.06.2020 07:00;48;175225;70;578613;8;4150;8;3930;8;4140;4;2110;4;2080;4;2060;8;4050;4;3720;6;4530
02.06.2020 08:00;58;249000;108;1121305;8;4000;8;3890;8;3970;3;1540;4;2060;4;2020;6;2930;8;6350;5;4570
02.06.2020 09:00;43;69470;104;1138032;6;3010;7;3520;8;4040;3;1540;4;1960;4;2060;4;1980;10;8060;10;9740
02.06.2020 10:00;35;152860;89;807583;6;3080;8;3920;8;4020;4;2120;4;2030;4;2060;4;2000;5;4930;11;12810
02.06.2020 11:00;55;187044;113;1115475;8;3930;8;4000;8;3980;4;2070;4;1990;4;2080;4;2080;12;32449;10;7280
02.06.2020 12:00;61;211153;128;1038299;8;4040;8;4040;9;4450;3;1500;4;1960;4;2100;4;1960;19;15679;8;9470
02.06.2020 13:00;50;309793;106;857186;8;4030;10;5020;10;5110;4;1980;4;2020;4;2100;4;1960;15;12870;12;9790
02.06.2020 14:00;57;226147;125;1021074;10;5020;10;5030;10;5220;4;2030;4;1980;4;2110;5;2540;4;4590;10;24040
02.06.2020 15:00;55;286710;110;1287883;7;3470;7;3410;8;3870;3;1520;3;1540;3;1500;4;2040;26;22999;7;9960
02.06.2020 16:00;55;228208;106;1016912;7;3510;7;3500;6;3120;2;960;2;1020;2;1040;5;2520;22;20420;10;10100
02.06.2020 17:00;63;213841;116;1008600;7;3560;7;3550;8;3980;2;1010;2;960;2;960;5;2640;6;3560;9;7360
02.06.2020 18:00;60;334600;127;1111989;6;3060;6;2920;6;2990;1;480;2;1020;2;960;5;2520;5;3898;5;4920
02.06.2020 19:00;49;256368;78;635985;7;3520;7;3560;8;4020;1;480;2;960;2;970;5;2540;7;8690;3;2590
02.06.2020 20:00;37;73420;54;426784;5;2520;5;2570;5;2540;2;1020;2;1020;2;1030;3;1510;5;3070;2;2470
02.06.2020 21:00;27;56500;50;332130;3;1440;4;2000;4;2050;2;1030;2;1020;2;960;3;1500;2;3250;0;0
02.06.2020 22:00;13;128230;31;133189;3;1620;4;2020;5;2400;2;960;2;960;2;960;1;480;0;0;2;1340
02.06.2020 23:00;11;7290;30;34920;4;2050;5;2460;4;2050;2;960;2;1080;2;960;3;1500;0;0;0;0
03.06.2020 00:00;7;10620;14;11430;2;1020;2;1000;3;1440;0;0;0;0;0;0;1;540;0;0;0;0
03.06.2020 01:00;2;1260;5;5400;0;0;0;0;1;540;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;5;3510;1;540;1;500;1;540;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;3;1260;3;2700;0;0;0;0;1;480;0;0;0;0;0;0;1;480;0;0;0;0
03.06.2020 04:00;0;0;1;630;1;480;1;500;1;480;0;0;0;0;0;0;2;1020;0;0;0;0
03.06.2020 05:00;3;1620;21;36980;6;2940;7;3540;7;3540;3;1510;3;1440;3;1500;2;1030;0;0;0;0
03.06.2020 06:00;13;17820;31;323913;8;3970;8;4090;8;4030;4;2080;4;2050;4;1980;5;2450;0;0;0;0
03.06.2020 07:00;33;174770;76;972807;6;3090;8;4050;8;4150;4;2000;4;1970;4;2120;8;4040;3;3790;4;3200
03.06.2020 08:00;61;218760;101;1085256;8;4090;8;4050;8;4100;3;1580;3;1440;3;1540;6;3100;5;4190;5;5040
03.06.2020 09:00;51;243130;105;1196857;9;4550;9;4490;9;4450;5;2500;5;2610;5;2570;4;2060;27;20079;7;9343
03.06.2020 10:00;32;97640;97;855130;6;3060;8;4010;8;3930;4;2040;4;1990;4;2000;4;2000;5;2047;2;1940
03.06.2020 11:00;61;267774;124;1088041;8;3990;8;4020;8;4040;3;1460;4;1970;4;2060;4;2160;9;8200;2;1000
03.06.2020 12:00;61;167767;113;912510;8;4140;8;3960;8;4080;4;2080;4;2110;4;2080;4;1980;6;7240;16;21153
03.06.2020 13:00;49;289500;123;935613;7;3630;10;4930;10;5100;4;2100;4;1990;4;1950;4;2000;19;16320;15;15290
03.06.2020 14:00;49;187290;109;1114031;10;5020;10;5000;10;4990;3;1620;4;2070;4;2060;5;2560;11;9750;7;6700
03.06.2020 15:00;58;388928;116;1252764;9;4480;9;4510;8;4160;4;1960;4;2060;4;2000;5;2660;20;19933;6;6680
03.06.2020 16:00;47;301390;113;1124343;9;4510;9;4570;9;4470;4;2020;4;1990;4;2020;5;2500;9;6650;12;10349
03.06.2020 17:00;57;258990;142;1151712;9;4560;9;4580;9;4700;4;2120;4;2020;4;1960;5;2620;9;6648;16;15484
03.06.2020 18:00;51;168526;119;1188409;8;4050;9;4520;9;4670;3;1500;4;2060;4;2060;5;2500;10;7130;13;14270
03.06.2020 19:00;46;223910;85;708322;8;4130;8;3980;8;3970;3;1480;3;1540;3;1460;5;2420;3;2190;12;8470
03.06.2020 20:00;28;113200;48;395290;5;2500;5;2560;4;2020;2;1030;2;1020;2;960;3;1460;2;610;3;1770
03.06.2020 21:00;22;52110;47;324690;4;1930;4;2080;5;2520;2;970;2;960;2;980;3;1520;0;0;8;8660
03.06.2020 22:00;15;125134;24;62684;5;2560;5;2500;5;2530;2;1040;2;1040;2;1040;1;480;0;0;1;980
03.06.2020 23:00;6;6030;22;25730;4;2000;4;2030;4;1980;2;970;2;1020;1;480;3;1540;0;0;0;0
04.06.2020 00:00;4;3420;7;5310;3;1460;3;1480;3;1500;0;0;0;0;0;0;1;480;0;0;0;0
04.06.2020 01:00;1;540;8;5490;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
