01.06.2020 00:00;Bel_A51_M1_492;Vwz_A51_M1_492;Bel_A55_M2_513;Vwz_A55_M2_513;Bel_Anf_32;Vwz_Anf_32;Bel_H51_A9/M2_510;Vwz_H51_A9/M2_510;Bel_H55_A110/M3UmlX;Vwz_H55_A110/M3UmlX;Bel_H55_A110/M3_12X;Vwz_H55_A110/M3_12X
01.06.2020 00:00;5;4990;2;2000;0;0;5;4990;0;0;2;2000
01.06.2020 01:00;1;1000;0;0;0;0;1;1000;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;1;1000;2;2000;0;0;1;1000;0;0;2;2000
01.06.2020 05:00;1;990;3;3000;0;0;1;990;0;0;3;2990
01.06.2020 06:00;3;2990;4;4000;0;0;3;3000;0;0;4;4000
01.06.2020 07:00;4;4000;4;4000;0;0;4;3990;0;0;4;4000
01.06.2020 08:00;4;4000;4;4000;1;1010;4;4000;0;0;4;4000
01.06.2020 09:00;4;3980;4;3980;2;2020;4;3980;0;0;4;4000
01.06.2020 10:00;4;4000;4;3990;6;6060;4;4000;0;0;4;3990
01.06.2020 11:00;4;3980;4;3990;7;7080;4;4000;0;0;4;4000
01.06.2020 12:00;5;5000;6;6000;3;3030;5;5000;0;0;6;6000
01.06.2020 13:00;8;7980;8;8000;3;3030;8;8000;0;0;8;8000
01.06.2020 14:00;8;7980;8;8041;7;7070;8;8000;0;0;8;8000
01.06.2020 15:00;8;7990;8;8000;7;7070;8;7990;0;0;8;7980
01.06.2020 16:00;8;8000;8;7990;6;6100;8;8000;0;0;8;7970
01.06.2020 17:00;8;7990;8;8000;8;8060;8;7990;0;0;8;8000
01.06.2020 18:00;8;8000;8;8000;9;9100;8;7990;0;0;8;7990
01.06.2020 19:00;6;5990;5;4980;2;2020;6;6000;0;0;5;5000
01.06.2020 20:00;4;3990;4;4000;5;5050;4;4000;0;0;4;4000
01.06.2020 21:00;4;4000;4;4000;2;2020;4;4000;0;0;4;3990
01.06.2020 22:00;4;4000;4;4000;0;0;4;3990;0;0;4;4000
01.06.2020 23:00;4;4000;4;4000;0;0;4;4000;0;0;4;4000
02.06.2020 00:00;5;5000;2;2000;0;0;5;5000;0;0;2;2000
02.06.2020 01:00;1;1000;0;0;0;0;1;1000;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;2;2000;0;0;0;0;0;0;2;2000
02.06.2020 04:00;2;2000;3;3000;0;0;2;2000;0;0;3;3000
02.06.2020 05:00;8;7990;11;10990;0;0;9;9000;0;0;11;10980
02.06.2020 06:00;13;12990;16;15990;1;1010;12;11990;0;0;16;15990
02.06.2020 07:00;16;16000;16;15990;8;8070;16;15980;0;0;16;15980
02.06.2020 08:00;15;14990;15;14990;8;8090;15;15000;0;0;15;14970
02.06.2020 09:00;16;15970;16;16000;8;8080;16;15980;0;0;16;15970
02.06.2020 10:00;16;15980;16;15980;13;13140;16;15990;0;0;16;16035
02.06.2020 11:00;16;15980;16;15970;11;11110;16;15990;0;0;16;15980
02.06.2020 12:00;16;15980;16;15990;7;7090;17;17020;0;0;16;15960
02.06.2020 13:00;16;15990;16;16000;7;7080;15;14990;0;0;16;15990
02.06.2020 14:00;17;16990;17;16980;13;13140;18;17610;0;0;17;16980
02.06.2020 15:00;16;15980;16;15990;16;16170;15;15402;0;0;16;15990
02.06.2020 16:00;15;14960;15;14990;14;14140;15;14970;0;0;15;15031
02.06.2020 17:00;16;16000;17;17000;24;24240;17;16990;0;0;17;16970
02.06.2020 18:00;15;14990;15;14980;8;8070;14;13980;0;0;15;14980
02.06.2020 19:00;13;12970;8;8050;11;11110;13;12980;0;0;8;8000
