01.06.2020 00:00;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_MP3;Vwz_MP3;Bel_MP4;Vwz_MP4;Bel_MP5;Vwz_MP5;Bel_T1_2;Vwz_T1_2;Bel_T3_4;Vwz_T3_4
01.06.2020 00:00;5;146070;15;564642;0;0;93;63720;30;10620;1;540;1;480;2;1000;2;980;3;1520;0;0;0;0
01.06.2020 01:00;1;5940;7;77670;0;0;82;42300;34;12150;1;500;1;480;1;480;1;500;1;500;0;0;0;0
01.06.2020 02:00;1;18360;7;223566;0;0;35;16380;14;5040;1;480;1;500;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;29;14670;20;5570;1;540;1;500;1;540;1;540;1;480;5;4250;0;0
01.06.2020 04:00;0;0;0;0;0;0;24;14940;9;2070;1;480;1;540;2;1020;2;960;2;1040;0;0;0;0
01.06.2020 05:00;0;0;1;66240;0;0;33;14390;6;2970;1;480;1;540;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;1;1440;1;59840;0;0;24;12420;13;6030;3;1520;3;1510;2;1020;2;960;2;1000;0;0;0;0
01.06.2020 07:00;0;0;2;55440;0;0;40;20790;8;3240;2;980;2;1000;2;1030;2;1040;2;1040;0;0;0;0
01.06.2020 08:00;1;57590;6;154860;0;0;63;31740;18;10080;3;1500;3;1510;2;960;2;1030;2;980;0;0;0;0
01.06.2020 09:00;2;75140;14;68650;0;0;133;84510;52;47880;3;1560;3;1530;3;1540;3;1620;3;1540;4;24440;0;0
01.06.2020 10:00;5;165710;16;436967;0;0;173;117933;44;20160;3;1620;4;2000;3;1500;3;1560;4;2120;2;1860;2;2450
01.06.2020 11:00;21;407506;29;652254;0;0;246;223033;44;57927;3;1530;3;1500;3;1520;3;1520;3;1540;0;0;1;660
01.06.2020 12:00;12;407626;18;336920;0;0;254;212266;52;46080;4;2020;4;1970;4;2080;4;2000;4;2080;2;1440;1;1220
01.06.2020 13:00;16;248200;18;259665;0;0;291;224587;44;33087;2;1040;3;1480;3;1615;3;1590;3;1620;12;9259;3;2560
01.06.2020 14:00;7;144590;22;590839;0;0;300;213830;55;49230;4;2020;4;2030;4;2040;4;1960;4;1940;3;5110;3;1230
01.06.2020 15:00;10;329806;24;505407;0;0;295;228580;47;32850;3;1520;3;1480;3;1500;3;1470;3;1460;2;1400;1;740
01.06.2020 16:00;7;284810;21;332827;0;0;303;240517;42;41030;4;2130;4;2000;4;2040;4;2090;3;1520;3;2050;0;0
01.06.2020 17:00;7;254257;26;441168;0;0;278;255860;62;85670;3;1560;3;1500;3;1480;3;1480;3;1520;8;5830;3;4712
01.06.2020 18:00;16;242045;27;678037;0;0;314;355950;52;23460;4;2120;4;2050;3;1480;3;1560;4;2060;3;2600;0;0
01.06.2020 19:00;8;236457;16;320113;0;0;280;283641;39;16782;3;1460;3;1580;3;1540;3;1500;2;980;5;8910;5;3790
01.06.2020 20:00;5;191882;25;406402;0;0;251;208870;38;48140;3;1530;3;1470;3;1540;4;2160;4;2070;5;3810;3;2970
01.06.2020 21:00;9;216982;18;508270;0;0;185;118486;26;10800;4;1960;4;2040;3;1460;3;1540;3;1500;1;960;1;910
01.06.2020 22:00;4;124450;19;315098;0;0;164;93116;42;13770;3;1520;3;1470;3;1520;3;1470;3;1460;0;0;0;0
01.06.2020 23:00;4;170564;10;194788;0;0;86;48026;40;13590;2;980;2;980;3;1500;3;1520;3;1560;0;0;0;0
02.06.2020 00:00;4;109610;7;131380;0;0;64;48690;25;8100;1;480;1;490;3;1500;3;1500;3;1490;0;0;0;0
02.06.2020 01:00;1;71990;1;540;0;0;40;22410;17;6300;1;540;1;500;2;980;2;1020;2;1040;0;0;0;0
02.06.2020 02:00;2;1170;3;75690;0;0;17;9000;15;5220;1;490;1;500;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;2;129197;1;540;0;0;19;10980;14;5812;1;480;1;480;1;540;1;540;1;480;0;0;0;0
02.06.2020 04:00;0;0;3;119914;0;0;26;19980;12;2700;1;480;1;500;2;980;2;1020;2;1080;1;1090;0;0
02.06.2020 05:00;3;107080;5;40590;0;0;150;94860;31;33830;3;1520;4;2050;2;1020;3;1480;4;2080;1;400;0;0
02.06.2020 06:00;14;578562;13;324723;0;0;304;265493;67;32816;8;4100;8;3970;7;3600;8;4060;8;3980;1;1330;1;950
02.06.2020 07:00;23;693306;45;789126;0;0;594;605539;72;140930;7;3500;7;3560;9;4540;12;6040;12;5940;1;830;4;4320
02.06.2020 08:00;25;752574;53;795976;0;0;599;898314;69;145350;8;4020;8;4050;8;3980;8;4040;9;4600;7;9450;4;3490
02.06.2020 09:00;26;682964;60;1074686;0;0;525;516601;72;128430;6;3070;7;3500;6;3040;6;3080;6;2990;7;8350;5;5210
02.06.2020 10:00;43;840414;86;993270;0;0;562;821412;77;240747;6;3080;6;3010;6;3060;6;3100;6;3060;1;2720;10;9660
02.06.2020 11:00;39;790316;94;1155852;0;0;468;981951;111;273020;6;2980;6;2990;7;3560;6;3010;7;3520;15;14900;9;7090
02.06.2020 12:00;41;830010;92;1485246;0;0;526;743126;90;179810;8;4060;9;4430;7;3510;7;3570;8;4040;11;19816;7;11790
02.06.2020 13:00;35;791268;90;1303931;0;0;596;971179;70;158221;10;5100;10;5110;8;3970;8;4010;8;4060;7;10810;4;4170
02.06.2020 14:00;35;738776;79;1299110;0;0;631;914641;86;183595;11;5410;11;5450;8;3960;9;4560;9;4502;3;2710;2;1910
02.06.2020 15:00;43;991322;87;1503399;0;0;598;869181;79;197320;7;3470;8;4090;8;4130;8;4040;9;4590;13;17960;9;19780
02.06.2020 16:00;57;1367131;85;1463211;0;0;663;1275053;90;235870;9;4590;9;4440;9;4470;9;4520;9;4520;10;12109;2;1120
02.06.2020 17:00;70;1358847;111;1954662;0;0;634;901502;87;262881;10;5070;9;4500;8;4060;8;4070;9;4560;12;10710;8;8340
02.06.2020 18:00;29;798353;75;1384232;0;0;548;560474;71;102580;7;3460;9;4460;8;4180;8;4080;9;4610;12;11060;7;4520
02.06.2020 19:00;20;565586;75;1228700;0;0;459;475347;68;66510;9;4590;8;4020;8;3950;8;4140;8;4100;7;8660;4;3730
02.06.2020 20:00;21;384628;41;943207;0;0;311;272638;47;118250;3;1560;4;2000;5;2580;5;2500;5;2540;5;3910;13;9000
02.06.2020 21:00;17;296420;49;936171;0;0;236;196597;39;28800;3;1510;3;1540;3;1540;3;1550;4;2060;2;2040;0;0
02.06.2020 22:00;7;297886;18;361803;0;0;153;85410;47;16740;4;1980;5;2470;2;980;2;1000;2;1000;0;0;1;690
02.06.2020 23:00;5;157230;12;107440;0;0;104;54990;44;13500;2;980;2;990;3;1520;3;1460;3;1540;1;1080;0;0
03.06.2020 00:00;2;66140;6;133700;0;0;61;33210;27;8730;1;480;1;500;1;540;1;490;2;1000;0;0;0;0
03.06.2020 01:00;0;0;3;156420;0;0;38;20960;19;5760;1;540;1;500;1;500;1;540;1;470;0;0;0;0
03.06.2020 02:00;0;0;1;450;0;0;34;19530;16;4860;1;540;1;500;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;1;32400;2;60910;0;0;30;14490;12;3690;0;0;1;540;0;0;0;0;1;480;0;0;0;0
03.06.2020 04:00;0;0;2;720;0;0;27;19350;11;3870;1;540;1;500;2;1080;2;980;2;960;0;0;0;0
03.06.2020 05:00;3;91250;7;114910;0;0;149;106550;31;13140;3;1460;3;1440;5;2520;5;2480;4;2080;1;670;0;0
