01.06.2020 00:00;Bel_T1;Vwz_T1;Bel_T2;Vwz_T2
01.06.2020 00:00;0;0;0;3600000
01.06.2020 01:00;0;0;0;3600000
01.06.2020 02:00;0;0;0;3600000
01.06.2020 03:00;0;0;0;3600000
01.06.2020 04:00;0;0;0;3600000
01.06.2020 05:00;0;0;0;3600000
01.06.2020 06:00;0;0;0;3600000
01.06.2020 07:00;1;410;1;3166546
01.06.2020 08:00;0;0;2;1030
01.06.2020 09:00;1;680;0;0
01.06.2020 10:00;4;5189;3;2620
01.06.2020 11:00;4;2150;6;115130
01.06.2020 12:00;6;6580;4;38010
01.06.2020 13:00;5;4460;12;51930
01.06.2020 14:00;2;1730;11;8140
01.06.2020 15:00;8;8210;13;143890
01.06.2020 16:00;6;6050;8;128240
01.06.2020 17:00;8;6530;15;16000
01.06.2020 18:00;7;6000;4;2680
01.06.2020 19:00;6;5620;4;3260
01.06.2020 20:00;11;8280;2;1970
01.06.2020 21:00;13;14460;3;191079
01.06.2020 22:00;1;540;1;910
01.06.2020 23:00;1;710;3;3100
02.06.2020 00:00;0;0;0;0
02.06.2020 01:00;0;0;0;0
02.06.2020 02:00;0;0;0;0
02.06.2020 03:00;0;0;0;0
02.06.2020 04:00;0;0;0;0
02.06.2020 05:00;0;0;0;0
02.06.2020 06:00;2;1840;5;431779
02.06.2020 07:00;3;3740;8;44680
02.06.2020 08:00;4;5240;16;85600
02.06.2020 09:00;10;14650;31;59549
02.06.2020 10:00;20;185861;17;17320
02.06.2020 11:00;15;134550;17;139540
02.06.2020 12:00;18;18830;25;61688
02.06.2020 13:00;19;19449;26;73270
02.06.2020 14:00;22;20890;27;145590
02.06.2020 15:00;20;223780;21;345755
02.06.2020 16:00;25;21350;34;463349
02.06.2020 17:00;48;40918;21;22360
02.06.2020 18:00;40;108591;13;250917
02.06.2020 19:00;15;14160;13;364874
02.06.2020 20:00;8;8120;18;21430
02.06.2020 21:00;3;25950;3;1960
02.06.2020 22:00;3;16200;2;1410
02.06.2020 23:00;0;0;0;0
03.06.2020 00:00;0;0;0;0
03.06.2020 01:00;0;0;0;0
03.06.2020 02:00;0;0;0;0
03.06.2020 03:00;0;0;0;0
03.06.2020 04:00;0;0;0;0
03.06.2020 05:00;0;0;0;0
03.06.2020 06:00;1;810;3;2570
03.06.2020 07:00;0;0;11;631081
03.06.2020 08:00;4;3670;20;220934
03.06.2020 09:00;6;5320;21;352791
03.06.2020 10:00;12;8390;22;618478
03.06.2020 11:00;14;16600;15;298480
03.06.2020 12:00;15;33820;23;156383
03.06.2020 13:00;14;13150;18;97035
03.06.2020 14:00;16;16250;22;20580
03.06.2020 15:00;33;32910;30;283454
03.06.2020 16:00;30;22570;17;13390
03.06.2020 17:00;26;23650;15;408325
03.06.2020 18:00;23;93003;16;21480
03.06.2020 19:00;16;46190;9;361545
03.06.2020 20:00;5;32890;6;7990
03.06.2020 21:00;2;1240;1;670
03.06.2020 22:00;1;830;0;0
03.06.2020 23:00;0;0;0;0
04.06.2020 00:00;0;0;0;0
04.06.2020 01:00;0;0;0;0
04.06.2020 02:00;0;0;0;0
04.06.2020 03:00;0;0;0;0
04.06.2020 04:00;0;0;0;0
04.06.2020 05:00;0;0;0;0
04.06.2020 06:00;2;1610;2;1430
04.06.2020 07:00;6;4010;13;13880
04.06.2020 08:00;4;199034;17;61720
04.06.2020 09:00;2;1690;20;591813
04.06.2020 10:00;13;11450;19;406781
04.06.2020 11:00;11;10100;17;106600
04.06.2020 12:00;14;415565;13;357885
04.06.2020 13:00;20;23390;17;65680
04.06.2020 14:00;31;34160;27;133770
04.06.2020 15:00;24;406147;23;25050
04.06.2020 16:00;18;60563;18;114567
04.06.2020 17:00;21;133132;15;18300
04.06.2020 18:00;21;274990;10;234184
04.06.2020 19:00;10;8120;14;75180
04.06.2020 20:00;6;4164;3;3640
04.06.2020 21:00;4;66840;2;1300
04.06.2020 22:00;2;1420;1;1116150
04.06.2020 23:00;0;0;0;3600000
05.06.2020 00:00;0;0;0;3600000
05.06.2020 01:00;0;0;0;3600000
05.06.2020 02:00;0;0;0;3600000
05.06.2020 03:00;1;680;0;2788349
05.06.2020 04:00;0;0;0;0
05.06.2020 05:00;0;0;0;0
05.06.2020 06:00;0;0;4;2380
05.06.2020 07:00;3;2000;13;304695
05.06.2020 08:00;9;127880;21;21830
05.06.2020 09:00;8;169734;16;17840
05.06.2020 10:00;8;7340;20;18260
05.06.2020 11:00;21;209748;21;18210
05.06.2020 12:00;21;20610;27;31030
05.06.2020 13:00;25;67709;20;187440
05.06.2020 14:00;19;47290;31;134737
05.06.2020 15:00;18;347636;18;20660
05.06.2020 16:00;24;341160;11;10540
05.06.2020 17:00;18;16900;12;10330
05.06.2020 18:00;19;18380;6;6190
05.06.2020 19:00;15;573400;3;2600
05.06.2020 20:00;6;913537;6;6520
05.06.2020 21:00;2;1870;3;4450
05.06.2020 22:00;0;0;1;1400
05.06.2020 23:00;0;0;1;650
06.06.2020 00:00;0;0;0;0
06.06.2020 01:00;0;0;0;0
06.06.2020 02:00;0;0;0;0
06.06.2020 03:00;0;0;0;0
06.06.2020 04:00;0;0;0;0
06.06.2020 05:00;0;0;0;0
06.06.2020 06:00;0;0;1;1360
06.06.2020 07:00;0;0;2;1840
06.06.2020 08:00;2;812030;6;3990
06.06.2020 09:00;2;1490;11;8790
06.06.2020 10:00;6;4420;14;180590
06.06.2020 11:00;17;19649;24;182601
06.06.2020 12:00;14;15280;25;27064
06.06.2020 13:00;19;272383;21;310406
06.06.2020 14:00;19;20410;15;175737
06.06.2020 15:00;24;110940;8;5840
06.06.2020 16:00;18;190520;19;247247
06.06.2020 17:00;21;73950;15;69220
06.06.2020 18:00;19;73980;9;20370
06.06.2020 19:00;27;84398;6;61038
06.06.2020 20:00;7;479232;6;465608
06.06.2020 21:00;3;2080;7;4670
06.06.2020 22:00;0;0;2;2250
06.06.2020 23:00;0;0;2;2580
07.06.2020 00:00;0;0;0;0
07.06.2020 01:00;0;0;0;0
07.06.2020 02:00;0;0;0;0
07.06.2020 03:00;0;0;0;0
07.06.2020 04:00;0;0;0;0
07.06.2020 05:00;0;0;0;0
07.06.2020 06:00;0;0;0;0
07.06.2020 07:00;0;0;2;2270
07.06.2020 08:00;0;0;1;420
07.06.2020 09:00;1;570;0;0
07.06.2020 10:00;3;1530;3;2860
07.06.2020 11:00;1;750;6;5650
07.06.2020 12:00;1;930;9;12820
07.06.2020 13:00;4;3660;4;125705
07.06.2020 14:00;5;4940;7;11510
07.06.2020 15:00;5;4970;7;275447
07.06.2020 16:00;8;6640;10;9030
07.06.2020 17:00;11;8380;9;111475
07.06.2020 18:00;11;9020;6;197601
07.06.2020 19:00;6;4560;6;4730
07.06.2020 20:00;3;364611;4;2350
07.06.2020 21:00;3;1795;3;192782
07.06.2020 22:00;0;0;2;1940
07.06.2020 23:00;1;570;0;0
08.06.2020 00:00;0;0;0;0
08.06.2020 01:00;0;0;0;0
08.06.2020 02:00;0;0;0;0
08.06.2020 03:00;0;0;0;0
08.06.2020 04:00;0;0;0;0
08.06.2020 05:00;0;0;0;0
08.06.2020 06:00;2;1410;5;4210
08.06.2020 07:00;8;23260;10;8770
08.06.2020 08:00;2;1260;22;21620
08.06.2020 09:00;8;4680;22;168572
08.06.2020 10:00;7;10250;23;209187
08.06.2020 11:00;15;125274;20;62430
08.06.2020 12:00;21;21540;16;259468
08.06.2020 13:00;25;132930;28;152278
08.06.2020 14:00;33;223183;35;164870
08.06.2020 15:00;25;113949;22;117399
08.06.2020 16:00;22;222596;20;369223
08.06.2020 17:00;25;20760;29;74700
08.06.2020 18:00;34;51660;19;197270
08.06.2020 19:00;26;203729;12;72670
08.06.2020 20:00;14;659464;9;139232
08.06.2020 21:00;3;3910;5;612461
08.06.2020 22:00;0;0;2;1940
08.06.2020 23:00;0;0;1;1560
09.06.2020 00:00;0;0;0;0
09.06.2020 01:00;0;0;0;0
09.06.2020 02:00;0;0;0;0
09.06.2020 03:00;0;0;0;0
09.06.2020 04:00;0;0;0;0
09.06.2020 05:00;0;0;0;0
09.06.2020 06:00;0;0;9;14960
09.06.2020 07:00;7;6090;14;123841
09.06.2020 08:00;5;252710;18;80700
09.06.2020 09:00;12;143070;22;106321
09.06.2020 10:00;11;78216;22;687537
09.06.2020 11:00;13;107938;11;10421
09.06.2020 12:00;11;8970;13;18340
09.06.2020 13:00;9;12150;22;233970
09.06.2020 14:00;19;55800;18;260100
09.06.2020 15:00;19;156440;23;122390
09.06.2020 16:00;24;25130;20;204335
09.06.2020 17:00;50;111449;18;18350
09.06.2020 18:00;21;46080;23;34619
09.06.2020 19:00;11;222458;9;416086
09.06.2020 20:00;12;114140;6;36180
09.06.2020 21:00;1;1120;4;3700
09.06.2020 22:00;1;1020;4;2910
09.06.2020 23:00;0;0;0;0
10.06.2020 00:00;0;0;0;0
10.06.2020 01:00;0;0;0;0
10.06.2020 02:00;0;0;0;0
10.06.2020 03:00;0;0;0;0
10.06.2020 04:00;0;0;0;0
10.06.2020 05:00;0;0;0;0
10.06.2020 06:00;1;862720;5;3770
10.06.2020 07:00;2;216384;11;10050
10.06.2020 08:00;12;14330;16;518829
10.06.2020 09:00;9;191697;18;90187
10.06.2020 10:00;12;10726;13;14610
10.06.2020 11:00;12;11010;16;22280
10.06.2020 12:00;11;399771;17;167714
10.06.2020 13:00;21;117861;20;17750
10.06.2020 14:00;21;408074;24;27359
10.06.2020 15:00;28;182330;23;28950
10.06.2020 16:00;21;209930;16;265170
10.06.2020 17:00;37;528759;20;185554
10.06.2020 18:00;29;96660;21;201797
10.06.2020 19:00;21;288380;8;36650
10.06.2020 20:00;8;368272;13;11160
10.06.2020 21:00;4;3670;14;17720
10.06.2020 22:00;6;4280;3;642624
10.06.2020 23:00;1;650;2;1790
11.06.2020 00:00;0;0;0;0
11.06.2020 01:00;0;0;0;0
11.06.2020 02:00;0;0;0;0
11.06.2020 03:00;0;0;0;0
11.06.2020 04:00;0;0;0;0
11.06.2020 05:00;0;0;0;0
11.06.2020 06:00;0;0;0;0
11.06.2020 07:00;0;0;0;0
11.06.2020 08:00;0;0;1;690
11.06.2020 09:00;0;0;0;0
11.06.2020 10:00;0;0;4;2266
11.06.2020 11:00;7;1121292;2;100820
11.06.2020 12:00;6;8300;4;2660
11.06.2020 13:00;3;2870;5;3290
11.06.2020 14:00;5;7630;11;13150
11.06.2020 15:00;3;5100;4;3680
11.06.2020 16:00;3;1810;10;8930
11.06.2020 17:00;9;126810;10;11757
11.06.2020 18:00;3;254452;11;688348
11.06.2020 19:00;4;13450;5;8670
11.06.2020 20:00;6;3580;9;6890
11.06.2020 21:00;7;4480;6;74840
11.06.2020 22:00;3;184684;3;2270
11.06.2020 23:00;0;0;1;790
12.06.2020 00:00;0;0;0;0
12.06.2020 01:00;0;0;0;0
12.06.2020 02:00;0;0;0;0
12.06.2020 03:00;0;0;0;0
12.06.2020 04:00;0;0;0;0
12.06.2020 05:00;0;0;0;0
12.06.2020 06:00;0;0;4;4670
12.06.2020 07:00;0;0;10;127930
12.06.2020 08:00;4;4460;14;228130
12.06.2020 09:00;8;10740;23;136700
12.06.2020 10:00;11;163952;28;196110
12.06.2020 11:00;17;46210;26;326802
12.06.2020 12:00;20;17710;19;421990
12.06.2020 13:00;26;27000;34;132502
12.06.2020 14:00;30;54598;23;50340
12.06.2020 15:00;22;22530;32;27170
12.06.2020 16:00;31;31220;21;101220
12.06.2020 17:00;38;101070;18;18270
12.06.2020 18:00;27;42020;14;151547
12.06.2020 19:00;30;430268;11;17080
12.06.2020 20:00;12;6670;12;86260
12.06.2020 21:00;5;3920;8;6980
12.06.2020 22:00;5;1419073;0;0
12.06.2020 23:00;0;0;3;2900
13.06.2020 00:00;0;0;1;390
13.06.2020 01:00;0;0;0;0
13.06.2020 02:00;0;0;0;0
13.06.2020 03:00;0;0;0;0
13.06.2020 04:00;0;0;0;0
13.06.2020 05:00;0;0;0;0
13.06.2020 06:00;0;0;2;2090
13.06.2020 07:00;1;1100;1;3280
13.06.2020 08:00;1;1100;18;90590
13.06.2020 09:00;6;365134;14;127940
13.06.2020 10:00;5;77180;19;557700
13.06.2020 11:00;9;156754;12;505879
13.06.2020 12:00;14;206320;27;193759
13.06.2020 13:00;24;25058;23;228052
13.06.2020 14:00;21;23450;22;395785
13.06.2020 15:00;25;42510;30;99390
13.06.2020 16:00;33;205898;16;17340
13.06.2020 17:00;30;38540;8;9620
13.06.2020 18:00;25;136900;6;112084
13.06.2020 19:00;25;29264;8;4800
13.06.2020 20:00;17;14588;6;7020
13.06.2020 21:00;4;3170;6;113530
13.06.2020 22:00;3;3920;2;2380
13.06.2020 23:00;2;920583;1;2270
14.06.2020 00:00;0;0;2;3270
14.06.2020 01:00;0;0;0;0
14.06.2020 02:00;0;0;0;0
14.06.2020 03:00;0;0;0;0
14.06.2020 04:00;0;0;0;0
14.06.2020 05:00;0;0;0;0
14.06.2020 06:00;0;0;0;0
14.06.2020 07:00;0;0;0;0
14.06.2020 08:00;0;0;0;0
14.06.2020 09:00;2;1465001;1;610
14.06.2020 10:00;3;1700;0;0
14.06.2020 11:00;0;0;8;6566
14.06.2020 12:00;2;2520;7;323950
14.06.2020 13:00;7;5259;6;207180
14.06.2020 14:00;1;700;17;19080
14.06.2020 15:00;3;1670;13;15360
14.06.2020 16:00;4;617574;6;5360
14.06.2020 17:00;11;7320;5;8350
14.06.2020 18:00;8;573915;9;9160
14.06.2020 19:00;10;276651;6;6450
14.06.2020 20:00;7;6720;9;148854
14.06.2020 21:00;3;3610;4;2960
14.06.2020 22:00;0;0;1;750
14.06.2020 23:00;0;0;0;0
15.06.2020 00:00;0;0;0;0
15.06.2020 01:00;0;0;0;0
15.06.2020 02:00;0;0;0;0
15.06.2020 03:00;0;0;0;0
15.06.2020 04:00;0;0;0;0
15.06.2020 05:00;1;950;0;0
15.06.2020 06:00;0;0;1;400
15.06.2020 07:00;8;8900;15;14700
15.06.2020 08:00;8;11680;16;190923
15.06.2020 09:00;7;5230;26;123558
15.06.2020 10:00;13;8010;24;334454
15.06.2020 11:00;10;9690;30;215029
15.06.2020 12:00;12;9119;30;217002
15.06.2020 13:00;18;358444;20;28320
15.06.2020 14:00;21;344205;35;29299
15.06.2020 15:00;18;18980;24;180801
15.06.2020 16:00;32;34256;8;386709
15.06.2020 17:00;31;83820;15;17670
15.06.2020 18:00;30;156000;9;107425
15.06.2020 19:00;15;352026;8;9340
15.06.2020 20:00;3;480547;6;5640
15.06.2020 21:00;2;2470;3;2810
15.06.2020 22:00;0;0;4;1997320
15.06.2020 23:00;0;0;0;3600000
16.06.2020 00:00;0;0;0;3600000
16.06.2020 01:00;0;0;0;3600000
16.06.2020 02:00;0;0;0;3600000
16.06.2020 03:00;0;0;0;2529523
16.06.2020 04:00;0;0;0;0
16.06.2020 05:00;0;0;0;0
16.06.2020 06:00;2;1258430;1;570
16.06.2020 07:00;1;84267;10;345133
16.06.2020 08:00;5;173166;21;105260
16.06.2020 09:00;7;7250;31;91110
16.06.2020 10:00;3;60650;12;196620
16.06.2020 11:00;8;194350;17;154020
16.06.2020 12:00;9;273638;13;11000
16.06.2020 13:00;22;21099;28;26789
16.06.2020 14:00;24;197552;19;266063
16.06.2020 15:00;19;455863;12;12490
16.06.2020 16:00;36;482380;28;70520
16.06.2020 17:00;27;176010;15;13950
16.06.2020 18:00;24;54950;7;7380
16.06.2020 19:00;13;12630;10;110549
16.06.2020 20:00;7;4890;17;359878
16.06.2020 21:00;1;590;6;219780
16.06.2020 22:00;5;8760;2;96476
16.06.2020 23:00;0;0;0;0
17.06.2020 00:00;0;0;1;540
17.06.2020 01:00;0;0;0;0
17.06.2020 02:00;0;0;0;0
