01.06.2020 00:00;Bel_Anf_35;Vwz_Anf_35
01.06.2020 00:00;0;0
01.06.2020 01:00;0;0
01.06.2020 02:00;0;0
01.06.2020 03:00;0;0
01.06.2020 04:00;0;0
01.06.2020 05:00;0;0
01.06.2020 06:00;0;0
01.06.2020 07:00;0;0
01.06.2020 08:00;3;5570
01.06.2020 09:00;7;549673
01.06.2020 10:00;18;112600
01.06.2020 11:00;24;216290
01.06.2020 12:00;31;154410
01.06.2020 13:00;32;185010
01.06.2020 14:00;37;56617
01.06.2020 15:00;42;215526
01.06.2020 16:00;32;46840
01.06.2020 17:00;34;49720
01.06.2020 18:00;29;155298
01.06.2020 19:00;26;39530
01.06.2020 20:00;26;159950
01.06.2020 21:00;11;56060
01.06.2020 22:00;0;0
01.06.2020 23:00;0;0
02.06.2020 00:00;0;0
02.06.2020 01:00;0;0
02.06.2020 02:00;0;0
02.06.2020 03:00;0;0
02.06.2020 04:00;0;0
02.06.2020 05:00;1;1450
02.06.2020 06:00;5;7030
02.06.2020 07:00;12;17320
02.06.2020 08:00;17;24450
02.06.2020 09:00;13;51560
02.06.2020 10:00;16;137790
02.06.2020 11:00;20;544317
02.06.2020 12:00;19;280830
02.06.2020 13:00;24;34300
02.06.2020 14:00;23;345370
02.06.2020 15:00;32;48330
02.06.2020 16:00;29;124223
02.06.2020 17:00;29;258280
02.06.2020 18:00;28;39840
02.06.2020 19:00;34;51130
02.06.2020 20:00;15;856698
02.06.2020 21:00;11;18330
02.06.2020 22:00;2;118968
02.06.2020 23:00;0;0
03.06.2020 00:00;0;0
03.06.2020 01:00;0;0
03.06.2020 02:00;0;0
03.06.2020 03:00;1;1420
03.06.2020 04:00;0;0
03.06.2020 05:00;1;1050540
03.06.2020 06:00;3;2225291
03.06.2020 07:00;11;15780
03.06.2020 08:00;14;1048293
03.06.2020 09:00;20;120265
03.06.2020 10:00;26;287733
03.06.2020 11:00;13;366923
03.06.2020 12:00;23;34170
03.06.2020 13:00;37;55940
