01.06.2020 00:00;Bel_TB32;Vwz_TB32;Bel_TF32;Vwz_TF32;Bel_V21;Vwz_V21;Bel_V81;Vwz_V81;Bel_VK1_2Stoer;Vwz_VK1_2Stoer
01.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 07:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 08:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 09:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 10:00;3;1800;2;1200;0;0;0;0;0;0
01.06.2020 11:00;3;1800;2;1800;0;0;0;0;0;0
01.06.2020 12:00;1;600;1;600;0;0;0;0;0;0
01.06.2020 13:00;1;3600;4;4200;0;0;0;0;0;0
01.06.2020 14:00;1;600;1;600;0;0;0;0;0;0
01.06.2020 15:00;0;0;0;0;0;0;0;0;0;0
01.06.2020 16:00;1;600;2;1200;0;0;0;0;0;0
01.06.2020 17:00;7;6600;12;10200;0;0;0;0;0;0
01.06.2020 18:00;2;1200;3;1800;0;0;0;0;0;0
01.06.2020 19:00;1;600;1;600;0;0;0;0;0;0
01.06.2020 20:00;1;600;0;0;0;0;0;0;0;0
01.06.2020 21:00;1;600;0;0;0;0;0;0;0;0
01.06.2020 22:00;0;0;1;600;0;0;0;0;0;0
01.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 07:00;3;1800;9;6600;0;0;0;0;0;0
02.06.2020 08:00;7;3600;8;5400;0;0;0;0;0;0
02.06.2020 09:00;9;7200;5;4200;0;0;0;0;0;0
02.06.2020 10:00;15;12600;8;5400;0;0;0;0;0;0
02.06.2020 11:00;3;2400;9;6600;0;0;0;0;0;0
02.06.2020 12:00;1;1200;3;1800;0;0;0;0;0;0
02.06.2020 13:00;9;7800;5;3600;0;0;0;0;0;0
02.06.2020 14:00;11;8400;5;3600;0;0;0;0;0;0
02.06.2020 15:00;9;7200;2;1200;0;0;0;0;0;0
02.06.2020 16:00;5;4800;10;8400;0;0;0;0;0;0
02.06.2020 17:00;3;1800;9;6600;0;0;0;0;0;0
02.06.2020 18:00;1;600;5;4200;0;0;0;0;0;0
02.06.2020 19:00;6;6600;3;3000;0;0;0;0;0;0
02.06.2020 20:00;3;2400;7;4200;0;0;0;0;0;0
02.06.2020 21:00;0;0;1;600;0;0;0;0;0;0
02.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
02.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
03.06.2020 07:00;12;13200;6;3600;0;0;0;0;0;0
03.06.2020 08:00;9;6000;10;8400;0;0;0;0;0;0
03.06.2020 09:00;4;4200;4;3000;0;0;0;0;0;0
03.06.2020 10:00;14;12000;9;6000;0;0;0;0;0;0
03.06.2020 11:00;2;1200;9;7200;0;0;0;0;0;0
03.06.2020 12:00;7;4800;10;6600;0;0;0;0;0;0
03.06.2020 13:00;12;8400;11;9000;0;0;0;0;0;0
03.06.2020 14:00;2;1800;7;4200;0;0;0;0;0;0
03.06.2020 15:00;3;1800;6;4200;0;0;0;0;0;0
03.06.2020 16:00;6;3600;4;2400;0;0;0;0;0;0
03.06.2020 17:00;5;4200;10;6600;0;0;0;0;0;0
03.06.2020 18:00;1;1200;2;1200;0;0;0;0;0;0
03.06.2020 19:00;3;1800;0;0;0;0;0;0;0;0
03.06.2020 20:00;1;600;1;600;0;0;0;0;0;0
03.06.2020 21:00;1;600;0;0;0;0;0;0;0;0
03.06.2020 22:00;1;1200;1;600;0;0;0;0;0;0
03.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 01:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 07:00;5;3600;4;2400;0;0;0;0;0;0
04.06.2020 08:00;6;3600;7;4800;0;0;0;0;0;0
04.06.2020 09:00;1;600;2;2400;0;0;0;0;0;0
04.06.2020 10:00;8;6600;7;4800;0;0;0;0;0;0
04.06.2020 11:00;10;12600;4;2400;0;0;0;0;0;0
04.06.2020 12:00;3;1800;5;4200;0;0;0;0;0;0
04.06.2020 13:00;10;8400;4;2400;0;0;0;0;0;0
04.06.2020 14:00;6;5400;7;4800;0;0;0;0;0;0
04.06.2020 15:00;2;1200;5;3000;0;0;0;0;0;0
04.06.2020 16:00;6;4200;5;4800;0;0;0;0;0;0
04.06.2020 17:00;5;3000;9;6000;0;0;0;0;0;0
04.06.2020 18:00;1;600;5;4200;0;0;0;0;0;0
04.06.2020 19:00;3;1800;2;1200;0;0;0;0;0;0
04.06.2020 20:00;2;1200;0;0;0;0;0;0;0;0
04.06.2020 21:00;1;1200;1;600;0;0;0;0;0;0
04.06.2020 22:00;0;0;0;0;0;0;0;0;0;0
04.06.2020 23:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 00:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 01:00;0;0;1;600;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 04:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 05:00;0;0;0;0;0;0;0;0;0;0
05.06.2020 06:00;0;0;0;0;0;0;0;0;0;0
