01.06.2020 00:00;Bel_TB32a_AF;Vwz_TB32a_AF;Bel_TBS32_AF;Vwz_TBS32_AF;Bel_TBs32a_AF;Vwz_TBs32a_AF;Bel_TF32_AF;Vwz_TF32_AF
01.06.2020 00:00;0;0;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;0;0;0;0
01.06.2020 06:00;0;0;0;0;0;0;0;0
01.06.2020 07:00;0;0;0;0;0;0;0;0
01.06.2020 08:00;0;0;0;0;0;0;0;0
01.06.2020 09:00;1;600;0;0;1;1200;1;600
01.06.2020 10:00;5;3600;0;0;1;600;4;2400
01.06.2020 11:00;3;2400;2;1200;1;1200;2;1200
01.06.2020 12:00;3;1800;0;0;0;0;2;1800
01.06.2020 13:00;3;3600;2;1800;2;1800;6;6000
01.06.2020 14:00;2;1200;2;1200;3;2400;1;600
01.06.2020 15:00;3;2400;0;0;0;0;1;600
01.06.2020 16:00;5;4200;0;0;2;1200;1;600
01.06.2020 17:00;0;0;1;600;0;0;2;1200
01.06.2020 18:00;1;600;2;2400;1;600;1;600
01.06.2020 19:00;1;600;0;0;0;0;0;0
01.06.2020 20:00;0;0;0;0;0;0;1;600
01.06.2020 21:00;0;0;0;0;0;0;0;0
01.06.2020 22:00;0;0;1;600;0;0;1;600
01.06.2020 23:00;0;0;0;0;0;0;0;0
02.06.2020 00:00;0;0;0;0;0;0;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0
02.06.2020 04:00;0;0;0;0;0;0;0;0
02.06.2020 05:00;0;0;0;0;0;0;0;0
02.06.2020 06:00;0;0;0;0;0;0;0;0
02.06.2020 07:00;9;6600;0;0;14;10200;1;600
02.06.2020 08:00;11;7800;1;600;6;4200;2;1200
02.06.2020 09:00;9;5400;1;600;0;0;2;1200
02.06.2020 10:00;3;3000;1;600;0;0;1;600
02.06.2020 11:00;0;0;0;0;0;0;0;0
02.06.2020 12:00;1;600;2;2400;0;0;7;5400
02.06.2020 13:00;0;0;6;3600;1;600;10;7200
02.06.2020 14:00;0;0;0;0;0;0;1;600
02.06.2020 15:00;1;600;1;600;2;3600;4;4200
02.06.2020 16:00;1;600;1;600;1;600;1;600
02.06.2020 17:00;2;1200;0;0;2;1800;0;0
02.06.2020 18:00;1;600;2;1200;2;1800;5;4200
02.06.2020 19:00;1;600;1;600;0;0;2;1200
02.06.2020 20:00;1;1800;0;0;0;0;0;0
02.06.2020 21:00;0;0;0;0;0;0;2;1800
02.06.2020 22:00;0;0;0;0;0;0;2;1800
02.06.2020 23:00;0;0;0;0;0;0;0;0
03.06.2020 00:00;0;0;0;0;0;0;0;0
03.06.2020 01:00;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;0;0;0;0;0
03.06.2020 04:00;0;0;0;0;0;0;0;0
03.06.2020 05:00;0;0;0;0;0;0;0;0
03.06.2020 06:00;0;0;0;0;1;600;1;600
03.06.2020 07:00;8;6600;1;600;9;8400;0;0
03.06.2020 08:00;4;2400;0;0;2;1200;0;0
03.06.2020 09:00;0;0;0;0;0;0;1;600
03.06.2020 10:00;1;600;1;600;0;0;1;600
03.06.2020 11:00;5;4200;2;4200;2;3000;2;1800
03.06.2020 12:00;3;3600;3;3000;0;0;2;1200
03.06.2020 13:00;2;1800;6;3600;0;0;6;3600
03.06.2020 14:00;0;0;1;600;0;0;2;1200
03.06.2020 15:00;2;1200;0;0;4;4200;0;0
03.06.2020 16:00;1;600;4;3600;0;0;3;3000
03.06.2020 17:00;0;0;1;1800;0;0;1;600
03.06.2020 18:00;1;600;0;0;0;0;1;600
03.06.2020 19:00;0;0;0;0;0;0;0;0
03.06.2020 20:00;0;0;0;0;0;0;2;1800
03.06.2020 21:00;0;0;1;600;0;0;0;0
03.06.2020 22:00;0;0;0;0;0;0;0;0
03.06.2020 23:00;0;0;0;0;0;0;0;0
04.06.2020 00:00;0;0;0;0;0;0;0;0
04.06.2020 01:00;0;0;0;0;0;0;0;0
04.06.2020 02:00;0;0;0;0;0;0;0;0
04.06.2020 03:00;0;0;0;0;0;0;0;0
04.06.2020 04:00;0;0;0;0;0;0;0;0
04.06.2020 05:00;0;0;0;0;0;0;0;0
04.06.2020 06:00;0;0;0;0;0;0;0;0
04.06.2020 07:00;1;600;0;0;8;6600;1;600
04.06.2020 08:00;1;600;1;600;2;1200;1;600
04.06.2020 09:00;3;3000;0;0;0;0;0;0
04.06.2020 10:00;1;600;1;600;1;600;3;2400
04.06.2020 11:00;1;600;0;0;0;0;1;600
04.06.2020 12:00;1;600;5;4800;0;0;5;4200
04.06.2020 13:00;0;0;4;3600;0;0;3;1800
04.06.2020 14:00;0;0;0;0;0;0;0;0
04.06.2020 15:00;0;0;0;0;1;600;0;0
04.06.2020 16:00;0;0;3;2400;2;1200;1;600
04.06.2020 17:00;2;1200;1;600;0;0;0;0
04.06.2020 18:00;0;0;0;0;0;0;1;600
04.06.2020 19:00;0;0;0;0;0;0;0;0
04.06.2020 20:00;0;0;0;0;0;0;0;0
04.06.2020 21:00;0;0;0;0;0;0;1;600
04.06.2020 22:00;0;0;0;0;0;0;0;0
04.06.2020 23:00;0;0;0;0;0;0;0;0
05.06.2020 00:00;0;0;0;0;0;0;0;0
05.06.2020 01:00;0;0;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;0;0;0;0
05.06.2020 04:00;0;0;0;0;0;0;0;0
05.06.2020 05:00;0;0;0;0;0;0;0;0
05.06.2020 06:00;0;0;0;0;0;0;0;0
05.06.2020 07:00;2;1200;0;0;2;1200;1;600
05.06.2020 08:00;4;2400;2;1200;5;4200;2;1200
05.06.2020 09:00;5;3600;0;0;5;6600;4;3600
05.06.2020 10:00;2;3600;0;0;1;600;0;0
05.06.2020 11:00;0;0;0;0;0;0;0;0
05.06.2020 12:00;2;1200;2;1200;0;0;4;3000
05.06.2020 13:00;0;0;11;12000;1;600;10;9000
05.06.2020 14:00;0;0;0;0;0;0;5;4800
05.06.2020 15:00;0;0;0;0;1;600;0;0
05.06.2020 16:00;0;0;0;0;0;0;0;0
05.06.2020 17:00;0;0;0;0;0;0;1;600
05.06.2020 18:00;0;0;0;0;0;0;2;1200
05.06.2020 19:00;0;0;0;0;0;0;0;0
05.06.2020 20:00;0;0;0;0;0;0;0;0
05.06.2020 21:00;0;0;0;0;0;0;0;0
05.06.2020 22:00;0;0;0;0;0;0;0;0
05.06.2020 23:00;0;0;0;0;0;0;0;0
06.06.2020 00:00;0;0;0;0;0;0;0;0
06.06.2020 01:00;0;0;0;0;0;0;0;0
06.06.2020 02:00;0;0;0;0;0;0;0;0
06.06.2020 03:00;0;0;0;0;0;0;0;0
06.06.2020 04:00;0;0;0;0;0;0;0;0
06.06.2020 05:00;0;0;0;0;0;0;0;0
06.06.2020 06:00;0;0;0;0;0;0;0;0
06.06.2020 07:00;0;0;0;0;0;0;0;0
06.06.2020 08:00;1;600;0;0;0;0;0;0
06.06.2020 09:00;1;600;0;0;0;0;1;600
06.06.2020 10:00;0;0;0;0;0;0;2;1800
06.06.2020 11:00;0;0;0;0;0;0;0;0
06.06.2020 12:00;0;0;0;0;0;0;0;0
06.06.2020 13:00;1;600;2;1800;0;0;1;600
06.06.2020 14:00;1;600;0;0;0;0;0;0
06.06.2020 15:00;0;0;0;0;1;600;0;0
06.06.2020 16:00;3;2400;1;600;0;0;2;1200
06.06.2020 17:00;4;4200;0;0;0;0;0;0
06.06.2020 18:00;5;4800;2;1200;2;1800;2;2400
06.06.2020 19:00;0;0;0;0;0;0;0;0
06.06.2020 20:00;0;0;0;0;0;0;0;0
