01.06.2020 00:00;Bel_D111;Vwz_D111;Bel_D112;Vwz_D112;Bel_D51;Vwz_D51;Bel_D52;Vwz_D52;Bel_D61_1;Vwz_D61_1;Bel_D61_2;Vwz_D61_2;Bel_D62;Vwz_D62;Bel_D71;Vwz_D71;Bel_D72;Vwz_D72;Bel_D911;Vwz_D911;Bel_D912;Vwz_D912;Bel_D92;Vwz_D92;Bel_T3_b;Vwz_T3_b;Bel_T3_s;Vwz_T3_s;Bel_T4_b;Vwz_T4_b;Bel_T4_s;Vwz_T4_s;Bel_T5_b;Vwz_T5_b;Bel_T5_s;Vwz_T5_s;Bel_T6a_b;Vwz_T6a_b;Bel_T6a_s;Vwz_T6a_s;Bel_T6b_b;Vwz_T6b_b;Bel_T6b_s;Vwz_T6b_s;Bel_T7_b;Vwz_T7_b;Bel_T7_s;Vwz_T7_s
01.06.2020 00:00;71;312000;71;43800;57;45600;56;12600;28;122400;29;121800;27;44400;0;3600000;14;29400;25;178200;23;165000;17;35400;0;0;0;0;0;0;0;0;5;600;1;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 01:00;41;145800;41;27000;39;9000;39;7800;7;1800;5;1200;5;6000;0;3600000;12;22200;12;79800;12;87600;12;29400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;20;102600;20;9600;19;13200;19;1800;8;13800;8;13200;7;9000;0;3600000;6;9600;9;36000;9;35400;5;10200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;15;100800;15;10200;12;2400;12;2400;7;1800;6;1800;6;7800;0;3600000;3;3600;4;17400;3;17400;4;6000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;24;114600;24;13800;22;4200;22;3600;4;9600;4;9600;5;6600;0;3600000;0;0;1;10800;1;12000;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;69;271200;69;45600;20;1800;19;2400;10;6000;9;6600;10;11400;0;3600000;4;6000;14;50400;14;51600;8;19800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;45;120000;45;27000;47;10200;47;12000;8;29400;7;27600;7;9000;0;3600000;0;0;7;48600;7;48000;5;9000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 07:00;49;31200;49;23400;33;5400;33;4200;6;105000;6;106200;7;10800;0;3600000;6;14400;9;108000;9;133200;5;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 08:00;63;79200;63;27000;61;13200;61;15000;16;263400;16;263400;15;70200;0;3600000;9;21000;11;90600;13;91800;10;23400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 09:00;171;184800;172;94800;88;19800;89;24600;31;660600;31;662400;29;92400;0;3600000;18;47400;35;547800;35;552600;31;92400;2;0;2;3000;1;0;3;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600
01.06.2020 10:00;195;198600;196;114000;176;76800;176;58800;26;544800;26;511200;26;87600;0;3600000;23;67200;28;493200;27;528000;26;109800;0;0;1;1200;4;0;3;6000;1;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 11:00;297;331200;286;186000;200;127200;201;70800;29;494400;30;454800;27;118200;0;3600000;32;94800;69;722400;69;738000;65;265800;5;0;5;22800;2;0;4;2400;5;600;1;1200;0;0;0;0;0;0;0;0;0;0;1;0
01.06.2020 12:00;332;440400;329;232200;217;73800;220;79800;32;595200;33;559800;28;108600;0;3598800;28;67200;45;622200;41;587400;41;102000;5;0;6;10800;4;600;3;3000;3;1800;7;9000;0;0;0;0;0;0;0;0;0;0;1;0
01.06.2020 13:00;375;405600;375;266400;215;109800;215;77400;34;585600;33;579000;28;85200;0;3600000;26;58800;50;637800;50;676200;53;189600;6;1800;12;5400;3;0;4;3600;0;0;3;1200;0;0;0;0;0;0;0;0;0;0;4;1800
01.06.2020 14:00;380;388800;377;243000;261;156600;255;93000;36;664800;33;642000;38;153600;0;3600000;28;63600;53;829800;52;837000;45;144000;7;600;3;3000;4;600;5;4200;0;0;4;600;0;0;0;0;0;0;0;0;1;0;0;0
01.06.2020 15:00;366;637200;364;441000;246;164400;249;109200;40;732000;41;746400;41;137400;0;3600000;32;94200;44;606600;42;573000;39;177000;0;0;4;600;3;1200;5;13800;0;0;5;600;0;0;3;2400;0;0;3;600;9;600;2;0
01.06.2020 16:00;365;991200;368;561600;263;274200;264;154800;34;829800;34;800400;31;193200;0;3600000;38;128400;30;561600;30;512400;33;76800;0;0;4;8400;2;0;5;2400;5;1800;1;600;0;0;0;0;0;0;0;0;0;0;5;1800
01.06.2020 17:00;322;986400;323;512400;236;283800;240;163200;48;1106400;51;1070400;40;289200;0;3600000;29;98400;52;692400;51;689400;54;137400;1;0;11;13200;0;0;6;3600;0;0;1;0;0;0;0;0;0;0;0;0;1;1200;1;1200
01.06.2020 18:00;377;1077000;372;627600;246;264000;246;150000;40;917400;39;872400;35;197400;0;3600000;47;235800;53;557400;52;562800;43;107400;11;1200;6;4200;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 19:00;331;1022400;333;594000;213;315000;215;139800;40;820200;40;779400;39;132600;0;3600000;40;152400;52;655800;52;688800;45;195000;4;0;4;1800;0;0;1;0;0;0;0;0;1;0;1;1800;0;0;0;0;0;0;0;0
01.06.2020 20:00;292;561600;289;216600;185;91800;186;63600;53;834000;52;831600;46;192000;0;3600000;42;141600;44;597000;41;599400;38;96600;0;0;1;2400;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600
01.06.2020 21:00;257;396000;257;172200;157;56400;158;54600;59;794400;57;794400;52;235200;0;3600000;33;186000;49;696000;47;696600;43;120000;1;0;3;600;0;0;0;0;0;0;1;600;3;600;1;600;0;0;1;0;0;0;0;0
01.06.2020 22:00;157;512400;156;106200;115;88800;117;36000;57;441600;57;446400;53;154200;0;3600000;32;79800;53;418800;51;385800;32;82800;0;0;0;0;4;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
01.06.2020 23:00;94;463800;94;68400;47;23400;45;10200;26;181800;27;179400;23;37800;0;3600000;18;50400;33;223800;35;211200;29;65400;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 00:00;52;264600;51;37800;39;19200;40;6600;21;54000;22;51600;20;30000;0;3600000;8;15600;22;129600;21;129000;16;34800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 01:00;40;178800;40;25200;18;4800;17;4800;13;3600;12;3600;11;10200;0;3600000;10;16800;12;25200;15;19800;7;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 02:00;26;124800;26;18600;17;4200;17;5400;8;16800;7;16800;7;7200;0;3600000;3;8400;1;0;3;0;3;6000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
