01.06.2020 00:00;Bel_T10_11;Vwz_T10_11;Bel_T16_20;Vwz_T16_20;Bel_T1_b;Vwz_T1_b;Bel_T1_s;Vwz_T1_s;Bel_T3_b;Vwz_T3_b;Bel_T3_s;Vwz_T3_s;Bel_T4_b;Vwz_T4_b;Bel_T4_s;Vwz_T4_s;Bel_T5_b;Vwz_T5_b;Bel_T5_s;Vwz_T5_s;Bel_T6_7;Vwz_T6_7;Bel_T8_9;Vwz_T8_9;Bel_TST58_2;Vwz_TST58_2;Bel_TST59;Vwz_TST59;Bel_TST60;Vwz_TST60;Bel_TSTQ3_2;Vwz_TSTQ3_2;Bel_VD101;Vwz_VD101;Bel_VD102;Vwz_VD102;Bel_VD201;Vwz_VD201;Bel_VD202;Vwz_VD202;Bel_VK1VD81;Vwz_VK1VD81;Bel_VK1_Stoer;Vwz_VK1_Stoer;Bel_VK2VD21;Vwz_VK2VD21;Bel_VK2VD22;Vwz_VK2VD22;Bel_VK2_Stoer;Vwz_VK2_Stoer;Bel_VK3VD60;Vwz_VK3VD60;Bel_VK3_Stoer;Vwz_VK3_Stoer;Bel_VK4VD211;Vwz_VK4VD211;Bel_VK4_Stoer;Vwz_VK4_Stoer;Bel_VK5V221;Vwz_VK5V221;Bel_VK5V821;Vwz_VK5V821;Bel_VK5_Stoer;Vwz_VK5_Stoer;Bel_VK6_Stoer;Vwz_VK6_Stoer;Bel_VK7_Stoer;Vwz_VK7_Stoer
01.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;28800;2;31200;3;15000;3;18000;55;44400;0;0;43;121200;7;4800;0;0;2;31800;0;0;81;51000;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;22200;0;0;39;85800;2;600;0;0;0;0;0;0;58;31800;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;8400;0;0;15;40200;1;0;0;0;0;0;0;0;26;13800;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3600;0;0;21;43800;0;0;0;0;0;0;0;0;28;17400;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15000;1;14400;0;0;0;0;10;10200;0;0;14;31200;2;600;0;0;1;14400;0;0;21;11400;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;29400;3;34200;0;0;1;3000;20;22200;0;0;11;30600;3;1200;0;0;2;23400;0;0;10;13800;0;0;2;4200;1;13200;0;0;0;0;0;0
01.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;29400;2;31200;0;0;0;0;25;22200;0;0;27;71400;4;600;0;0;2;21000;0;0;30;36600;0;0;0;0;1;1800;0;0;0;0;0;0
01.06.2020 07:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;25800;2;29400;0;0;0;0;45;46200;0;0;28;75000;2;1200;0;0;2;33000;0;0;34;41400;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 08:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;31200;2;33600;3;12000;3;17400;70;67800;0;0;48;124200;10;6600;0;0;2;24600;0;0;62;72600;0;0;3;14400;0;0;0;0;0;0;0;0
01.06.2020 09:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;1;600;0;0;0;0;0;0;0;0;0;0;0;0;2;27600;2;30600;2;10200;2;13200;125;138600;0;0;104;268800;25;15600;0;0;5;20400;0;0;130;168600;0;0;0;0;0;0;0;0;0;0;0;0
