01.06.2020 00:00;Bel_D110;Vwz_D110;Bel_D111;Vwz_D111;Bel_D121_1;Vwz_D121_1;Bel_D121_2;Vwz_D121_2;Bel_D20;Vwz_D20;Bel_D21;Vwz_D21;Bel_D50;Vwz_D50;Bel_D51;Vwz_D51;Bel_D81_1;Vwz_D81_1;Bel_D81_2;Vwz_D81_2;Bel_TBS31;Vwz_TBS31;Bel_TBS31a;Vwz_TBS31a;Bel_TBS32;Vwz_TBS32;Bel_TBS32a;Vwz_TBS32a;Bel_TBS35;Vwz_TBS35;Bel_TBS35a;Vwz_TBS35a;Bel_TBS38;Vwz_TBS38;Bel_TBS38a;Vwz_TBS38a;Bel_TBS41;Vwz_TBS41;Bel_TBS41a;Vwz_TBS41a;Bel_TF35;Vwz_TF35;Bel_TF35a;Vwz_TF35a;Bel_TF41;Vwz_TF41;Bel_TF41a;Vwz_TF41a;Bel_V112;Vwz_V112;Bel_V122;Vwz_V122;Bel_V22;Vwz_V22;Bel_V52;Vwz_V52;Bel_V53;Vwz_V53;Bel_V54;Vwz_V54;Bel_V55;Vwz_V55
01.06.2020 00:00;0;0;6;102000;8;140400;6;57600;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;9;10800;8;9600;0;0;0;0;0;0;4;3000;0;0
01.06.2020 01:00;2;0;3;28200;2;88800;2;27600;0;0;3;35400;2;600;7;33600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;6;7800;3;3000;1;3000;6;14400;12;10800;3;1800;1;1200
01.06.2020 02:00;0;0;3;42600;2;38400;2;2400;0;0;0;0;0;0;2;16200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;5;19200;4;4800;0;0;3;4200;2;2400;3;3600;1;600
01.06.2020 03:00;1;0;1;29400;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;1;4800;1;1800;0;0;2;1200;1;0;1;600;0;0
01.06.2020 04:00;0;0;1;1800;1;14400;1;12600;0;0;1;46200;0;0;3;23400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;1;3000;1;1200;1;48600;5;7800;4;5400;3;2400;0;0
01.06.2020 05:00;2;0;6;136800;3;4800;3;5400;1;0;3;21000;1;1200;3;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;6;19200;1;17400;5;31800;3;6600;3;4200;8;8400;0;0
01.06.2020 06:00;1;1200;9;99600;3;51600;5;33000;1;600;2;84600;3;25800;9;67800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;8;68400;1;3000;2;45600;9;78600;9;20400;9;8400;3;1800
01.06.2020 07:00;0;0;2;35400;2;44400;2;43800;0;0;0;0;6;1800;13;85200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;2;40200;5;625800;0;0;13;39600;12;23400;3;3000;2;3000
01.06.2020 08:00;0;0;8;32400;4;1200;2;1800;1;0;1;34800;1;1800;12;29400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;10;28200;2;582000;1;3000;13;32400;14;24600;9;11400;2;3000
01.06.2020 09:00;3;0;15;334200;11;276600;14;34200;1;600;3;47400;13;2400;29;81000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;25;106800;9;17400;4;7200;27;100200;28;48000;14;15600;6;14400
01.06.2020 10:00;10;16200;26;156000;15;102000;15;100200;2;600;10;81600;29;28200;42;163800;0;0;0;0;0;0;0;0;1;600;0;0;1;600;8;30600;0;0;0;0;3;9000;1;600;0;3600000;2;1200;0;3600000;0;0;38;134400;9;21600;14;33600;40;138600;42;67200;26;27600;7;6600
01.06.2020 11:00;15;5400;41;386400;25;457800;27;352200;4;600;20;328200;22;24600;54;231600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;50;202800;20;45000;26;142200;48;183600;52;81000;63;60000;4;1800
01.06.2020 12:00;11;12000;44;577200;150;629400;27;461400;7;34800;11;156600;22;46200;43;162000;0;0;0;0;0;0;0;0;0;0;0;0;2;2400;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;52;306600;15;90600;12;34800;39;171000;43;64800;54;57000;11;8400
01.06.2020 13:00;17;16800;50;533400;21;237600;61;167400;6;7200;16;168000;39;8400;55;234600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1800;0;0;0;0;0;0;0;0;0;3600000;1;600;0;3600000;0;0;58;292800;12;78600;15;124800;48;175200;52;78600;55;58800;5;2400
01.06.2020 14:00;33;80400;46;346200;48;522000;28;332400;11;40800;19;354600;32;84600;32;163800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;7;9600;0;3600000;0;0;0;3600000;5;4800;67;292800;16;95400;51;107400;29;156600;31;45600;65;67200;4;4200
01.06.2020 15:00;23;24600;40;358800;25;306600;20;49200;4;16200;15;191400;33;114600;53;229200;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;53;180000;11;44400;13;81000;49;201600;53;77400;59;53400;4;4200
01.06.2020 16:00;10;3600;47;823800;24;583800;21;570600;3;3000;15;223800;30;40800;50;432000;0;0;0;0;0;0;0;0;1;600;0;0;0;0;1;600;1;600;0;0;0;0;0;0;0;3600000;2;1800;0;3600000;0;0;43;627000;20;109200;58;3216000;44;325800;54;74400;48;50400;7;22200
01.06.2020 17:00;21;58200;60;864000;17;366000;19;249600;2;600;11;199800;36;53400;60;384000;0;0;0;0;0;0;0;0;1;3000;0;0;0;0;3;2400;0;0;0;0;0;0;6;9000;0;3600000;2;2400;0;3600000;2;1800;55;956400;17;1448400;11;2150400;47;388200;60;93000;61;66600;7;26400
01.06.2020 18:00;16;26400;44;663600;51;416400;21;319200;2;0;13;117600;18;38400;47;240600;0;0;0;0;0;0;0;0;0;0;0;0;1;600;3;6600;0;0;0;0;0;0;0;0;0;3600000;2;2400;0;3600000;0;0;49;330600;8;1784400;19;990000;46;183000;48;69600;53;57600;9;82200
01.06.2020 19:00;12;2400;34;286800;19;361800;28;324600;2;1800;11;393600;25;30600;53;195000;0;0;0;0;0;0;0;0;0;0;0;0;2;1200;0;0;0;0;0;0;0;0;0;0;0;3600000;2;1200;0;3600000;0;0;42;193800;15;105600;14;72600;50;194400;53;85200;46;52200;21;307800
01.06.2020 20:00;7;25200;32;267600;74;244800;46;160800;3;600;13;88800;12;600;32;116400;0;0;0;0;0;0;0;0;1;600;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;3600000;2;1200;0;3600000;1;600;36;114600;13;41400;13;43200;31;99000;32;46800;35;36000;5;3600
01.06.2020 21:00;3;2400;30;270600;16;325200;16;202200;2;0;4;17400;13;2400;37;154800;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;31;121800;23;64200;5;13800;38;97200;39;55200;28;29400;4;5400
01.06.2020 22:00;3;600;15;186600;3;127200;5;121200;0;0;2;11400;6;1200;15;52200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;3600000;0;0;22;64200;10;13800;3;7200;20;28800;20;19200;11;12000;2;3000
