01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D81;Vwz_D81;Bel_D82;Vwz_D82;Bel_TBS32;Vwz_TBS32;Bel_TBS35;Vwz_TBS35;Bel_TBS38;Vwz_TBS38;Bel_TBS41;Vwz_TBS41;Bel_TF32;Vwz_TF32;Bel_TF35;Vwz_TF35;Bel_TF38;Vwz_TF38;Bel_TF41;Vwz_TF41;Bel_V111;Vwz_V111;Bel_V112;Vwz_V112;Bel_V113;Vwz_V113;Bel_V1_Stoer;Vwz_V1_Stoer;Bel_V23;Vwz_V23;Bel_V24;Vwz_V24;Bel_V2_Stoer;Vwz_V2_Stoer;Bel_V3_Stoer;Vwz_V3_Stoer;Bel_V4_Stoer;Vwz_V4_Stoer;Bel_V51;Vwz_V51;Bel_V52;Vwz_V52;Bel_V83;Vwz_V83;Bel_V84;Vwz_V84
01.06.2020 00:00;11;75000;12;21600;5;15600;3;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;7800;66;377400;10;7800;55;84000;0;0;8;13800;2;5400;0;0;0;0;0;0;71;470400;1;1200;1;2400;4;1200
01.06.2020 01:00;8;66000;9;18600;5;21600;1;1200;0;0;0;0;0;0;1;600;0;0;0;0;0;0;1;600;53;238200;7;8400;35;49800;0;0;10;14400;2;1800;0;0;0;0;0;0;24;150000;0;0;3;1800;4;0
01.06.2020 02:00;6;51600;6;10800;3;3600;1;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;110400;2;1200;18;17400;0;0;4;9000;2;3600;0;0;0;0;0;0;27;161400;1;0;0;0;0;0
01.06.2020 03:00;2;3600;2;11400;3;12600;3;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;40200;0;0;6;4800;0;0;4;4800;1;1800;0;0;0;0;0;0;15;90000;1;1800;0;0;1;1800
01.06.2020 04:00;2;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;60000;2;1800;10;7200;0;0;0;0;0;0;0;0;0;0;0;0;8;34800;0;0;0;0;0;0
01.06.2020 05:00;3;42000;3;4200;2;10800;1;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;74400;1;6600;16;21000;0;0;3;10200;0;0;0;0;0;0;0;0;22;92400;1;0;1;3600;0;0
01.06.2020 06:00;2;9600;2;21600;1;22200;1;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;121800;4;7200;23;28800;0;0;3;7800;2;3600;0;0;0;0;0;0;17;115800;1;0;2;6000;1;600
01.06.2020 07:00;4;41400;6;19800;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;112200;3;6000;26;51000;0;0;5;9000;1;1200;0;0;0;0;0;0;55;1198200;1;1126200;2;1800;4;6600
01.06.2020 08:00;12;93600;11;33000;7;84600;5;3000;0;0;1;600;0;0;0;0;0;0;5;4200;0;0;0;0;63;265200;5;7200;62;147000;0;0;13;25800;14;652200;0;0;0;0;0;0;77;673200;11;39000;6;9600;1;2400
01.06.2020 09:00;19;286200;21;18000;18;302400;16;31800;0;0;0;0;0;0;3;3000;0;0;7;6000;0;0;9;7200;126;670200;17;43200;138;357600;0;0;23;70200;5;3503400;0;0;0;0;0;0;107;885000;5;27600;19;31200;11;33000
01.06.2020 10:00;38;428400;32;163200;18;40200;12;80400;1;600;2;1200;1;600;2;1800;2;1200;2;1200;2;1200;3;1800;143;970800;33;97800;173;545400;0;0;14;3027000;1;3575400;0;0;0;0;0;0;106;1748400;52;46800;16;49200;13;16800
01.06.2020 11:00;60;763800;59;99000;26;223800;20;59400;0;0;6;8400;0;0;3;1800;0;0;6;4200;0;0;4;2400;180;1108200;44;142800;235;538200;0;0;0;3600000;7;3515400;0;0;0;0;0;0;109;1919400;12;31200;43;878400;11;1665600
01.06.2020 12:00;62;744000;64;95400;37;148800;31;124200;0;0;3;3000;1;600;4;3000;0;0;4;3000;3;4200;4;2400;174;1105800;42;94200;234;604800;0;0;0;3600000;10;3446400;0;0;0;0;0;0;104;2074200;19;78600;68;765000;65;618600
01.06.2020 13:00;73;781200;86;222000;25;158400;31;202200;0;0;2;1200;2;1200;4;3000;0;0;7;4800;1;600;7;5400;190;1341600;57;138000;229;811200;0;0;9;3409800;1;3422400;0;0;0;0;0;0;106;1987800;28;97800;76;418200;64;2185800
01.06.2020 14:00;77;711600;87;343200;28;63000;21;93600;1;600;2;1200;2;1200;4;3000;1;600;4;2400;2;1200;5;3600;198;1519800;65;261000;312;831600;0;0;19;3376200;20;3443400;0;0;0;0;0;0;117;2057400;27;179400;55;248400;80;2210400
01.06.2020 15:00;59;993600;68;150000;23;157800;27;122400;1;1200;13;21600;0;0;7;5400;1;600;10;7200;0;0;8;6000;180;1243800;59;188400;241;576000;0;0;12;3379200;0;3600000;0;0;0;0;0;0;113;1969200;25;74400;55;295800;34;210600
01.06.2020 16:00;66;930600;83;284400;28;239400;20;172200;1;600;10;8400;1;1200;25;37800;2;1200;8;6000;1;600;21;15600;184;1104600;51;153000;225;576000;0;0;7;3485400;4;3558000;0;0;0;0;0;0;124;1798200;13;72000;34;76800;22;214200
01.06.2020 17:00;70;1004400;79;225600;42;67200;23;138000;1;600;4;3600;0;0;8;6000;1;600;9;6000;1;600;11;7800;118;2214000;59;374400;266;746400;0;0;3;3546000;17;3096000;0;0;0;0;0;0;126;1894800;11;82200;62;99600;35;804600
01.06.2020 18:00;67;1087200;82;325200;30;252000;40;256200;0;0;4;3600;0;0;12;12000;0;0;6;3600;2;1800;14;8400;39;3121200;14;2722200;234;982800;0;0;14;3367800;34;1836000;0;0;0;0;0;0;131;1918800;22;126000;74;146400;72;201600
01.06.2020 19:00;62;733200;68;195600;30;407400;30;296400;0;0;5;5400;1;600;12;14400;2;1200;4;4800;0;0;9;7800;156;1405200;67;197400;225;781800;0;0;55;385200;37;181800;0;0;0;0;0;0;137;1792800;21;123600;55;136800;32;136800
01.06.2020 20:00;56;787200;67;187800;24;166200;24;93000;1;600;3;4800;0;0;4;2400;1;600;6;3600;0;0;7;4800;145;1114200;52;214200;175;648600;0;0;50;300600;35;119400;0;0;0;0;0;0;107;1621800;11;15600;21;45000;13;28800
