01.06.2020 00:00;Bel_AD51_M3_5002;Vwz_AD51_M3_5002;Bel_AD55_M5_5005;Vwz_AD55_M5_5005;Bel_AH51_M3_5002;Vwz_AH51_M3_5002;Bel_AH55_M5_5005;Vwz_AH55_M5_5005;Bel_Anf_FG_32;Vwz_Anf_FG_32;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D31;Vwz_D31;Bel_D32;Vwz_D32;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_HD51_M2_5001;Vwz_HD51_M2_5001;Bel_HD55_M4_5004;Vwz_HD55_M4_5004;Bel_HH51_M2_5001;Vwz_HH51_M2_5001;Bel_HH55_M4_5004;Vwz_HH55_M4_5004;Bel_Schluessel_S51;Vwz_Schluessel_S51;Bel_Schluessel_S55;Vwz_Schluessel_S55;Bel_VD51_M1_5000;Vwz_VD51_M1_5000;Bel_VD55_A53/M4_53X;Vwz_VD55_A53/M4_53X
01.06.2020 00:00;0;0;0;0;4;4000;1;1000;0;0;64;29610;39;15770;9;252757;9;89280;10;4280;36;64346;4;156959;5;122745;0;0;0;0;4;4000;1;1000;0;0;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;1;1000;0;0;0;0;33;14680;35;17370;14;291342;2;60640;8;1870;23;43260;0;0;0;0;0;0;0;0;1;1000;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;15;6030;16;4920;2;60630;0;0;5;1920;16;5890;1;44400;2;41257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;1;1000;0;0;10;4310;7;13840;2;45040;2;16560;0;0;4;1750;0;0;1;630;0;0;0;0;0;0;1;1000;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;1;1000;1;1000;0;0;7;2870;8;2230;0;0;1;480;0;0;8;2880;1;10660;1;52360;0;0;0;0;1;1000;2;1730;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;1;1000;4;3980;0;0;7;2720;11;2400;0;0;0;0;7;1900;12;3830;0;0;0;0;0;0;0;0;1;1000;3;3270;0;0;0;0;0;0;0;0
01.06.2020 06:00;0;0;0;0;2;2000;2;2000;0;0;12;4950;11;3200;4;114796;2;960;2;790;10;4280;0;0;0;0;0;0;0;0;2;2000;2;2000;0;0;0;0;0;0;0;0
01.06.2020 07:00;0;0;0;0;2;1990;2;2000;0;0;28;11330;16;8770;4;127160;0;0;5;960;23;12100;2;31420;1;19161;0;0;0;0;2;2000;2;2000;0;0;0;0;0;0;0;0
01.06.2020 08:00;0;0;0;0;2;2000;2;2000;0;0;43;17690;27;7200;0;0;2;46160;10;16230;43;33580;4;151660;5;171335;0;0;0;0;2;2000;2;1990;0;0;0;0;0;0;0;0
01.06.2020 09:00;0;0;0;0;2;2000;2;2000;4;5640;82;35160;62;16720;6;103760;3;3030;23;5410;107;97170;4;224070;9;311517;0;0;0;0;2;2000;2;2000;0;0;0;0;0;0;0;0
01.06.2020 10:00;0;0;0;0;2;2000;2;2000;7;9950;147;71560;78;53760;8;192230;2;960;34;17320;137;263540;8;216900;16;287090;0;0;0;0;2;1990;2;2000;0;0;0;0;0;0;0;0
01.06.2020 11:00;0;0;0;0;2;2000;2;2000;24;31980;215;121720;77;36800;8;134320;8;184290;39;29940;164;407220;15;191882;19;466167;0;0;0;0;2;2000;2;2000;0;0;0;0;0;0;0;0
01.06.2020 12:00;0;0;0;0;2;1990;4;3990;28;43980;226;174529;87;81650;17;126050;12;167943;37;28580;194;461910;16;131140;24;337739;0;0;0;0;2;2000;4;3980;0;0;0;0;0;0;0;0
