01.06.2020 00:00;Bel_A51_M1_1158;Vwz_A51_M1_1158;Bel_A55_M3_1190;Vwz_A55_M3_1190;Bel_D111;Vwz_D111;Bel_D111_1;Vwz_D111_1;Bel_D21;Vwz_D21;Bel_D31;Vwz_D31;Bel_D51;Vwz_D51;Bel_D51_1;Vwz_D51_1;Bel_D81;Vwz_D81;Bel_D91;Vwz_D91;Bel_D98_1;Vwz_D98_1;Bel_H51_A27_M1_1157;Vwz_H51_A27_M1_1157;Bel_H55_M2_1189;Vwz_H55_M2_1189;Bel_Schluessel_S51;Vwz_Schluessel_S51;Bel_Schluessel_S55;Vwz_Schluessel_S55;Bel_Strab_D51;Vwz_Strab_D51;Bel_T35;Vwz_T35;Bel_T35a;Vwz_T35a;Bel_T38;Vwz_T38;Bel_T38a;Vwz_T38a;Bel_T41;Vwz_T41;Bel_T41a;Vwz_T41a;Bel_T55_M4_3045;Vwz_T55_M4_3045;Bel_V22;Vwz_V22;Bel_V32;Vwz_V32;Bel_V38;Vwz_V38;Bel_V51_A51_M2_1156;Vwz_V51_A51_M2_1156;Bel_V82;Vwz_V82;Bel_V92;Vwz_V92;Bel_V98_2;Vwz_V98_2
01.06.2020 00:00;2;2000;1;1000;21;170310;21;137550;67;111400;15;21710;3;56890;3;56350;1;330;0;0;0;0;3;2990;1;1000;0;0;0;0;0;0;0;0;0;0;1;1600;1;1620;0;0;0;0;1;1000;73;249150;6;8670;4;32057;3;2990;1;3070;0;0;0;0
01.06.2020 01:00;3;3000;0;0;16;130060;16;112522;43;84250;10;14310;5;24100;5;23650;1;420;0;0;0;0;2;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;156435;2;6900;0;0;2;1990;2;5780;0;0;0;0
01.06.2020 02:00;0;0;0;0;10;60495;10;51030;23;12140;2;950;2;1110;2;1110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;80830;2;2330;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;3;21840;3;15680;18;9120;4;1100;1;10660;1;10350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;57710;0;0;0;0;0;0;1;650;0;0;0;0
01.06.2020 04:00;0;0;2;2000;2;22300;2;14320;6;2360;3;480;0;0;0;0;0;0;0;0;0;0;0;0;2;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2000;9;16070;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;2;2000;3;3000;11;154390;11;127000;28;36150;5;1260;1;11390;1;11080;0;0;0;0;0;0;2;2000;3;2990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3000;25;96640;0;0;0;0;2;1990;0;0;0;0;0;0
01.06.2020 06:00;2;2000;3;3000;10;241430;10;256540;33;17290;4;3620;3;60240;3;59780;0;0;0;0;0;0;2;2000;3;3000;0;0;0;0;1;3610;0;0;0;0;0;0;0;0;0;0;0;0;3;3000;29;94809;0;0;2;13780;2;2000;0;0;0;0;1;2920
01.06.2020 07:00;2;2063;2;2000;18;376460;19;294220;32;55693;2;40220;5;60280;4;5030;0;0;0;0;0;0;2;2000;2;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2000;29;96460;3;4150;3;22260;2;2000;0;0;1;390;1;1050
01.06.2020 08:00;2;1990;2;2000;32;695323;33;582314;59;92670;13;438499;22;370440;18;365560;1;750;1;420;0;0;2;2000;2;2000;0;0;0;0;0;0;0;0;0;0;0;0;2;3230;0;0;0;0;2;1990;54;210002;11;29470;7;47340;2;2000;6;703310;2;13680;8;338318
01.06.2020 09:00;2;2000;2;1990;66;987222;68;888512;110;221473;17;548340;44;759306;44;695351;3;22450;1;2910;0;0;2;2000;2;1990;0;0;0;0;1;13600;1;1430;0;0;3;4850;3;4880;0;0;0;0;2;1990;91;436516;13;120380;13;101260;2;1990;9;88799;1;46510;21;49290
