01.06.2020 00:00;Bel_AB_MP03;Vwz_AB_MP03;Bel_AB_MP06;Vwz_AB_MP06;Bel_AB_MP09;Vwz_AB_MP09;Bel_AB_MP12;Vwz_AB_MP12;Bel_AB_MP15;Vwz_AB_MP15;Bel_AB_MP18;Vwz_AB_MP18;Bel_D111;Vwz_D111;Bel_D21;Vwz_D21;Bel_D51;Vwz_D51;Bel_D81;Vwz_D81;Bel_HA_MP02;Vwz_HA_MP02;Bel_HA_MP05;Vwz_HA_MP05;Bel_HA_MP08;Vwz_HA_MP08;Bel_HA_MP11;Vwz_HA_MP11;Bel_HA_MP14;Vwz_HA_MP14;Bel_HA_MP17;Vwz_HA_MP17;Bel_T1_T2;Vwz_T1_T2;Bel_T5_T6;Vwz_T5_T6;Bel_VA_MP01;Vwz_VA_MP01;Bel_VA_MP04;Vwz_VA_MP04;Bel_VA_MP07;Vwz_VA_MP07;Bel_VA_MP10;Vwz_VA_MP10;Bel_VA_MP13;Vwz_VA_MP13;Bel_VA_MP16;Vwz_VA_MP16
01.06.2020 00:00;3;2990;3;3000;0;0;0;0;0;0;0;0;64;58177;0;0;11;25550;0;0;3;2990;3;3000;0;0;0;0;0;0;0;0;0;0;0;0;3;3000;3;3000;0;0;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;50;50860;0;0;9;9090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;33;34560;0;0;4;4140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;21;19463;0;0;2;1710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;1;1000;0;0;0;0;0;0;0;0;14;18450;0;0;3;4860;0;0;0;0;1;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1000;0;0;0;0;0;0;0;0
01.06.2020 05:00;1;1000;1;1000;0;0;2;2000;0;0;0;0;67;123200;0;0;9;14040;0;0;1;1000;1;1000;0;0;2;1990;0;0;0;0;0;0;0;0;1;1000;1;1000;0;0;2;2000;0;0;0;0
01.06.2020 06:00;2;2000;2;2000;2;2000;2;2000;0;0;0;0;55;95961;0;0;10;24300;0;0;2;2000;4;4000;2;2000;2;2000;0;0;0;0;0;0;0;0;2;2000;4;4000;2;1990;2;2000;0;0;0;0
01.06.2020 07:00;2;1990;1;1000;2;2000;2;2000;0;0;0;0;54;102420;0;0;11;39240;0;0;2;2000;1;1000;2;2000;2;2000;0;0;0;0;0;0;0;0;2;2000;1;1000;2;2000;2;2000;0;0;0;0
01.06.2020 08:00;2;2000;3;3000;2;2000;2;2000;0;0;0;0;62;128870;0;0;18;29160;0;0;2;2000;5;4990;2;2000;2;1990;0;0;0;0;0;0;0;0;2;1990;5;5020;2;1990;2;2000;0;0;0;0
01.06.2020 09:00;2;2000;0;0;2;2000;2;2000;0;0;0;0;97;146456;0;0;10;21510;0;0;2;2000;0;0;1;1000;2;2000;0;0;0;0;0;0;0;0;2;2000;0;0;2;2000;2;2000;0;0;0;0
