01.06.2020 00:00;Bel_TBS32;Vwz_TBS32;Bel_TBS38;Vwz_TBS38;Bel_TBS41;Vwz_TBS41;Bel_TF32;Vwz_TF32;Bel_TF38;Vwz_TF38;Bel_V111;Vwz_V111;Bel_V112;Vwz_V112;Bel_V21;Vwz_V21;Bel_V81;Vwz_V81;Bel_VK1_IO;Vwz_VK1_IO;Bel_VK2_IO;Vwz_VK2_IO;Bel_VK3_IO;Vwz_VK3_IO
01.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;23;175200;19;89400;34;126600;19;81000;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;20;141600;20;60000;37;99000;20;67200;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;24;61200;11;32400;7;34800;11;43800;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;5;30000;5;13200;7;12000;2;39000;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;3;19200;3;12600;9;21000;6;53400;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;6;49800;8;20400;12;41400;8;41400;0;0;0;0;0;0
01.06.2020 06:00;0;0;1;600;0;0;0;0;1;600;6;50400;7;33000;23;66600;15;40800;0;0;0;0;0;0
01.06.2020 07:00;0;0;1;600;0;0;0;0;1;600;22;230400;47;96000;45;121800;27;81600;0;0;0;0;0;0
01.06.2020 08:00;0;0;2;1200;2;1200;0;0;0;0;32;374400;41;161400;72;326400;50;138600;0;0;0;0;0;0
01.06.2020 09:00;0;0;0;0;1;600;4;3600;1;600;50;632400;63;348000;139;562800;102;408600;0;0;0;0;0;0
01.06.2020 10:00;2;1200;1;600;0;0;1;600;1;600;88;1198200;126;1051200;169;998400;110;624600;0;0;0;0;0;0
01.06.2020 11:00;1;600;0;0;4;3000;0;0;3;2400;101;1570800;90;1882800;161;1401000;120;729000;0;0;0;0;0;0
01.06.2020 12:00;1;600;3;2400;4;2400;1;600;2;1800;27;3094200;132;1249800;150;1444200;108;807000;0;0;0;0;0;0
01.06.2020 13:00;0;0;6;5400;3;1800;2;1200;3;1800;60;1876200;86;931800;162;1021200;118;601800;0;0;0;0;0;0
01.06.2020 14:00;1;600;5;4200;3;1800;2;1200;8;7800;65;2250000;105;1019400;199;1246800;144;685800;0;0;0;0;0;0
01.06.2020 15:00;5;4200;10;7200;11;9000;2;1200;19;15600;94;1454400;113;1002000;194;1201800;140;784800;0;0;0;0;0;0
01.06.2020 16:00;6;5400;0;0;9;7800;2;1800;6;5400;20;3208800;107;979200;133;1453800;126;905400;0;0;0;0;0;0
01.06.2020 17:00;1;600;14;14400;2;1200;2;1800;14;13200;97;1440600;104;1110600;177;919200;141;640800;0;0;0;0;0;0
01.06.2020 18:00;2;1200;1;600;5;3600;11;9000;3;1800;64;2704200;102;1178400;164;1381200;119;989400;0;0;0;0;0;0
01.06.2020 19:00;2;1800;2;1200;3;1800;5;4800;3;2400;80;1260000;95;875400;163;965400;99;378000;0;0;0;0;0;0
01.06.2020 20:00;1;600;0;0;1;600;2;1200;0;0;87;966600;74;741600;144;638400;90;365400;0;0;0;0;0;0
01.06.2020 21:00;0;0;1;600;0;0;0;0;1;600;58;755400;73;539400;108;531000;60;352800;0;0;0;0;0;0
01.06.2020 22:00;0;0;1;600;2;1200;0;0;1;600;74;736800;75;424800;72;319800;38;168600;0;0;0;0;0;0
01.06.2020 23:00;0;0;0;0;0;0;0;0;0;0;36;270600;35;123600;46;193200;22;109200;0;0;0;0;0;0
02.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;22;171000;28;89400;23;205800;9;33000;0;0;0;0;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;13;68400;10;37200;14;43800;6;22800;0;0;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;1;12600;1;3600;3;7200;4;12000;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;8;54600;8;31200;13;25800;5;81000;0;0;0;0;0;0
02.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;12;82200;10;24000;23;62400;16;157800;0;0;0;0;0;0
02.06.2020 05:00;1;600;0;0;0;0;1;600;0;0;20;332400;26;193800;63;229200;45;190200;0;0;0;0;0;0
02.06.2020 06:00;3;2400;0;0;3;3000;1;600;0;0;48;703800;56;316800;123;655800;83;402600;0;0;0;0;0;0
02.06.2020 07:00;2;1200;10;9000;5;4200;3;2400;10;6000;98;1630800;112;1257000;204;1483200;126;909000;0;0;0;0;0;0
02.06.2020 08:00;1;600;3;1800;10;9600;0;0;6;5400;100;1559400;89;1099800;171;1503600;132;1094400;0;0;0;0;0;0
02.06.2020 09:00;16;15600;9;7800;2;1200;9;7800;11;8400;104;1755600;100;1355400;201;1552800;153;1140000;0;0;0;0;0;0
02.06.2020 10:00;2;1200;1;600;2;1200;3;1800;3;3000;121;2001600;83;2098200;193;1946400;115;1474200;0;0;0;0;0;0
