01.06.2020 00:00;Bel_D51_1;Vwz_D51_1;Bel_D51_2;Vwz_D51_2;Bel_FQ51;Vwz_FQ51;Bel_ST_51;Vwz_ST_51;Bel_T1_b;Vwz_T1_b;Bel_T2_1_b;Vwz_T2_1_b;Bel_T2_1_s;Vwz_T2_1_s;Bel_T2_2_b;Vwz_T2_2_b;Bel_T2_2_s;Vwz_T2_2_s;Bel_T3_b;Vwz_T3_b;Bel_T3_s;Vwz_T3_s;Bel_T4_b;Vwz_T4_b;Bel_T5_b;Vwz_T5_b;Bel_T8_1_b;Vwz_T8_1_b;Bel_T8_1_s;Vwz_T8_1_s;Bel_T8_2_b;Vwz_T8_2_b;Bel_VD21;Vwz_VD21;Bel_VD53;Vwz_VD53;Bel_VD81;Vwz_VD81;Bel_VD82;Vwz_VD82
01.06.2020 00:00;16;156000;10;39600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;39600;9;29400;34;94800;42;57000
01.06.2020 01:00;8;71400;6;7200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;25800;4;10800;37;88800;28;39600
01.06.2020 02:00;7;63000;5;21600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10200;4;13200;18;36600;15;22800
01.06.2020 03:00;7;79800;7;44400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12600;5;36000;16;48600;18;24600
01.06.2020 04:00;4;23400;2;17400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;15000;3;7200;9;18000;11;16200
01.06.2020 05:00;6;76800;6;7800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;15600;5;11400;9;21000;25;43800
01.06.2020 06:00;16;167400;13;104400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;12000;11;51000;29;42600;27;52200
01.06.2020 07:00;14;172200;13;83400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;22;15600;13;28200;34;51600;43;73200
01.06.2020 08:00;25;226800;21;40800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;1200;0;0;56;57600;19;35400;41;82200;64;118800
01.06.2020 09:00;34;401400;32;126000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;7800;0;0;0;0;0;0;0;0;0;0;94;123000;97;114600;74;145200;120;276600
01.06.2020 10:00;42;397800;42;186600;0;0;0;0;0;0;1;0;1;600;0;0;0;0;5;1200;3;1800;0;0;0;0;1;0;0;0;0;0;121;267600;139;262800;128;210600;166;406800
01.06.2020 11:00;52;536400;42;217800;0;0;0;0;0;0;1;0;1;600;1;0;1;600;1;0;8;3000;0;0;0;0;4;600;2;3000;0;0;154;360000;41;181200;135;360000;177;476400
01.06.2020 12:00;72;735000;61;264600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;1200;0;0;0;0;1;0;3;600;0;0;146;328800;53;292800;181;444600;197;531600
01.06.2020 13:00;67;684000;60;451800;0;0;0;0;0;0;0;0;0;0;4;1800;0;0;9;1200;4;1800;0;0;0;0;0;0;2;1200;0;0;167;435000;56;357000;165;601200;242;621600
01.06.2020 14:00;71;700800;58;349200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;600;4;1800;0;0;0;0;3;1200;3;2400;0;0;158;525000;65;301800;190;604200;243;711600
01.06.2020 15:00;61;700800;52;215400;0;0;0;0;0;0;0;0;1;0;2;600;1;0;20;1800;4;2400;0;0;0;0;1;0;2;2400;0;0;126;322800;46;175200;188;577200;191;457200
01.06.2020 16:00;50;682800;44;256800;0;0;0;0;0;0;0;0;1;600;0;0;0;0;1;0;1;0;0;0;1;600;4;600;5;5400;0;0;152;386400;43;148800;213;573600;215;489000
01.06.2020 17:00;54;592800;46;97200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1800;11;15000;0;0;0;0;5;0;4;4800;0;0;153;446400;40;169800;185;652200;197;575400
01.06.2020 18:00;66;738000;56;245400;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;6;12000;0;0;0;0;1;0;6;2400;0;0;160;438000;48;254400;191;647400;197;595800
01.06.2020 19:00;67;469800;47;252000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;2400;0;0;0;0;4;1200;11;27000;0;0;132;342600;33;269400;186;452400;158;408000
01.06.2020 20:00;60;522600;45;159600;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;600;4;1200;0;0;0;0;6;600;3;8400;0;0;118;258000;35;117000;168;551400;148;360600
01.06.2020 21:00;58;378000;41;176400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;100;187800;31;123600;131;410400;125;258600
01.06.2020 22:00;34;308400;25;133200;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1800;0;0;94;151800;22;94200;99;358200;114;239400
01.06.2020 23:00;18;75600;12;31200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;47;57000;6;42600;57;168600;60;81000
02.06.2020 00:00;10;85200;7;45000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;25200;4;13800;28;73200;28;36600
02.06.2020 01:00;5;16800;3;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;13800;2;4200;17;36600;14;13800
02.06.2020 02:00;10;89400;6;41400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12600;5;18600;10;22200;18;27000
