01.06.2020 00:00;Bel_D111_1;Vwz_D111_1;Bel_D111_2;Vwz_D111_2;Bel_D51_1;Vwz_D51_1;Bel_D51_2;Vwz_D51_2;Bel_T1_b;Vwz_T1_b;Bel_T1_s;Vwz_T1_s;Bel_T2_b;Vwz_T2_b;Bel_T2_s;Vwz_T2_s;Bel_T3_b;Vwz_T3_b;Bel_T4_b;Vwz_T4_b;Bel_T5_b;Vwz_T5_b;Bel_T5_s;Vwz_T5_s;Bel_T6_1_b;Vwz_T6_1_b;Bel_T6_1_s;Vwz_T6_1_s;Bel_T6_2_b;Vwz_T6_2_b;Bel_T8_b;Vwz_T8_b;Bel_VD113;Vwz_VD113;Bel_VD21;Vwz_VD21;Bel_VD53;Vwz_VD53;Bel_VD81;Vwz_VD81
01.06.2020 00:00;9;108600;7;92400;14;37800;14;26400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2400;0;0;0;0;0;0;0;0;6;19200;33;238200;5;19800;28;175200
01.06.2020 01:00;8;73200;9;40800;10;16200;10;15000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;22800;19;134400;7;10800;33;144000
01.06.2020 02:00;3;35400;3;19800;5;54600;6;53400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;23400;10;47400;5;21000;13;47400
01.06.2020 03:00;0;0;0;0;7;72000;7;40800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;39600;4;15000;12;61200
01.06.2020 04:00;2;600;2;600;6;69600;6;26400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3000;8;74400;3;12000;7;95400
01.06.2020 05:00;1;600;1;600;3;34800;2;34200;0;0;0;0;11;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;84000;2;8400;10;98400
01.06.2020 06:00;4;57600;4;21600;12;55800;13;54000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8400;19;130200;10;16200;23;135000
01.06.2020 07:00;8;72000;10;70200;11;114000;10;98400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;13800;22;128400;13;30000;32;161400
01.06.2020 08:00;17;98400;20;48600;29;276600;28;253800;1;0;3;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;39000;46;224400;23;295200;44;237000
01.06.2020 09:00;25;203400;23;121800;58;396000;54;363000;2;0;1;600;1;0;1;600;1;0;0;0;0;0;1;2400;0;0;1;0;0;0;0;0;20;73800;86;492600;39;234600;78;434400
01.06.2020 10:00;46;307800;46;270600;61;418200;62;397800;2;0;3;3000;0;0;3;3600;0;0;2;600;1;0;5;1200;0;0;4;2400;0;0;0;0;28;159000;101;580200;47;181800;83;528000
01.06.2020 11:00;51;388800;53;297600;92;628800;89;598200;0;0;0;0;0;0;0;0;0;0;0;0;2;600;0;0;6;1200;1;0;0;0;0;0;34;160800;128;717000;63;337800;108;681000
01.06.2020 12:00;37;113400;41;84600;79;583200;80;544800;0;0;2;11400;2;0;5;3000;0;0;1;0;1;0;2;1800;1;0;5;10200;0;0;1;0;24;87600;129;700800;64;626400;127;895200
01.06.2020 13:00;52;248400;50;219000;64;513600;63;445200;1;0;3;5400;38;10200;10;16800;0;0;1;0;4;600;6;3000;1;0;3;2400;0;0;1;0;37;194400;144;982800;61;420000;119;1000200
01.06.2020 14:00;65;490800;61;450000;68;589200;73;585600;0;0;0;0;5;0;5;3000;0;0;1;0;0;0;2;1200;4;1800;3;2400;0;0;3;0;40;208800;132;1038600;58;282600;130;1014600
01.06.2020 15:00;66;407400;67;288000;69;478800;73;444000;3;600;10;4800;4;2400;5;5400;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;39;1171200;123;956400;70;414600;121;1011600
01.06.2020 16:00;51;435600;55;286200;83;685200;79;615000;0;0;3;0;2;0;8;5400;5;600;0;0;4;600;0;0;0;0;3;600;0;0;3;600;46;204600;130;852000;76;394200;136;1125600
01.06.2020 17:00;57;281400;59;163800;68;643200;70;607200;0;0;1;600;15;3000;7;7200;0;0;2;0;1;0;8;1800;0;0;1;0;0;0;0;0;61;1290600;150;996600;59;339600;123;1008600
01.06.2020 18:00;59;304200;62;226200;78;733800;75;679200;0;0;1;0;0;0;10;4200;1;0;0;0;1;0;0;0;4;600;6;5400;0;0;3;600;41;1039800;135;920400;83;313800;118;1035600
01.06.2020 19:00;53;324000;54;199800;52;355200;48;335400;1;600;4;1800;15;3000;4;2400;4;600;0;0;4;1200;2;600;7;600;3;7200;0;0;0;0;26;877800;131;695400;63;253800;121;996600
01.06.2020 20:00;40;277800;44;245400;59;365400;58;347400;1;0;2;600;1;0;1;0;0;0;1;0;0;0;4;1200;0;0;0;0;0;0;0;0;35;121800;98;706200;55;201600;97;740400
01.06.2020 21:00;19;180000;19;116400;54;300000;52;261600;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;3;2400;0;0;0;0;17;73800;84;478200;46;157200;92;612600
01.06.2020 22:00;28;256800;29;247800;42;305400;42;258600;0;0;0;0;0;0;2;1800;0;0;0;0;0;0;1;1200;19;4800;2;6600;0;0;0;0;20;112200;69;573600;28;97800;86;648000
01.06.2020 23:00;6;52800;6;38400;13;90600;12;40200;0;0;0;0;0;0;2;14400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16800;36;288600;8;22200;47;321600
