01.06.2020 00:00;Bel_D111;Vwz_D111;Bel_D112;Vwz_D112;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D51;Vwz_D51;Bel_D52;Vwz_D52;Bel_D81;Vwz_D81;Bel_D_A126_M;Vwz_D_A126_M;Bel_TBS32_Anf;Vwz_TBS32_Anf;Bel_TBS32a_Anf;Vwz_TBS32a_Anf;Bel_TBS35_Anf;Vwz_TBS35_Anf;Bel_TBS35a_Anf;Vwz_TBS35a_Anf;Bel_TBS38_Anf;Vwz_TBS38_Anf;Bel_TBS38a_Anf;Vwz_TBS38a_Anf;Bel_TBS41_Anf;Vwz_TBS41_Anf;Bel_TBS41a_Anf;Vwz_TBS41a_Anf;Bel_TF32_Anf;Vwz_TF32_Anf;Bel_TF32a_Anf;Vwz_TF32a_Anf;Bel_TF35_Anf;Vwz_TF35_Anf;Bel_TF35a_Anf;Vwz_TF35a_Anf;Bel_TF38_Anf;Vwz_TF38_Anf;Bel_TF38a_Anf;Vwz_TF38a_Anf;Bel_TF41_Anf;Vwz_TF41_Anf;Bel_TF41a_Anf;Vwz_TF41a_Anf;Bel_V113_Anf;Vwz_V113_Anf;Bel_V114_Anf;Vwz_V114_Anf;Bel_V23_Anf;Vwz_V23_Anf;Bel_V24_Anf;Vwz_V24_Anf;Bel_V53_Anf;Vwz_V53_Anf;Bel_V54_Anf;Vwz_V54_Anf;Bel_V82_Anf;Vwz_V82_Anf
01.06.2020 00:00;16;2400;28;11400;1;8400;6;1200;5;2400;7;0;0;0;27;208800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;30600;34;39000;2;3000;0;0;5;14400;3;1800;0;0
01.06.2020 01:00;16;11400;30;28800;2;15600;6;1200;4;13200;10;1200;1;18600;22;171000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;30000;29;43200;2;8400;2;1200;4;13800;3;4800;1;2400
01.06.2020 02:00;3;2400;13;6000;0;0;3;600;3;600;4;0;0;0;12;93000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;10200;15;21000;0;0;0;0;3;5400;0;0;0;0
01.06.2020 03:00;5;1800;12;6600;0;0;2;0;2;0;2;0;2;28800;13;101400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;13800;11;26400;0;0;0;0;4;3600;2;1200;2;4200
01.06.2020 04:00;3;1200;6;3600;1;9000;2;600;1;600;1;0;3;13800;7;53400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;16800;8;12600;1;3000;0;0;1;1800;0;0;0;0
01.06.2020 05:00;9;1200;17;6600;2;12000;5;1200;4;1800;9;9000;4;16800;7;54600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8400;13;19800;2;3600;0;0;7;10800;3;6000;4;6600
01.06.2020 06:00;6;1200;17;6600;1;600;4;1800;11;3000;11;600;4;15600;10;78000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9000;15;23400;0;0;1;0;12;23400;1;600;3;10200
01.06.2020 07:00;2;0;17;7800;4;31200;5;23400;9;3000;7;3600;3;22200;12;93000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1200;15;24600;3;6000;0;0;11;24000;1;8400;2;18600
01.06.2020 08:00;12;1800;21;15600;2;0;3;0;14;3600;12;600;4;1800;10;78000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;15000;16;34200;1;3600;1;1200;9;18000;2;0;1;0
01.06.2020 09:00;19;1800;43;19800;0;0;13;2400;23;40800;20;1800;4;14400;16;129600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;2;1800;0;0;17;27600;30;55800;0;0;3;2400;37;62400;5;3000;3;2400
01.06.2020 10:00;66;161400;59;199800;2;39600;6;600;49;267600;33;47400;12;46200;31;256200;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;1;600;1;600;0;0;1;600;0;0;1;600;1;600;0;0;35;99000;49;138000;7;73200;20;2650200;56;175200;9;9600;8;201000
01.06.2020 11:00;29;115200;66;325800;12;2400;15;2400;41;216600;20;4200;3;63600;44;357000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;99600;64;183600;22;1285800;15;1729200;47;128400;4;2400;3;13800
01.06.2020 12:00;61;188400;105;504000;5;1800;20;34800;36;250200;37;28200;10;72000;38;324600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;1;600;0;0;0;0;2;1200;0;0;65;206400;86;330600;9;1246800;22;1441200;42;135600;5;4200;9;28200
01.06.2020 13:00;53;141000;98;188400;4;17400;23;41400;54;146400;52;25800;14;51000;53;438000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;1;600;2;1200;56;165600;82;190800;5;11400;17;385800;61;158400;14;10200;8;10800
01.06.2020 14:00;59;35400;98;139800;7;90000;21;15600;38;33000;41;7200;11;72000;51;432000;0;0;0;0;0;0;1;600;0;0;0;0;1;600;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;55;109800;72;202800;9;15600;4;6600;40;108000;15;9000;8;25800
01.06.2020 15:00;55;18600;101;141600;1;600;15;1800;47;52200;33;3000;6;34800;46;379200;0;0;0;0;1;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;1;600;0;0;0;0;0;0;0;0;57;110400;78;236400;1;600;1;0;48;107400;12;7200;7;19200
01.06.2020 16:00;62;85800;93;134400;2;10200;20;3000;33;58200;40;34800;11;45000;47;399000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;151200;70;179400;2;3600;2;3000;41;75000;10;12600;14;26400
01.06.2020 17:00;52;30000;81;108600;3;3000;15;1800;34;77400;30;12600;3;36600;43;354600;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2400;0;0;0;0;0;0;0;0;0;0;43;84600;67;154800;2;1800;0;0;35;94800;4;4800;3;6000
01.06.2020 18:00;62;87600;99;79800;2;1200;15;15000;33;42000;27;1800;5;22800;50;456600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;119400;67;167400;0;0;1;2400;37;63000;6;3600;4;8400
01.06.2020 19:00;63;42600;99;73800;4;1200;15;42000;45;136200;42;30600;14;91200;54;469200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;499800;52;1170000;0;0;5;10200;52;182400;9;35400;13;44400
01.06.2020 20:00;52;126000;86;130800;1;10200;13;1800;28;19800;33;3600;15;111600;56;467400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;120000;70;168000;1;3600;0;0;36;63600;12;16800;11;27000
01.06.2020 21:00;57;110400;79;154200;1;9600;19;3000;15;36600;31;7200;20;129000;41;322800;0;0;0;0;0;0;1;600;0;0;0;0;0;0;1;1200;0;0;0;0;2;1200;1;600;0;0;0;0;1;600;0;0;61;141600;64;156600;1;3600;0;0;24;89400;11;11400;16;27600
01.06.2020 22:00;74;83400;69;52200;0;0;18;1800;17;63000;42;21000;11;71400;53;421800;0;0;0;0;1;600;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;140400;54;100200;0;0;2;2400;19;56400;14;15000;6;10200
01.06.2020 23:00;28;23400;42;19200;2;9000;6;1800;9;3000;18;3000;4;9000;36;283200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;65400;47;61200;3;3600;0;0;8;23400;2;1200;4;9000
02.06.2020 00:00;12;1200;22;8400;0;0;6;600;8;8400;9;0;0;0;28;217800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;26400;20;30600;0;0;0;0;8;17400;1;1200;0;0
02.06.2020 01:00;12;3000;18;16800;0;0;5;1200;5;2400;10;1200;2;25200;20;154800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;28800;24;32400;0;0;0;0;9;22800;3;1800;1;0
02.06.2020 02:00;8;1200;16;6600;0;0;3;0;1;0;4;0;0;0;11;85800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;15000;14;25200;0;0;0;0;1;1200;0;0;0;0
02.06.2020 03:00;6;1200;15;7200;3;7800;3;0;5;9600;9;1800;3;10200;8;62400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;12000;14;29400;1;4200;0;0;7;16800;7;3000;3;7200
