01.06.2020 00:00;Bel_D111_1;Vwz_D111_1;Bel_D111_2;Vwz_D111_2;Bel_D51_1;Vwz_D51_1;Bel_D51_2;Vwz_D51_2;Bel_T1_b;Vwz_T1_b;Bel_T1_s;Vwz_T1_s;Bel_T2_b;Vwz_T2_b;Bel_T2_s;Vwz_T2_s;Bel_T3_b;Vwz_T3_b;Bel_T4_b;Vwz_T4_b;Bel_T5_b;Vwz_T5_b;Bel_T5_s;Vwz_T5_s;Bel_T6_b;Vwz_T6_b;Bel_T6_s;Vwz_T6_s;Bel_T7_b;Vwz_T7_b;Bel_T8_b;Vwz_T8_b;Bel_VD113;Vwz_VD113;Bel_VD21;Vwz_VD21;Bel_VD53;Vwz_VD53;Bel_VD81;Vwz_VD81
01.06.2020 00:00;4;16200;5;3600;9;98400;9;97200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2400;31;99000;9;11400;44;108600
01.06.2020 01:00;1;0;1;600;10;69600;10;57600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;61200;7;10200;35;83400
01.06.2020 02:00;1;1800;1;1200;2;1200;3;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;13;31800;0;0;16;34200
01.06.2020 03:00;1;600;1;600;3;36600;4;55200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;32400;4;6000;17;44400
01.06.2020 04:00;2;17400;2;3000;4;46800;4;47400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;29400;3;12000;6;22800
01.06.2020 05:00;2;600;2;600;1;3600;1;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;936000;17;38400;1;600;10;24600
01.06.2020 06:00;1;16800;1;16800;5;47400;6;34800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;2671200;21;50400;5;25200;21;39600
01.06.2020 07:00;3;16200;3;3000;15;148800;16;136800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;3544800;30;61800;11;60000;30;56400
01.06.2020 08:00;7;48600;6;22200;21;235800;19;217800;0;0;0;0;3;600;0;0;0;0;0;0;0;0;0;0;2;600;3;600;0;0;0;0;51;3357600;60;130800;20;60600;37;96000
01.06.2020 09:00;25;136200;25;122400;38;353400;41;329400;0;0;2;2400;1;0;0;0;0;0;0;0;0;0;0;0;4;600;0;0;0;0;0;0;48;3357600;95;365400;32;178800;72;196800
01.06.2020 10:00;18;160200;20;100200;37;367200;38;326400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1200;0;0;0;0;8;3569400;111;393000;37;216600;101;366000
01.06.2020 11:00;20;148800;18;136800;47;427200;51;409200;1;0;1;600;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;6600;0;0;0;0;2;3597600;140;661200;43;211800;136;694200
01.06.2020 12:00;21;128400;20;45000;49;517800;48;521400;1;600;0;0;0;0;1;600;0;0;0;0;0;0;1;600;0;0;0;0;0;0;1;0;16;3507600;140;488400;36;441600;154;744600
01.06.2020 13:00;24;289200;22;205200;61;495000;60;472200;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6000;0;0;0;0;0;0;0;0;10;3573000;146;664200;60;247800;152;701400
01.06.2020 14:00;26;161400;26;70200;41;457800;42;382200;3;600;0;0;0;0;2;3600;0;0;0;0;3;600;0;0;1;0;0;0;0;0;0;0;5;3595800;155;791400;34;159600;168;879000
01.06.2020 15:00;23;135600;23;40800;56;804600;57;708000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;12600;0;0;0;0;1;3590400;123;613800;47;385800;161;739200
01.06.2020 16:00;18;232800;17;159000;61;554400;68;412800;0;0;0;0;0;0;1;1800;0;0;0;0;0;0;0;0;0;0;9;16200;0;0;0;0;45;3502800;150;670200;52;345000;175;732600
01.06.2020 17:00;29;195000;31;97200;49;693600;55;598200;0;0;0;0;0;0;7;1200;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;3563400;163;745800;41;985800;152;634800
01.06.2020 18:00;15;226200;15;113400;50;612600;52;541800;1;0;3;0;0;0;1;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;3477600;180;778800;39;167400;169;690000
01.06.2020 19:00;30;134400;25;41400;51;409200;50;315000;0;0;2;600;4;600;5;4800;3;0;0;0;5;1800;1;600;1;0;0;0;0;0;0;0;55;3327000;129;612000;24;1561800;163;646800
01.06.2020 20:00;22;200400;21;106800;48;379200;47;276600;6;600;1;0;36;7200;6;9000;0;0;0;0;1;0;0;0;0;0;0;0;3;0;1;0;102;1798200;113;535200;30;497400;132;730800
