01.06.2020 00:00;Bel_A51_M2_638;Vwz_A51_M2_638;Bel_A55_M4_641;Vwz_A55_M4_641;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D31;Vwz_D31;Bel_D32;Vwz_D32;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_D55;Vwz_D55;Bel_H51_M1_637;Vwz_H51_M1_637;Bel_H55_M3_640;Vwz_H55_M3_640;Bel_Schluessel_S51;Vwz_Schluessel_S51;Bel_Schluessel_S55;Vwz_Schluessel_S55;Bel_T1;Vwz_T1;Bel_T2;Vwz_T2;Bel_T5;Vwz_T5;Bel_T6;Vwz_T6;Bel_V51_M5_636;Vwz_V51_M5_636
01.06.2020 00:00;0;0;1;1000;65;32526;26;7520;2;103590;0;26410;53;42560;22;10660;0;0;0;0;1;990;0;0;0;0;0;3600000;0;0;0;0;0;0;1;1440
01.06.2020 01:00;0;0;0;0;30;14390;14;3680;2;38400;1;35350;33;18290;15;6270;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;16;7200;10;3040;0;0;1;19040;15;7240;6;1479;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;8;3360;8;2400;0;0;2;43340;17;8880;13;4290;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;15;7040;7;2560;0;0;1;37910;12;6080;8;1880;0;0;0;0;0;0;0;0;0;0;0;3600000;0;0;0;0;0;0;0;0
01.06.2020 05:00;1;990;1;1000;30;13600;7;2560;4;50560;2;102710;21;10120;5;900;0;0;1;1000;1;1000;0;0;0;0;0;3600000;0;0;0;0;0;0;0;0
01.06.2020 06:00;3;3000;2;2000;34;20000;9;4800;0;0;2;1600;24;32100;9;3660;0;0;3;2990;2;2000;0;0;0;0;0;3600000;0;0;0;0;0;0;0;0
01.06.2020 07:00;2;2000;2;2000;29;19680;10;25280;3;60279;2;54923;42;193590;16;6720;0;0;2;2000;2;2000;0;0;0;0;0;3600000;0;0;0;0;0;0;0;0
01.06.2020 08:00;2;2000;2;2000;75;57760;17;43520;8;94550;10;122860;81;312335;18;8190;0;0;2;1990;2;2000;0;0;0;0;0;3600000;0;0;0;0;0;0;2;2860
01.06.2020 09:00;2;1990;2;2000;131;94560;26;43510;10;120470;7;185933;154;506353;34;34230;0;0;2;1990;2;2000;0;0;0;0;0;3600000;0;0;0;0;0;0;2;2860
