01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_T3_4;Vwz_T3_4;Bel_T7_8;Vwz_T7_8
01.06.2020 00:00;12;32790;13;13670;0;0;0;3600000
01.06.2020 01:00;5;6510;5;6250;0;0;0;3600000
01.06.2020 02:00;5;7770;2;2410;0;0;0;3600000
01.06.2020 03:00;1;1020;2;3130;0;0;0;3600000
01.06.2020 04:00;4;2300;5;7090;0;0;0;3600000
01.06.2020 05:00;2;1990;4;3810;0;0;0;3600000
01.06.2020 06:00;0;0;6;230094;0;0;0;3600000
01.06.2020 07:00;4;157310;5;214670;0;0;0;3600000
01.06.2020 08:00;5;237262;6;159380;1;2500;0;3600000
01.06.2020 09:00;15;109490;24;463146;5;6860;0;3600000
01.06.2020 10:00;27;564047;43;876915;10;6630;0;3600000
01.06.2020 11:00;30;341234;46;767970;4;3120;0;3600000
01.06.2020 12:00;48;385813;54;746069;11;9399;0;3600000
01.06.2020 13:00;46;667225;64;907910;10;5480;0;3600000
01.06.2020 14:00;38;553472;58;994668;9;5670;0;3600000
01.06.2020 15:00;39;511007;71;1193948;5;2000;0;3600000
01.06.2020 16:00;34;526970;73;1295246;13;13080;0;3600000
01.06.2020 17:00;35;538629;61;944161;10;3740;0;3600000
01.06.2020 18:00;33;510551;61;1105748;8;5470;0;3600000
01.06.2020 19:00;35;614983;64;849796;16;7330;0;3600000
01.06.2020 20:00;33;726479;53;556755;6;5510;0;3600000
01.06.2020 21:00;24;271580;38;527210;4;1510;0;3600000
01.06.2020 22:00;7;53430;27;627335;3;7920;0;3600000
01.06.2020 23:00;8;179020;11;178123;0;0;0;3600000
02.06.2020 00:00;7;8310;4;53180;0;0;0;3600000
02.06.2020 01:00;3;8230;5;18040;0;0;0;3600000
02.06.2020 02:00;2;1990;1;1270;0;0;0;3600000
02.06.2020 03:00;1;780;0;0;0;0;0;3600000
02.06.2020 04:00;3;3010;3;4400;0;0;0;3600000
02.06.2020 05:00;16;24250;21;21500;0;0;0;3600000
02.06.2020 06:00;31;631464;40;978825;6;3870;0;3600000
02.06.2020 07:00;74;878954;57;1099415;13;11550;0;3600000
02.06.2020 08:00;63;910655;76;1386344;9;7430;0;3600000
02.06.2020 09:00;56;750325;76;1262588;23;14153;0;3600000
02.06.2020 10:00;79;646145;103;1201066;16;11990;0;3600000
02.06.2020 11:00;62;726225;122;1559519;22;17850;0;3600000
02.06.2020 12:00;48;593794;137;1310246;30;27260;0;3600000
02.06.2020 13:00;69;455772;131;1286108;25;15860;0;3600000
02.06.2020 14:00;63;459416;118;1446207;9;5860;0;3600000
02.06.2020 15:00;51;784619;149;1830542;16;6660;0;3600000
02.06.2020 16:00;69;836474;139;1996223;11;5740;0;3600000
02.06.2020 17:00;65;952339;155;2127469;27;15000;0;3600000
02.06.2020 18:00;43;509172;124;1422500;16;14170;0;3600000
02.06.2020 19:00;35;425220;115;1387293;12;8710;0;3600000
02.06.2020 20:00;24;378361;58;1133998;23;7150;0;3600000
02.06.2020 21:00;21;368740;45;518141;11;5130;0;3600000
02.06.2020 22:00;6;159530;30;557445;4;2490;0;3600000
02.06.2020 23:00;8;104140;19;371204;0;0;0;3600000
03.06.2020 00:00;3;3070;12;9410;0;0;0;3600000
03.06.2020 01:00;1;1270;4;4760;0;0;0;3600000
03.06.2020 02:00;0;0;0;0;0;0;0;3600000
03.06.2020 03:00;2;2100;6;5170;0;0;0;3600000
03.06.2020 04:00;5;5120;5;6370;0;0;0;3600000
03.06.2020 05:00;10;9150;16;16510;0;0;0;3600000
03.06.2020 06:00;24;480354;33;789344;5;10820;0;3600000
03.06.2020 07:00;68;926160;58;1220265;13;5580;0;3600000
03.06.2020 08:00;56;764977;61;1255402;11;8170;0;3600000
03.06.2020 09:00;60;814480;57;1036982;24;39150;0;3600000
03.06.2020 10:00;58;523880;81;1294542;9;6320;0;3600000
03.06.2020 11:00;67;621187;105;1355400;11;5960;0;3600000
03.06.2020 12:00;51;620377;127;1460777;14;6290;0;3600000
03.06.2020 13:00;51;726810;130;1213136;11;7450;0;3600000
03.06.2020 14:00;56;541353;98;1332973;15;8860;0;3600000
03.06.2020 15:00;45;570465;142;2024460;10;9540;0;3600000
03.06.2020 16:00;57;689846;140;1731643;16;10690;0;3600000
03.06.2020 17:00;47;858260;136;2012143;20;14150;0;3600000
03.06.2020 18:00;51;805583;123;1611216;14;11020;0;3600000
03.06.2020 19:00;36;546749;76;1254838;20;15170;0;3600000
03.06.2020 20:00;32;329285;51;852703;11;4960;0;3600000
03.06.2020 21:00;24;232415;45;491937;8;4700;0;3600000
03.06.2020 22:00;15;245406;29;532933;2;1180;0;3600000
03.06.2020 23:00;7;106780;17;378644;0;0;0;3600000
04.06.2020 00:00;1;970;10;10350;0;0;0;3600000
04.06.2020 01:00;1;670;5;5650;0;0;0;3600000
04.06.2020 02:00;0;0;0;0;0;0;0;3600000
04.06.2020 03:00;3;2780;3;2720;0;0;0;3600000
04.06.2020 04:00;3;2470;4;3970;0;0;0;3600000
04.06.2020 05:00;14;14280;21;20410;0;0;0;3600000
04.06.2020 06:00;23;427453;27;483758;3;2740;0;3600000
04.06.2020 07:00;57;559168;52;894805;16;9330;0;3600000
04.06.2020 08:00;67;918593;69;1117742;7;4130;0;3600000
04.06.2020 09:00;51;623429;64;1338206;17;7570;0;3600000
04.06.2020 10:00;66;517514;96;1148108;12;6180;1;3425670
04.06.2020 11:00;56;723790;109;1382246;13;11140;0;3600000
04.06.2020 12:00;39;665907;108;1473915;9;7070;0;3600000
04.06.2020 13:00;58;744213;105;1313184;14;3980;0;3600000
04.06.2020 14:00;53;634836;117;1497500;18;11710;0;3600000
04.06.2020 15:00;57;753990;171;2193385;24;23040;0;3600000
04.06.2020 16:00;60;949691;126;1954395;20;18947;0;3600000
04.06.2020 17:00;58;1057590;124;1653543;16;8790;0;3600000
04.06.2020 18:00;45;718069;118;1617325;27;17520;0;3600000
04.06.2020 19:00;52;842037;106;1484439;6;7620;0;3600000
04.06.2020 20:00;27;478802;59;724387;1;1150;0;3600000
04.06.2020 21:00;17;270190;48;695610;9;4370;0;3600000
04.06.2020 22:00;12;165570;24;535231;2;890;0;3600000
04.06.2020 23:00;6;126110;13;317856;0;0;0;3600000
05.06.2020 00:00;7;36490;12;13700;0;0;0;3600000
05.06.2020 01:00;3;3370;9;9780;0;0;0;3600000
05.06.2020 02:00;2;4990;2;1450;0;0;0;3600000
05.06.2020 03:00;3;2580;1;60;0;0;0;3600000
05.06.2020 04:00;2;2110;3;4570;0;0;1;3444820
05.06.2020 05:00;9;9060;18;23370;0;0;0;3600000
05.06.2020 06:00;24;394260;37;853202;3;2620;0;3600000
05.06.2020 07:00;59;761182;55;1278291;5;3560;0;3600000
05.06.2020 08:00;52;654770;60;1022963;12;14480;0;3600000
05.06.2020 09:00;55;703724;63;1468257;13;10142;0;3600000
05.06.2020 10:00;59;462279;102;1392335;17;10070;0;3600000
05.06.2020 11:00;69;527995;114;1406277;24;14520;0;3600000
05.06.2020 12:00;53;541419;169;1899622;23;7590;0;3600000
05.06.2020 13:00;56;802880;125;1866321;19;11990;0;3600000
05.06.2020 14:00;52;702041;123;1785774;9;5130;0;3600000
05.06.2020 15:00;56;956168;131;1965513;22;20880;0;3600000
05.06.2020 16:00;51;694404;114;1894330;13;8740;0;3600000
05.06.2020 17:00;61;865086;124;1728370;14;12150;0;3600000
05.06.2020 18:00;51;958315;113;1603901;6;7760;0;3600000
05.06.2020 19:00;23;867179;75;1465175;8;2160;0;3600000
05.06.2020 20:00;29;435435;59;1102692;11;5160;0;3600000
05.06.2020 21:00;15;202358;44;831963;6;4190;0;3600000
05.06.2020 22:00;14;228260;31;504398;2;1170;0;3600000
05.06.2020 23:00;8;179760;21;449130;0;0;0;3600000
06.06.2020 00:00;4;4990;18;66870;0;0;0;3600000
06.06.2020 01:00;9;8180;8;16300;0;0;0;3600000
