01.06.2020 00:00;Bel_D1;Vwz_D1;Bel_D2;Vwz_D2;Bel_FG35H;Vwz_FG35H;Bel_FG35W;Vwz_FG35W;Bel_TS_Brandmeldung;Vwz_TS_Brandmeldung;Bel_TS_Schluesselschalter;Vwz_TS_Schluesselschalter;Bel_TS_Warte;Vwz_TS_Warte
01.06.2020 00:00;11;5350;0;3600000;0;0;0;0;0;0;0;0;0;0
01.06.2020 01:00;9;4510;0;3600000;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;4;1540;0;3600000;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;8;3860;0;3600000;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;3;1300;0;3600000;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;1;440;0;3600000;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;10;6220;0;3600000;0;0;0;0;0;0;0;0;0;0
01.06.2020 07:00;10;3660;0;3600000;0;0;0;0;0;0;0;0;0;0
01.06.2020 08:00;11;5980;0;3600000;0;0;0;0;0;0;0;0;0;0
01.06.2020 09:00;23;8590;0;3600000;4;2000;0;0;0;0;0;0;0;0
01.06.2020 10:00;42;23560;0;3600000;0;0;1;1030;0;0;0;0;0;0
01.06.2020 11:00;43;16030;0;3600000;1;1830;3;1790;0;0;0;0;0;0
01.06.2020 12:00;44;22630;0;3600000;0;0;6;5930;0;0;0;0;0;0
01.06.2020 13:00;55;21910;0;3600000;0;0;5;5210;0;0;0;0;0;0
01.06.2020 14:00;69;27380;0;3600000;2;730;2;950;0;0;0;0;0;0
01.06.2020 15:00;57;23114;0;3600000;1;300;4;3410;0;0;0;0;0;0
01.06.2020 16:00;773;93361;0;3600000;13;4990;13;7330;0;0;0;0;0;0
01.06.2020 17:00;269;56393;0;3600000;3;2410;9;6640;0;0;0;0;0;0
01.06.2020 18:00;70;33324;0;3600000;10;4770;7;7880;0;0;0;0;0;0
01.06.2020 19:00;573;74300;0;3600000;1;150;7;4500;0;0;0;0;0;0
01.06.2020 20:00;5284;774284;0;3600000;5;5670;7;8190;0;0;0;0;0;0
01.06.2020 21:00;48;17410;0;3600000;0;0;1;550;0;0;0;0;0;0
01.06.2020 22:00;32;14540;0;3600000;0;0;2;1950;0;0;0;0;0;0
01.06.2020 23:00;16;6870;0;3600000;0;0;0;0;0;0;0;0;0;0
02.06.2020 00:00;7;5970;0;3600000;0;0;5;2870;0;0;0;0;0;0
02.06.2020 01:00;3;1080;0;3600000;0;0;0;0;0;0;0;0;0;0
02.06.2020 02:00;7;2940;0;3600000;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;5;2730;0;3600000;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;1;390;0;3600000;0;0;0;0;0;0;0;0;0;0
02.06.2020 05:00;10;5830;0;3600000;1;1190;0;0;0;0;0;0;0;0
02.06.2020 06:00;41;18660;0;3600000;0;0;1;1740;0;0;0;0;0;0
02.06.2020 07:00;81;35610;0;3600000;1;1230;7;6814;0;0;0;0;0;0
02.06.2020 08:00;77;35480;0;3600000;9;4889;16;9360;0;0;0;0;0;0
02.06.2020 09:00;103;54110;0;3600000;7;8270;8;6770;0;0;0;0;0;0
02.06.2020 10:00;74;36320;0;3600000;12;8390;20;10740;0;0;0;0;0;0
02.06.2020 11:00;107;56910;0;3600000;16;8520;19;50568;0;0;0;0;0;0
02.06.2020 12:00;100;42330;0;3600000;16;11110;14;11130;0;0;0;0;0;0
02.06.2020 13:00;127;51470;0;3600000;11;8300;10;7970;0;0;0;0;0;0
02.06.2020 14:00;260;61953;0;3600000;9;6670;20;18730;0;0;0;0;0;0
02.06.2020 15:00;3713;389938;0;3600000;14;11110;10;5120;0;0;0;0;0;0
02.06.2020 16:00;1036;118192;0;3600000;13;8700;15;13160;0;0;0;0;0;0
02.06.2020 17:00;1036;154051;0;3600000;13;7040;15;12980;0;0;0;0;0;0
02.06.2020 18:00;3558;381806;0;3600000;20;20690;15;13480;0;0;0;0;0;0
02.06.2020 19:00;-1;-1;0;3600000;16;6670;9;16250;0;0;0;0;0;0
02.06.2020 20:00;-1;-1;0;3600000;5;2850;9;11340;0;0;0;0;0;0
02.06.2020 21:00;35;14120;0;3600000;5;4350;3;2410;0;0;0;0;0;0
02.06.2020 22:00;26;11430;0;3600000;5;1510;5;2920;0;0;0;0;0;0
02.06.2020 23:00;17;11790;0;3600000;0;0;1;1650;0;0;0;0;0;0
03.06.2020 00:00;18;8120;0;3600000;0;0;0;0;0;0;0;0;0;0
03.06.2020 01:00;6;4850;0;3600000;0;0;0;0;0;0;0;0;0;0
03.06.2020 02:00;6;3380;0;3600000;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;5;2460;0;3600000;0;0;0;0;0;0;0;0;0;0
03.06.2020 04:00;5;2070;0;3600000;0;0;0;0;0;0;0;0;0;0
03.06.2020 05:00;18;7100;0;3600000;1;960;0;0;0;0;0;0;0;0
03.06.2020 06:00;39;17170;0;3600000;0;0;0;0;0;0;0;0;0;0
03.06.2020 07:00;89;36310;0;3600000;4;2220;10;7230;0;0;0;0;0;0
03.06.2020 08:00;82;38186;0;3600000;6;4360;15;13970;0;0;0;0;0;0
03.06.2020 09:00;67;32340;0;3600000;13;6080;13;10740;0;0;0;0;0;0
03.06.2020 10:00;75;36130;0;3600000;8;5960;19;18370;0;0;0;0;0;0
03.06.2020 11:00;114;56160;0;3600000;16;11070;8;7040;0;0;0;0;0;0
03.06.2020 12:00;362;78269;0;3600000;7;6890;11;10590;0;0;0;0;0;0
03.06.2020 13:00;3458;368997;0;3600000;13;5350;10;8270;0;0;0;0;0;0
03.06.2020 14:00;2493;257643;0;3600000;22;14720;19;13620;0;0;0;0;0;0
03.06.2020 15:00;769;93995;0;3600000;16;12320;34;27800;0;0;0;0;0;0
03.06.2020 16:00;3802;528516;0;3600000;18;7060;13;9730;0;0;0;0;0;0
03.06.2020 17:00;-1;-1;0;3600000;10;7250;14;17580;0;0;0;0;0;0
03.06.2020 18:00;-1;-1;0;3600000;9;3580;20;14350;0;0;0;0;0;0
03.06.2020 19:00;560;86154;0;3600000;9;4590;8;5700;0;0;0;0;0;0
03.06.2020 20:00;56;24070;0;3600000;3;1650;12;6410;0;0;0;0;0;0
