01.06.2020 00:00;Bel_A51_M1S_494;Vwz_A51_M1S_494;Bel_A54_M4SL_506;Vwz_A54_M4SL_506;Bel_A55_M3S_505;Vwz_A55_M3S_505;Bel_D11;Vwz_D11;Bel_D12;Vwz_D12;Bel_D21;Vwz_D21;Bel_Fiber_reserve;Vwz_Fiber_reserve;Bel_H51_A74/M1S_493;Vwz_H51_A74/M1S_493;Bel_H54_M3SL_1289;Vwz_H54_M3SL_1289;Bel_H55_A30/M3S_504;Vwz_H55_A30/M3S_504;Bel_LLB-Test;Vwz_LLB-Test;Bel_Power_on;Vwz_Power_on;Bel_Sync;Vwz_Sync;Bel_foult;Vwz_foult
01.06.2020 00:00;5;5000;3;3000;4;3990;7;5780;17;13430;48;29030;0;0;5;4990;2;2000;4;3990;0;0;0;0;0;0;0;0
01.06.2020 01:00;1;1000;0;0;0;0;11;8660;4;2510;38;24330;0;0;1;1000;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;10;6740;7;5085;30;20000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;2;1990;4;2960;20;12050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;1;1000;0;0;2;2000;8;5790;5;3290;10;9250;0;0;1;1000;0;0;2;2000;0;0;0;0;0;0;0;0
01.06.2020 05:00;1;1000;1;1000;4;4000;8;5360;5;3550;19;13240;0;0;1;990;1;1000;4;4000;0;0;0;0;0;0;0;0
01.06.2020 06:00;3;3000;2;2000;6;6045;8;3970;16;9398;27;18340;0;0;3;2990;2;2000;6;5990;0;0;0;0;0;0;0;0
01.06.2020 07:00;4;3990;2;2000;6;6000;10;8480;10;6410;25;15990;0;0;4;4000;2;2000;6;5990;0;0;0;0;0;0;0;0
01.06.2020 08:00;4;4000;2;2000;6;6000;21;13660;22;14790;29;17870;0;0;4;4000;2;2000;6;6000;0;0;0;0;0;0;0;0
01.06.2020 09:00;4;4000;2;2000;6;6000;14;8130;31;24553;51;35680;0;0;4;4000;2;2000;6;5990;0;0;0;0;0;0;0;0
