01.06.2020 00:00;Bel_TF35;Vwz_TF35;Bel_TF35a;Vwz_TF35a;Bel_TF36;Vwz_TF36;Bel_TF36a;Vwz_TF36a
01.06.2020 00:00;0;0;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;0;0;0;0
01.06.2020 06:00;0;0;0;0;0;0;0;0
01.06.2020 07:00;0;0;0;0;0;0;0;0
01.06.2020 08:00;0;0;0;0;0;0;0;0
01.06.2020 09:00;0;0;0;0;0;0;0;0
01.06.2020 10:00;2;0;3;0;17;3600;5;0
01.06.2020 11:00;0;0;2;0;5;0;0;0
01.06.2020 12:00;0;0;7;2400;3;600;0;0
01.06.2020 13:00;0;0;2;0;0;0;0;0
01.06.2020 14:00;0;0;7;1200;8;1200;0;0
01.06.2020 15:00;0;0;0;0;34;4800;0;0
01.06.2020 16:00;0;0;4;600;17;1800;0;0
01.06.2020 17:00;0;0;9;3600;11;0;1;0
01.06.2020 18:00;0;0;12;2400;24;3600;0;0
01.06.2020 19:00;1;0;6;600;25;3600;0;0
01.06.2020 20:00;0;0;5;1200;7;0;1;0
01.06.2020 21:00;4;600;1;0;3;0;0;0
01.06.2020 22:00;0;0;0;0;0;0;0;0
01.06.2020 23:00;0;0;0;0;0;0;0;0
02.06.2020 00:00;0;0;0;0;0;0;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0
02.06.2020 04:00;0;0;0;0;0;0;0;0
02.06.2020 05:00;0;0;0;0;0;0;0;0
02.06.2020 06:00;0;0;2;600;0;0;0;0
02.06.2020 07:00;3;1200;7;1800;20;4200;0;0
02.06.2020 08:00;0;0;15;1800;8;600;0;0
02.06.2020 09:00;0;0;1;1200;11;2400;0;0
02.06.2020 10:00;1;0;47;11400;63;15000;0;0
02.06.2020 11:00;11;1800;11;600;16;3000;0;0
02.06.2020 12:00;0;0;7;1200;18;3600;0;0
02.06.2020 13:00;2;0;17;1200;7;600;4;600
02.06.2020 14:00;0;0;20;5400;7;600;0;0
02.06.2020 15:00;0;0;4;1800;14;3000;0;0
02.06.2020 16:00;0;0;20;13200;14;4200;1;600
02.06.2020 17:00;0;0;6;2400;11;600;1;0
02.06.2020 18:00;0;0;24;7200;14;6000;0;0
02.06.2020 19:00;1;0;13;4200;13;600;0;0
02.06.2020 20:00;0;0;0;0;14;1200;0;0
02.06.2020 21:00;0;0;0;0;1;0;0;0
02.06.2020 22:00;0;0;0;0;0;0;0;0
02.06.2020 23:00;0;0;0;0;0;0;0;0
03.06.2020 00:00;0;0;0;0;0;0;0;0
03.06.2020 01:00;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;0;1;0;0;0
03.06.2020 03:00;0;0;0;0;0;0;0;0
03.06.2020 04:00;0;0;0;0;0;0;0;0
03.06.2020 05:00;0;0;0;0;0;0;0;0
03.06.2020 06:00;0;0;4;1200;0;0;0;0
03.06.2020 07:00;0;0;0;0;23;3000;0;0
03.06.2020 08:00;0;0;1;0;2;0;0;0
03.06.2020 09:00;0;0;4;1200;6;600;0;0
03.06.2020 10:00;5;600;14;2400;29;3600;0;0
03.06.2020 11:00;0;0;0;0;5;0;0;0
03.06.2020 12:00;0;0;3;0;5;0;0;0
03.06.2020 13:00;0;0;11;1800;14;5400;0;0
03.06.2020 14:00;0;0;2;0;11;1200;0;0
03.06.2020 15:00;0;0;18;2400;15;1200;0;0
03.06.2020 16:00;4;600;11;2400;5;1200;0;0
03.06.2020 17:00;0;0;18;3600;26;3600;10;600
03.06.2020 18:00;2;0;11;2400;48;5400;1;0
03.06.2020 19:00;0;0;0;0;8;1200;0;0
03.06.2020 20:00;0;0;3;0;8;1200;0;0
03.06.2020 21:00;0;0;0;0;0;0;0;0
03.06.2020 22:00;0;0;0;0;0;0;0;0
03.06.2020 23:00;0;0;0;0;0;0;0;0
04.06.2020 00:00;0;0;3;0;0;0;0;0
04.06.2020 01:00;0;0;0;0;2;0;0;0
04.06.2020 02:00;0;0;0;0;0;0;0;0
04.06.2020 03:00;0;0;0;0;0;0;0;0
04.06.2020 04:00;0;0;0;0;0;0;0;0
04.06.2020 05:00;0;0;0;0;0;0;0;0
04.06.2020 06:00;0;0;4;1200;0;0;0;0
04.06.2020 07:00;0;0;1;0;17;3600;0;0
04.06.2020 08:00;1;0;17;2400;59;9600;0;0
04.06.2020 09:00;0;0;3;600;11;0;0;0
04.06.2020 10:00;11;4200;11;3000;77;20400;29;6600
04.06.2020 11:00;0;0;3;600;4;0;0;0
04.06.2020 12:00;0;0;3;1200;6;600;0;0
04.06.2020 13:00;0;0;59;16200;6;600;0;0
04.06.2020 14:00;0;0;5;600;16;1800;9;1200
04.06.2020 15:00;10;1800;10;1200;18;2400;0;0
04.06.2020 16:00;0;0;7;600;11;600;0;0
04.06.2020 17:00;0;0;12;3000;7;1200;0;0
04.06.2020 18:00;0;0;15;1800;7;600;0;0
04.06.2020 19:00;1;600;1;0;1;0;0;0
04.06.2020 20:00;0;0;0;0;9;1200;0;0
04.06.2020 21:00;1;0;1;600;1;0;1;0
04.06.2020 22:00;0;0;0;0;1;0;0;0
04.06.2020 23:00;0;0;0;0;0;0;0;0
05.06.2020 00:00;0;0;0;0;0;0;0;0
05.06.2020 01:00;0;0;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;0;0;0;0
05.06.2020 04:00;0;0;0;0;0;0;0;0
05.06.2020 05:00;0;0;0;0;0;0;0;0
05.06.2020 06:00;0;0;0;0;0;0;0;0
05.06.2020 07:00;2;1200;0;0;55;9600;0;0
05.06.2020 08:00;0;0;11;4200;20;5400;0;0
05.06.2020 09:00;0;0;6;1200;15;2400;0;0
05.06.2020 10:00;0;0;40;8400;9;2400;0;0
05.06.2020 11:00;2;1200;10;2400;21;6600;4;1200
05.06.2020 12:00;0;0;2;0;26;6000;1;0
05.06.2020 13:00;0;0;16;2400;16;1800;0;0
05.06.2020 14:00;0;0;15;1800;5;0;0;0
05.06.2020 15:00;0;0;6;1200;22;3000;0;0
05.06.2020 16:00;0;0;18;3600;3;0;1;0
05.06.2020 17:00;0;0;4;0;3;1800;0;0
05.06.2020 18:00;0;0;0;0;3;0;0;0
05.06.2020 19:00;0;0;7;1800;1;0;0;0
05.06.2020 20:00;0;0;6;1200;8;1200;0;0
05.06.2020 21:00;0;0;2;0;1;0;0;0
05.06.2020 22:00;0;0;0;0;0;0;0;0
05.06.2020 23:00;0;0;0;0;0;0;0;0
06.06.2020 00:00;0;0;0;0;0;0;0;0
06.06.2020 01:00;0;0;0;0;0;0;0;0
06.06.2020 02:00;0;0;0;0;0;0;0;0
06.06.2020 03:00;0;0;0;0;0;0;0;0
06.06.2020 04:00;0;0;0;0;0;0;0;0
06.06.2020 05:00;0;0;0;0;0;0;0;0
06.06.2020 06:00;0;0;0;0;1;0;0;0
06.06.2020 07:00;0;0;11;3600;1;0;0;0
06.06.2020 08:00;0;0;2;0;1;0;0;0
06.06.2020 09:00;0;0;0;0;14;1800;0;0
06.06.2020 10:00;0;0;1;1200;4;600;0;0
06.06.2020 11:00;0;0;2;0;8;0;0;0
06.06.2020 12:00;0;0;2;0;11;4800;0;0
06.06.2020 13:00;0;0;6;1800;0;0;0;0
06.06.2020 14:00;0;0;0;0;6;2400;0;0
06.06.2020 15:00;0;0;4;1200;3;600;0;0
06.06.2020 16:00;0;0;1;0;6;3600;2;0
06.06.2020 17:00;0;0;0;0;9;1200;0;0
06.06.2020 18:00;0;0;7;1200;2;600;0;0
06.06.2020 19:00;0;0;4;1200;6;1200;0;0
06.06.2020 20:00;0;0;5;600;5;1200;0;0
06.06.2020 21:00;0;0;0;0;1;0;0;0
