01.06.2020 00:00;Bel_B426_MP4;Vwz_B426_MP4;Bel_D11;Vwz_D11;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_MP3;Vwz_MP3;Bel_T1_4;Vwz_T1_4;Bel_T2_3;Vwz_T2_3
01.06.2020 00:00;0;0;6;32470;77;34250;67;32610;17;4920;1;880;1;870;0;0;0;0;0;0
01.06.2020 01:00;0;0;2;27530;57;23400;45;20540;13;2840;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;2;1110;30;12590;29;12550;11;2540;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;2;3820;32;12740;16;7000;9;2390;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;22;9370;21;9700;10;4140;1;880;1;870;0;0;0;0;0;0
01.06.2020 05:00;2;1740;19;122670;44;21320;57;29580;14;8890;2;1750;2;1740;2;1750;0;0;14;7835
01.06.2020 06:00;2;1740;6;215667;61;30765;47;22110;16;8290;2;1740;2;1750;2;1750;0;0;0;0
01.06.2020 07:00;2;1750;6;223090;47;22870;68;34416;13;6670;2;1750;2;1740;2;1750;0;0;0;0
01.06.2020 08:00;2;1740;12;362430;100;43960;125;59776;27;31350;2;1760;2;1740;2;1750;2;2800;1;10
01.06.2020 09:00;2;1740;14;464266;234;105136;196;90130;25;11120;2;1740;2;1750;2;1740;1;1630;5;8452
01.06.2020 10:00;2;1740;27;625642;305;140615;297;205300;43;52660;2;1760;2;1740;2;1750;6;8903;24;95287
01.06.2020 11:00;2;1740;31;670424;349;162040;366;244074;38;12730;2;1740;2;1740;2;1750;6;7840;654;345756
01.06.2020 12:00;2;1740;40;531560;428;198180;474;435260;51;38200;2;1750;2;1740;2;1750;7;10091;1096;863325
01.06.2020 13:00;2;1740;32;659067;500;245419;421;342331;62;44080;2;1740;2;1750;2;1740;6;6791;-1;-1
01.06.2020 14:00;2;1750;48;1142744;534;293303;458;395790;62;36130;2;1740;2;1740;2;1760;6;12484;-1;-1
01.06.2020 15:00;2;1750;30;735245;460;223270;430;339848;65;28840;2;1740;2;1760;2;1740;19;28055;-1;-1
01.06.2020 16:00;2;1750;28;482172;443;200727;436;282573;41;14510;2;1750;2;1740;2;1750;14;20809;-1;-1
01.06.2020 17:00;2;1740;31;880206;434;203087;551;401349;57;29940;2;1760;2;1750;2;1740;8;14080;-1;-1
01.06.2020 18:00;2;1740;21;478720;413;185710;488;312810;69;19430;2;1740;2;1750;2;1740;5;7540;-1;-1
