01.06.2020 00:00;Bel_A51_M2_645;Vwz_A51_M2_645;Bel_A55_M4_649;Vwz_A55_M4_649;Bel_H51_M1_644;Vwz_H51_M1_644;Bel_H55_M3_648;Vwz_H55_M3_648;Bel_T1;Vwz_T1;Bel_T3;Vwz_T3;Bel_T4;Vwz_T4;Bel_T5;Vwz_T5
01.06.2020 00:00;0;0;1;1100;0;0;1;1100;0;0;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;1;1100;1;1090;1;1100;1;1100;0;0;0;0;0;0;0;0
01.06.2020 06:00;3;3300;2;2190;3;3300;2;2200;0;0;0;0;0;0;0;0
01.06.2020 07:00;2;2200;2;2200;2;2190;2;2252;0;0;0;0;0;0;0;0
01.06.2020 08:00;2;2190;2;2200;2;2200;2;2200;3;3060;1;1730;0;0;0;0
01.06.2020 09:00;2;2190;2;2190;2;2200;2;2190;0;0;2;2370;0;0;0;0
01.06.2020 10:00;2;2200;2;2200;2;2200;2;2200;0;0;0;0;0;0;0;0
01.06.2020 11:00;2;2200;2;2200;2;2200;2;2200;1;1010;2;2020;0;0;0;0
01.06.2020 12:00;3;3290;3;3300;3;3290;3;3290;15;17490;1;4310;0;0;0;0
01.06.2020 13:00;4;4400;4;4400;4;4400;4;4400;0;0;3;3130;0;0;0;0
01.06.2020 14:00;4;4400;4;4390;4;4390;4;4400;0;0;2;2230;0;0;0;0
01.06.2020 15:00;4;4390;4;4400;4;4380;4;4380;5;6060;2;5320;0;0;0;0
01.06.2020 16:00;4;4400;4;4400;4;4400;4;4400;4;4060;4;4700;0;0;0;0
01.06.2020 17:00;4;4390;4;4455;4;4400;4;4370;6;6100;7;7070;0;0;0;0
01.06.2020 18:00;4;4400;4;4400;4;4380;4;4390;7;7080;5;5050;0;0;0;0
01.06.2020 19:00;2;2200;2;2190;2;2190;2;2200;1;1010;4;5210;0;0;0;0
01.06.2020 20:00;2;2200;2;2200;2;2200;2;2200;6;6080;1;1000;0;0;0;0
01.06.2020 21:00;2;2200;2;2200;2;2200;2;2200;14;15170;1;1010;0;0;0;0
01.06.2020 22:00;2;2190;2;2200;2;2200;2;2200;4;4050;0;0;0;0;0;0
01.06.2020 23:00;2;2190;2;2200;2;2200;2;2190;0;0;0;0;0;0;0;0
02.06.2020 00:00;0;0;1;1100;0;0;1;1100;0;0;0;0;0;0;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;1;1100;0;0;1;1100;0;0;0;0;0;0;0;0;0;0
02.06.2020 05:00;3;3300;3;3300;3;3300;3;3300;0;0;0;0;0;0;0;0
02.06.2020 06:00;4;4400;4;4400;4;4380;4;4400;0;0;0;0;0;0;0;0
02.06.2020 07:00;3;3300;4;4390;3;3300;4;4390;4;4060;9;10980;0;0;0;0
02.06.2020 08:00;5;5480;4;4400;5;5500;4;4400;3;3360;4;5650;0;0;0;0
02.06.2020 09:00;4;4400;4;4400;4;4400;4;4380;4;4060;1;1010;0;0;0;0
02.06.2020 10:00;4;4390;4;4400;4;4400;4;4400;4;4060;7;7629;0;0;0;0
02.06.2020 11:00;5;5490;4;4390;4;4380;4;4390;13;13180;1;1010;0;0;0;0
02.06.2020 12:00;5;5500;5;5500;5;5490;5;5500;6;6080;8;10700;0;0;0;0
02.06.2020 13:00;4;4400;5;5500;4;4390;5;5500;21;23320;3;3800;0;0;0;0
02.06.2020 14:00;4;4390;4;4400;4;4390;4;4400;0;0;7;7080;0;0;0;0
02.06.2020 15:00;3;3300;4;4400;4;4390;4;4400;13;15370;5;5160;0;0;0;0
02.06.2020 16:00;4;4400;4;4400;4;4390;4;4400;4;4060;2;2030;0;0;0;0
02.06.2020 17:00;5;5500;4;4390;4;4400;4;4390;10;10150;10;12580;0;0;0;0
02.06.2020 18:00;4;4400;4;4400;4;4400;4;4400;8;8110;5;6230;0;0;0;0
02.06.2020 19:00;4;4400;4;4400;4;4390;4;4400;3;3030;1;1690;0;0;0;0
02.06.2020 20:00;4;4400;3;3300;4;4390;3;3300;3;3040;4;4050;0;0;0;0
02.06.2020 21:00;2;2190;3;3300;2;2200;3;3300;4;4050;0;0;0;0;0;0
02.06.2020 22:00;2;2190;2;2180;2;2200;2;2200;1;1020;0;0;0;0;0;0
02.06.2020 23:00;3;3300;2;2200;2;2190;2;2200;0;0;0;0;0;0;0;0
03.06.2020 00:00;0;0;1;1100;0;0;1;1100;0;0;0;0;0;0;0;0
03.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 04:00;1;1100;0;0;1;1100;0;0;0;0;0;0;0;0;0;0
03.06.2020 05:00;3;3300;3;3300;3;3300;3;3300;0;0;0;0;0;0;0;0
03.06.2020 06:00;4;4400;4;4400;4;4400;4;4390;0;0;0;0;0;0;0;0
03.06.2020 07:00;4;4390;5;5500;4;4400;5;5500;2;2030;8;11630;0;0;0;0
03.06.2020 08:00;5;5490;4;4400;5;5490;4;4400;3;3030;5;7250;0;0;0;0
03.06.2020 09:00;4;4390;4;4380;4;4400;5;5500;3;3040;4;4040;0;0;0;0
03.06.2020 10:00;4;4390;4;4380;4;4400;4;4400;4;4050;8;9010;0;0;0;0
03.06.2020 11:00;4;4400;4;4400;4;4380;4;4400;6;6090;3;8930;0;0;0;0
03.06.2020 12:00;5;5490;5;5500;5;5490;5;5500;4;5870;1;1010;0;0;0;0
03.06.2020 13:00;4;4400;5;5560;4;4390;5;5490;20;23270;2;3760;0;0;0;0
03.06.2020 14:00;4;4390;4;4455;5;5490;4;4400;7;8930;4;4050;0;0;0;0
03.06.2020 15:00;4;4390;4;4390;3;3300;4;4390;6;6090;9;11880;0;0;0;0
03.06.2020 16:00;4;4390;4;4400;4;4380;4;4380;10;10130;3;3150;0;0;0;0
03.06.2020 17:00;6;6590;4;4390;5;5500;4;4380;6;6110;0;0;0;0;0;0
03.06.2020 18:00;4;4390;4;4400;4;4400;4;4390;6;6100;5;5670;0;0;0;0
03.06.2020 19:00;4;4390;4;4390;4;4390;4;4400;4;4070;3;3030;0;0;0;0
03.06.2020 20:00;4;4380;3;3290;4;4400;3;3300;5;5570;2;2020;0;0;0;0
03.06.2020 21:00;2;2200;3;3290;2;2190;3;3300;3;3040;0;0;0;0;0;0
03.06.2020 22:00;2;2200;2;2200;2;2200;2;2200;2;2030;1;1010;0;0;0;0
03.06.2020 23:00;2;2200;2;2190;2;2190;2;2200;1;1020;0;0;0;0;0;0
04.06.2020 00:00;0;0;1;1100;0;0;1;1090;0;0;0;0;0;0;0;0
04.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 04:00;1;1100;0;0;1;1100;0;0;0;0;0;0;0;0;0;0
04.06.2020 05:00;3;3300;3;3300;3;3300;3;3300;0;0;0;0;0;0;0;0
04.06.2020 06:00;4;4400;4;4400;4;4380;4;4400;0;0;0;0;0;0;0;0
04.06.2020 07:00;3;3300;4;4400;3;3300;4;4400;4;4980;3;3040;0;0;0;0
04.06.2020 08:00;5;5490;4;4390;5;5480;4;4400;8;8110;5;5170;0;0;0;0
04.06.2020 09:00;4;4400;4;4390;4;4400;4;4380;0;0;2;2020;0;0;0;0
04.06.2020 10:00;4;4400;4;4390;4;4380;4;4390;0;0;3;3710;0;0;0;0
04.06.2020 11:00;4;4400;4;4400;4;4390;4;4400;2;2030;5;5070;0;0;0;0
04.06.2020 12:00;4;4390;5;5500;5;5500;5;5500;8;9980;0;0;0;0;0;0
