01.06.2020 00:00;Bel_D11;Vwz_D11;Bel_D31;Vwz_D31;Bel_D32;Vwz_D32;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_TB41;Vwz_TB41;Bel_TB41a;Vwz_TB41a;Bel_TF41;Vwz_TF41;Bel_TF41a;Vwz_TF41a;Bel_V12;Vwz_V12;Bel_V33;Vwz_V33;Bel_V34;Vwz_V34;Bel_V43;Vwz_V43;Bel_VK1_iO;Vwz_VK1_iO;Bel_VK2_iO;Vwz_VK2_iO;Bel_VK3_iO;Vwz_VK3_iO
01.06.2020 00:00;102;141600;48;8400;29;19200;14;48600;17;51600;0;0;0;0;0;0;0;0;98;342000;53;45000;4;2400;8;33600;0;0;0;0;0;0
01.06.2020 01:00;48;14400;46;18000;12;0;4;16200;4;12000;0;0;0;0;0;0;0;0;49;138000;48;47400;0;0;2;5400;0;0;0;0;0;0
01.06.2020 02:00;21;18600;17;1800;14;0;5;21000;5;19200;0;0;0;0;0;0;0;0;23;67200;21;14400;0;0;2;4800;0;0;0;0;0;0
01.06.2020 03:00;14;600;6;0;7;0;2;4800;2;6000;0;0;0;0;0;0;0;0;14;38400;8;4800;0;0;1;3600;0;0;0;0;0;0
01.06.2020 04:00;10;7200;7;1200;6;6000;2;6600;2;6000;0;0;0;0;0;0;0;0;12;33600;8;4800;2;600;1;3600;0;0;0;0;0;0
01.06.2020 05:00;8;1200;14;600;9;0;1;6600;1;7200;0;0;0;0;0;0;0;0;8;18600;14;11400;0;0;1;3000;0;0;0;0;0;0
01.06.2020 06:00;17;10800;13;600;8;600;6;31200;6;28800;0;0;0;0;0;0;0;0;18;37800;13;12600;0;0;5;19800;0;0;0;0;0;0
01.06.2020 07:00;37;6600;30;3000;12;6600;5;15600;5;11400;0;0;0;0;0;0;0;0;39;79800;30;26400;1;3000;2;6600;0;0;0;0;0;0
01.06.2020 08:00;59;197400;46;11400;23;30000;3;28200;3;25200;0;0;0;0;0;0;0;0;59;201600;50;55800;18;1329000;6;9000;0;0;0;0;0;0
01.06.2020 09:00;112;351000;112;61200;36;43800;14;160200;14;158400;0;0;0;0;0;0;0;0;90;387000;120;327600;34;1936800;13;36000;0;0;0;0;0;0
01.06.2020 10:00;182;259200;145;138000;32;47400;30;192600;30;171000;0;0;0;0;0;0;0;0;152;517200;142;354600;6;13800;31;138000;0;0;0;0;0;0
01.06.2020 11:00;233;292800;182;145200;42;20400;25;258600;25;221400;0;0;0;0;0;0;0;0;194;632400;175;273000;1;2400;24;93600;0;0;0;0;0;0
01.06.2020 12:00;269;514200;215;177600;42;61200;27;259800;25;250800;0;0;0;0;0;0;0;0;203;864600;208;318600;51;33600;30;442800;0;0;0;0;0;0
01.06.2020 13:00;275;724800;193;249000;41;89400;29;169800;28;156000;0;0;2;1200;1;600;0;0;191;1108800;180;366600;17;665400;33;780000;0;0;0;0;0;0
01.06.2020 14:00;289;753600;219;181200;39;147600;41;353400;40;376200;1;600;2;1800;0;0;4;5400;184;1118400;210;330600;17;1258200;45;192000;0;0;0;0;0;0
01.06.2020 15:00;303;648600;212;202800;42;51000;32;302400;31;294600;0;0;0;0;1;600;0;0;209;1038600;206;364200;10;585600;36;102600;0;0;0;0;0;0
01.06.2020 16:00;277;553800;219;196800;53;46200;37;264000;35;270600;1;600;1;600;1;600;0;0;177;928800;211;318000;21;1065000;34;109200;0;0;0;0;0;0
01.06.2020 17:00;276;564600;241;189600;56;73200;31;246600;29;243600;3;3000;0;0;2;1200;0;0;196;880200;228;418800;6;85800;33;188400;0;0;0;0;0;0
01.06.2020 18:00;297;561600;249;255600;54;93000;37;323400;34;317400;2;1200;3;2400;2;1800;2;1200;184;994200;235;418200;9;27600;44;157200;0;0;0;0;0;0
