01.06.2020 00:00;Bel_D1;Vwz_D1;Bel_D12;Vwz_D12;Bel_D2;Vwz_D2;Bel_MP1;Vwz_MP1;Bel_MP2;Vwz_MP2;Bel_T35;Vwz_T35;Bel_T35_35a;Vwz_T35_35a;Bel_T35a;Vwz_T35a;Bel_T41;Vwz_T41;Bel_T41_41a;Vwz_T41_41a;Bel_T41a;Vwz_T41a;Bel_VD111a;Vwz_VD111a;Bel_VD111b;Vwz_VD111b;Bel_VD51a;Vwz_VD51a
01.06.2020 00:00;106;64446;3;4866;118;62040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 01:00;64;38070;0;0;87;44530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;40;24340;1;1240;48;25310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;31;19210;0;0;36;20040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;56;33670;1;5900;22;14180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;149;122550;1;4170;44;22650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;68;52110;1;4060;77;42490;0;0;0;0;0;0;0;0;0;0;1;1570;0;0;0;0;0;0;0;0;0;0
01.06.2020 07:00;98;73899;2;8230;78;45500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 08:00;121;83294;2;5200;89;52930;0;0;0;0;0;0;1;3390;2;11047;0;0;1;3410;0;0;0;0;0;0;0;0
01.06.2020 09:00;225;182841;2;5850;188;101920;0;0;0;0;0;0;1;3390;3;4070;3;4680;1;3410;0;0;0;0;0;0;0;0
01.06.2020 10:00;367;405606;7;22870;298;166218;0;0;0;0;0;0;5;16920;9;17420;21;34149;12;40880;1;1540;0;0;0;0;0;0
01.06.2020 11:00;435;504539;8;15020;462;297728;0;0;0;0;0;0;2;6780;11;14910;17;27860;4;13630;0;0;0;0;0;0;0;0
01.06.2020 12:00;479;564029;10;16570;440;255040;0;0;0;0;0;0;2;6780;13;19600;23;35980;7;23870;14;25388;0;0;0;0;0;0
01.06.2020 13:00;542;615549;9;65480;517;301600;0;0;0;0;0;0;5;16950;18;32907;15;23521;10;34120;3;4630;0;0;0;0;0;0
01.06.2020 14:00;578;732636;5;25140;560;351758;0;0;0;0;0;0;3;10160;20;29680;27;48790;12;40930;0;0;0;0;0;0;0;0
01.06.2020 15:00;580;715385;8;42480;438;299137;0;0;0;0;0;0;5;16979;17;24340;22;35710;9;30710;1;1540;0;0;0;0;0;0
01.06.2020 16:00;581;690235;16;35410;438;363147;0;0;0;0;0;0;9;30520;26;36620;25;40280;18;61430;2;3090;0;0;0;0;0;0
01.06.2020 17:00;622;835669;4;28760;436;355229;0;0;0;0;0;0;7;23740;18;24460;17;26640;12;40987;2;3080;0;0;0;0;0;0
01.06.2020 18:00;576;783800;2;4650;412;273240;0;0;0;0;0;0;8;27120;17;23230;14;23150;12;40890;2;3080;0;0;0;0;0;0
01.06.2020 19:00;521;671237;6;47800;397;274687;0;0;0;0;0;0;1;3390;21;28500;10;15610;5;17050;1;1540;0;0;0;0;0;0
01.06.2020 20:00;445;453656;6;9320;343;228030;0;0;0;0;0;0;3;10170;19;48100;5;7810;4;13640;0;0;0;0;0;0;0;0
01.06.2020 21:00;381;321581;5;9030;284;161788;0;0;0;0;0;0;1;3380;7;9480;6;9380;2;6810;2;3080;0;0;0;0;0;0
01.06.2020 22:00;215;181750;2;6340;237;131900;0;0;0;0;0;0;0;0;2;2720;2;3130;0;0;0;0;0;0;0;0;0;0
01.06.2020 23:00;116;76690;2;8130;130;74168;0;0;0;0;0;0;0;0;1;1350;1;1560;3;10230;0;0;0;0;0;0;0;0
02.06.2020 00:00;63;38470;2;3581;68;39874;0;0;0;0;0;0;0;0;0;0;0;0;1;3410;1;1550;0;0;0;0;0;0
02.06.2020 01:00;30;19430;0;0;34;18070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 02:00;35;20140;3;17960;32;19070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;33;30010;2;2580;27;15430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;140;97210;3;11270;38;25830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 05:00;796;1083815;5;53820;133;92310;0;0;0;0;0;0;0;0;3;4080;1;1570;0;0;0;0;0;0;0;0;0;0
02.06.2020 06:00;999;1582309;16;82850;360;269886;0;0;0;0;0;0;1;3380;7;9670;5;7860;2;6830;0;0;0;0;0;0;0;0
02.06.2020 07:00;939;1692969;26;198810;502;384770;0;0;0;0;0;0;3;10160;15;20620;14;23532;5;17070;0;0;0;0;0;0;0;0
02.06.2020 08:00;898;1630213;22;266050;478;370845;0;0;0;0;0;0;3;10170;14;19010;13;20370;4;13670;0;0;0;0;0;0;0;0
02.06.2020 09:00;917;1556696;12;63130;526;377669;0;0;0;0;0;0;5;16950;20;27181;12;21429;4;13640;0;0;0;0;0;0;0;0
02.06.2020 10:00;864;1392214;10;62330;582;467182;0;0;0;0;0;0;3;10160;16;21690;18;28130;5;17050;2;3070;0;0;0;0;0;0
02.06.2020 11:00;710;991409;19;85910;671;516210;0;0;0;0;0;0;6;20300;9;12210;18;30980;7;23840;2;3090;0;0;0;0;0;0
02.06.2020 12:00;813;1156997;9;44100;739;625796;0;0;0;0;0;0;5;16930;8;10870;20;31290;3;10230;0;0;0;0;0;0;0;0
02.06.2020 13:00;815;1100655;17;51010;758;629869;0;0;0;0;0;0;7;23710;24;35100;19;29710;9;27790;3;4620;0;0;0;0;0;0
02.06.2020 14:00;746;1013345;17;105010;900;777334;0;0;0;0;0;0;4;13560;12;16270;17;27740;12;43820;2;3080;0;0;0;0;0;0
02.06.2020 15:00;798;1125686;14;67219;1091;1042911;0;0;0;0;0;0;13;47310;17;23100;18;30800;12;40930;2;3080;0;0;0;0;0;0
02.06.2020 16:00;717;942426;20;128529;1061;1138833;0;0;0;0;0;0;6;20340;14;19020;29;46523;7;23870;6;9280;0;0;0;0;0;0
02.06.2020 17:00;635;832651;24;82417;982;1084140;0;0;0;0;0;0;3;10190;16;22830;26;40680;10;34110;3;4620;0;0;0;0;0;0
02.06.2020 18:00;612;937945;12;84390;867;895464;0;0;0;0;0;0;5;16960;19;27090;25;40360;14;47740;1;1540;0;0;0;0;0;0
02.06.2020 19:00;403;651348;9;27240;606;621183;0;0;0;0;0;0;4;13560;17;23070;19;29710;11;40828;2;3090;0;0;0;0;0;0
02.06.2020 20:00;326;386440;9;40050;433;294195;0;0;0;0;0;0;3;10140;7;10840;12;20060;6;20480;0;0;0;0;0;0;0;0
02.06.2020 21:00;281;353000;4;13780;305;187239;0;0;0;0;0;0;2;6770;10;38987;7;10819;4;13620;1;1530;0;0;0;0;0;0
02.06.2020 22:00;178;151280;5;36300;291;181520;0;0;0;0;0;0;0;0;5;6780;4;7710;2;6820;0;0;0;0;0;0;0;0
02.06.2020 23:00;96;62090;4;8770;140;77664;0;0;0;0;0;0;1;3390;1;1360;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 00:00;51;31290;1;3870;66;37730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 01:00;34;24590;1;1780;39;23650;0;0;0;0;0;0;0;0;0;0;1;1570;0;0;0;0;0;0;0;0;0;0
03.06.2020 02:00;25;20140;0;0;39;25330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;30;24960;0;0;19;13800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 04:00;123;82650;3;13450;31;21958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 05:00;787;1022270;8;24850;121;85070;0;0;0;0;0;0;1;3380;2;2720;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 06:00;1005;1552080;15;194864;400;282096;0;0;0;0;0;0;0;0;7;9550;5;7850;2;6830;0;0;0;0;0;0;0;0
03.06.2020 07:00;954;1680316;27;404367;503;386771;0;0;0;0;0;0;2;6780;14;19449;8;15140;2;6830;0;0;0;0;0;0;0;0
03.06.2020 08:00;888;1486779;22;233950;523;410026;0;0;0;0;0;0;5;16960;16;22260;14;22010;1;3410;0;0;0;0;0;0;0;0
03.06.2020 09:00;838;1373233;10;89570;478;344400;0;0;0;0;0;0;3;10170;16;23370;12;18887;8;27340;0;0;0;0;0;0;0;0
03.06.2020 10:00;799;1047470;13;52520;513;358641;0;0;0;0;0;0;2;6790;14;23230;18;29470;1;3410;0;0;0;0;0;0;0;0
03.06.2020 11:00;704;915078;9;21570;607;431350;0;0;0;0;0;0;5;16940;13;17630;16;26330;9;30700;2;3090;0;0;0;0;0;0
03.06.2020 12:00;729;905978;11;56190;679;536330;0;0;0;0;0;0;4;13540;7;9490;16;25030;9;30690;1;1540;0;0;0;0;0;0
03.06.2020 13:00;794;1011976;9;30500;789;582688;0;0;0;0;0;0;2;6780;16;22799;18;29420;3;10220;0;0;0;0;0;0;0;0
03.06.2020 14:00;719;956245;14;77790;900;805944;0;0;0;0;0;0;3;10170;16;22950;22;34522;8;27280;1;1540;0;0;0;0;0;0
03.06.2020 15:00;739;932058;15;72600;1087;1180783;0;0;0;0;0;0;4;13550;16;21788;20;31280;10;34110;4;6023;0;0;0;0;0;0
03.06.2020 16:00;716;994226;16;73160;1065;1148347;0;0;0;0;0;0;2;6780;11;16820;25;39130;17;58020;9;13870;0;0;0;0;0;0
03.06.2020 17:00;791;990442;21;76269;1009;1085286;0;0;0;0;0;0;8;27100;29;41916;17;26596;12;40900;4;7570;0;0;0;0;0;0
03.06.2020 18:00;596;694152;17;108040;834;768463;0;0;0;0;0;0;3;10160;14;18980;25;40320;2;6810;2;3070;0;0;0;0;0;0
03.06.2020 19:00;393;487519;12;38340;583;482698;0;0;0;0;0;0;3;10140;9;12170;9;15630;7;23850;1;1540;0;0;0;0;0;0
03.06.2020 20:00;331;272171;6;15588;419;284528;0;0;0;0;0;0;3;10150;7;12100;3;4680;4;13630;0;0;0;0;0;0;0;0
03.06.2020 21:00;248;196242;9;35460;324;208928;0;0;0;0;0;0;1;3380;2;2720;5;7820;3;10230;1;1540;0;0;0;0;0;0
03.06.2020 22:00;174;135020;6;17540;317;182050;0;0;0;0;0;0;0;0;1;1360;2;3140;1;3410;0;0;0;0;0;0;0;0
03.06.2020 23:00;87;57450;2;6790;132;74171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 00:00;61;38250;2;4120;71;44530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 01:00;42;32670;0;0;30;16300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 02:00;27;20770;0;0;42;25220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 03:00;34;24240;0;0;23;13830;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 04:00;145;101560;3;11500;48;31530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.06.2020 05:00;761;918274;6;32760;130;86880;0;0;0;0;0;0;0;0;0;0;1;1570;0;0;0;0;0;0;0;0;0;0
04.06.2020 06:00;1009;1523876;20;119117;370;265868;0;0;0;0;0;0;1;3390;3;4080;3;4700;0;0;1;1550;0;0;0;0;0;0
04.06.2020 07:00;927;1631077;27;214250;488;352248;0;0;0;0;0;0;3;10160;17;23160;7;10990;2;6830;0;0;0;0;0;0;0;0
04.06.2020 08:00;921;1606193;21;166140;481;361400;0;0;0;0;0;0;2;6770;15;20810;6;9430;2;6830;0;0;0;0;0;0;0;0
04.06.2020 09:00;805;1104018;11;125380;488;376444;0;0;0;0;0;0;0;0;8;10890;11;17290;2;6840;0;0;0;0;0;0;0;0
04.06.2020 10:00;706;885562;8;18940;496;340387;0;0;0;0;0;0;1;3390;18;24620;9;14130;2;6820;1;1540;0;0;0;0;0;0
04.06.2020 11:00;716;851700;13;156930;620;490835;0;0;0;0;0;0;1;3390;10;14860;14;21940;4;13660;1;1550;0;0;0;0;0;0
