01.06.2020 00:00;Bel_D571;Vwz_D571;Bel_TBS32;Vwz_TBS32;Bel_TBS38;Vwz_TBS38;Bel_TBS41;Vwz_TBS41;Bel_TF32;Vwz_TF32;Bel_TF38;Vwz_TF38;Bel_TF41;Vwz_TF41;Bel_TS57;Vwz_TS57;Bel_TS58;Vwz_TS58;Bel_VD511;Vwz_VD511;Bel_VK1iO;Vwz_VK1iO
01.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;11400;0;3600000
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000
01.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3600000
01.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12000;0;3600000
01.06.2020 07:00;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;2;12000;0;3600000
01.06.2020 08:00;0;0;3;8400;1;600;0;0;2;1200;0;0;0;0;0;0;0;0;2;10800;0;3600000
01.06.2020 09:00;0;0;9;26400;1;600;2;6000;7;5400;2;1800;1;600;0;0;0;0;4;16800;0;3598800
01.06.2020 10:00;0;0;10;30000;0;0;6;18000;13;9600;1;600;7;5400;0;0;0;0;12;2151000;0;3600000
01.06.2020 11:00;0;0;8;22200;5;3000;3;8400;13;9600;8;7800;7;4800;0;0;0;0;2;812400;0;3600000
01.06.2020 12:00;0;0;8;22800;6;9000;8;22800;15;12600;14;10200;9;6000;0;0;0;0;3;31800;0;3600000
01.06.2020 13:00;0;0;8;22800;6;4800;4;12000;11;7800;9;6000;5;3000;0;0;0;0;5;42600;0;3600000
01.06.2020 14:00;0;0;9;26400;12;10800;12;34200;12;8400;13;9000;11;8400;0;0;0;0;4;38400;0;3600000
01.06.2020 15:00;0;0;4;11400;10;6000;8;23400;9;6000;10;6000;14;11400;0;0;0;0;9;57000;0;3600000
01.06.2020 16:00;0;0;10;30000;13;12000;8;22800;12;8400;13;10800;14;9600;0;0;0;0;5;34200;0;3600000
01.06.2020 17:00;0;0;9;27000;13;12600;9;26400;18;14400;14;10800;8;6600;0;0;0;0;4;43800;0;3600000
