01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_D43;Vwz_D43;Bel_FQMC55;Vwz_FQMC55;Bel_ST51a;Vwz_ST51a;Bel_ST51b;Vwz_ST51b;Bel_ST55;Vwz_ST55;Bel_T32a;Vwz_T32a;Bel_T32b;Vwz_T32b;Bel_T32b_a;Vwz_T32b_a;Bel_T32b_b;Vwz_T32b_b;Bel_T33b_a;Vwz_T33b_a;Bel_T33b_b;Vwz_T33b_b;Bel_T35b_a;Vwz_T35b_a;Bel_T35b_b;Vwz_T35b_b;Bel_V11;Vwz_V11;Bel_V1_Stoer;Vwz_V1_Stoer;Bel_V21;Vwz_V21;Bel_V211;Vwz_V211;Bel_V2_Stoer;Vwz_V2_Stoer;Bel_V321;Vwz_V321;Bel_V3_Stoer;Vwz_V3_Stoer;Bel_V44;Vwz_V44;Bel_V4_Stoer;Vwz_V4_Stoer;Bel_V5_Stoer;Vwz_V5_Stoer;Bel_V81;Vwz_V81;Bel_V91;Vwz_V91
01.06.2020 00:00;2;43800;2;1200;4;40800;0;0;1;4800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1200;0;0;0;0;0;0;0;0;0;0;0;0;19;52800;0;0
01.06.2020 01:00;1;12000;0;0;4;3600;0;0;1;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;1;19200;0;0;0;0;29;61800;0;0
01.06.2020 02:00;5;36000;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;600;0;0;0;0;0;0;0;0;0;0;0;0;15;21000;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;15600;0;0
01.06.2020 04:00;0;0;0;0;0;0;1;1200;5;28800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8400;0;0
01.06.2020 05:00;6;66000;0;0;2;19200;0;0;9;56400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;8400;0;0;0;0;0;0;0;0;0;0;0;0;12;34200;0;0
01.06.2020 06:00;0;0;0;0;1;16800;1;600;2;12000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;25800;0;0
01.06.2020 07:00;2;0;1;0;9;49800;1;600;2;12000;0;0;0;0;0;0;1;600;2;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15000;0;0;17;67200;0;0;1;19800;0;0;0;0;10;26400;0;0
01.06.2020 08:00;11;74400;3;18000;18;219000;2;600;2;11400;0;0;0;0;0;0;1;600;1;600;2;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;15000;0;0;32;87000;0;0;0;0;0;0;0;0;22;60000;0;0
01.06.2020 09:00;19;72000;3;1800;21;225000;0;0;2;18600;0;0;0;0;0;0;2;1200;2;1200;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;21600;0;0;23;72000;0;0;0;0;0;0;0;0;35;588000;0;0
01.06.2020 10:00;35;183600;12;6000;46;278400;7;4800;2;19800;0;0;0;0;0;0;1;600;4;2400;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;199800;0;0;14;52200;0;0;3;36000;0;0;0;0;45;419400;4;1042200
01.06.2020 11:00;64;183000;16;80400;64;202200;14;6600;4;37200;0;0;0;0;0;0;4;3000;1;1800;1;600;0;0;2;1200;1;600;0;0;0;0;0;0;0;0;0;0;40;192000;0;0;14;61800;0;0;1;32400;0;0;0;0;63;241200;0;0
01.06.2020 12:00;64;298200;6;2400;62;291600;5;3600;11;96600;0;0;0;0;0;0;6;4200;8;5400;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;97800;0;0;18;97800;0;0;5;50400;0;0;0;0;72;394200;0;0
01.06.2020 13:00;57;245400;12;7800;62;297600;6;2400;6;27600;0;0;0;0;0;0;2;3600;4;3000;2;1200;0;0;2;1200;0;0;0;0;0;0;0;0;0;0;0;0;40;97200;0;0;21;93600;0;0;2;26400;0;0;0;0;78;358200;0;0
01.06.2020 14:00;55;294600;10;20400;54;160200;10;5400;6;23400;0;0;0;0;0;0;5;5400;7;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;60600;0;0;21;132600;0;0;2;41400;0;0;0;0;81;306000;0;0
01.06.2020 15:00;45;229200;11;67800;55;393600;7;29400;7;39000;0;0;0;0;0;0;1;600;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;48000;0;0;15;87600;0;0;5;93600;0;0;0;0;77;323400;1;600
01.06.2020 16:00;45;210600;15;9000;63;198000;10;46200;10;54000;0;0;0;0;0;0;3;1800;2;1200;3;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;75600;0;0;18;104400;0;0;2;30600;0;0;0;0;84;312600;0;0
01.06.2020 17:00;53;315000;20;37200;63;527400;12;7800;6;34800;0;0;0;0;0;0;3;2400;7;6000;3;4200;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;49;84600;0;0;20;118200;0;0;2;3600;0;0;0;0;78;366000;0;0
01.06.2020 18:00;50;188400;20;9000;63;322800;13;10200;9;48600;0;0;0;0;0;0;3;1800;3;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;45600;0;0;18;87600;0;0;3;31200;0;0;0;0;67;280200;0;0
01.06.2020 19:00;44;478800;13;6600;38;268800;4;1800;11;23400;0;0;0;0;0;0;1;600;4;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;68400;0;0;16;63000;0;0;0;0;0;0;0;0;94;325800;0;0
01.06.2020 20:00;39;200400;18;22200;19;85200;4;19200;2;10800;0;0;0;0;0;0;0;0;2;1200;2;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;50400;0;0;6;37200;0;0;0;0;0;0;0;0;48;149400;0;0
01.06.2020 21:00;20;139800;8;3000;18;61200;5;1800;2;12000;0;0;0;0;0;0;2;1200;1;600;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;28200;0;0;8;51600;0;0;1;20400;0;0;0;0;63;271800;0;0
01.06.2020 22:00;6;79200;2;1200;12;49800;2;2400;2;14400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4200;0;0;1;7200;0;0;0;0;0;0;0;0;48;154200;0;0
01.06.2020 23:00;5;34800;0;0;5;59400;0;0;2;9600;0;0;0;0;0;0;1;600;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2400;0;0;1;1200;0;0;0;0;0;0;0;0;30;66000;0;0
02.06.2020 00:00;0;0;0;0;0;0;0;0;1;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;51600;0;0
02.06.2020 01:00;6;62400;0;0;3;18000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3600;0;0;0;0;0;0;0;0;0;0;0;0;5;15000;0;0
02.06.2020 02:00;2;22200;0;0;1;18000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;22800;0;0;0;0;0;0;0;0;0;0;0;0;7;13200;0;0
02.06.2020 03:00;2;0;0;0;1;16800;0;0;12;57000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;13200;0;0
02.06.2020 04:00;0;0;0;0;2;2400;0;0;11;63600;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15000;0;0;0;0;8;19200;0;0
02.06.2020 05:00;6;25200;2;0;2;18000;1;600;22;203400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3600;0;0;0;0;0;0;0;0;0;0;0;0;31;94800;0;0
02.06.2020 06:00;15;28800;5;19200;14;61200;2;29400;9;60600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;19800;0;0;0;0;0;0;0;0;83;306000;0;0
02.06.2020 07:00;44;183000;17;34800;36;190200;8;21600;8;55200;1;0;0;0;0;0;3;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;74400;0;0;10;45000;0;0;2;23400;0;0;0;0;110;418200;0;0
02.06.2020 08:00;33;151200;13;17400;43;250200;6;27600;8;63600;0;0;0;0;0;0;2;1200;3;1800;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;49200;0;0;22;87000;0;0;1;4200;0;0;0;0;102;435000;1;38400
02.06.2020 09:00;38;293400;10;6600;54;345000;3;1200;6;63000;0;0;0;0;0;0;1;600;2;1200;1;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;100800;0;0;14;45000;0;0;0;0;0;0;0;0;117;477000;0;0
02.06.2020 10:00;47;411600;9;6600;47;339000;7;19800;9;118200;0;0;0;0;0;0;1;600;0;0;0;0;0;0;1;1200;0;0;1;600;0;0;0;0;0;0;0;0;39;124200;0;0;9;40200;0;0;1;26400;0;0;0;0;88;358800;2;1497000
02.06.2020 11:00;44;183000;16;45600;59;367800;7;22800;6;48000;0;0;0;0;0;0;2;1200;1;600;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;19;25800;0;0;11;43200;0;0;0;0;0;0;0;0;96;418200;0;0
02.06.2020 12:00;50;349200;8;6600;58;481200;6;6000;18;60600;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;159600;0;0;15;66000;0;0;1;19800;0;0;0;0;86;366600;2;39000
02.06.2020 13:00;35;270600;8;6600;63;522000;3;2400;12;52800;0;0;0;0;0;0;6;6000;5;3600;3;2400;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;30;73200;0;0;21;88800;0;0;0;0;0;0;0;0;78;362400;2;39600
02.06.2020 14:00;46;229200;10;83400;121;353400;7;22800;10;73800;0;0;0;0;0;0;11;10200;4;2400;5;4200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;73800;0;0;15;76200;0;0;3;55800;0;0;0;0;92;400800;6;84000
02.06.2020 15:00;46;249600;14;35400;64;532800;9;600;10;63000;0;0;0;0;0;0;3;1800;3;1800;4;4200;0;0;1;1200;0;0;0;0;0;0;0;0;0;0;0;0;32;102000;0;0;18;93600;0;0;3;109200;0;0;0;0;92;391200;1;1800
02.06.2020 16:00;59;468000;16;25800;69;445200;13;75000;14;82800;0;0;0;0;0;0;8;8400;1;600;3;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;161400;0;0;22;87600;0;0;5;118200;0;0;0;0;83;330600;0;0
02.06.2020 17:00;68;352200;14;7800;89;651600;4;3000;13;61800;0;0;0;0;0;0;8;4800;6;3600;5;3600;0;0;1;600;0;0;1;600;0;0;0;0;0;0;0;0;66;177600;0;0;28;141000;0;0;4;39000;0;0;0;0;70;427800;0;0
02.06.2020 18:00;73;425400;24;12600;65;479400;7;7200;18;111000;0;0;0;0;0;0;7;4800;9;5400;3;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;111000;0;0;27;136200;0;0;6;61800;0;0;0;0;83;364200;0;0
02.06.2020 19:00;43;231000;12;7200;43;349800;3;4800;6;38400;0;0;0;0;0;0;4;3000;5;3600;2;1800;0;0;3;1800;0;0;0;0;0;0;0;0;0;0;0;0;37;89400;0;0;23;85800;0;0;1;30000;0;0;0;0;53;205800;0;0
02.06.2020 20:00;53;186000;13;4200;35;178200;0;0;4;30600;0;0;0;0;0;0;2;1200;1;600;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;40800;0;0;13;48000;0;0;0;0;0;0;0;0;63;221400;1;6600
02.06.2020 21:00;32;163200;7;4200;18;107400;1;0;4;28800;0;0;0;0;0;0;3;1800;1;600;2;1800;0;0;0;0;1;1200;0;0;0;0;0;0;0;0;0;0;19;60600;0;0;6;31200;0;0;0;0;0;0;0;0;37;158400;0;0
02.06.2020 22:00;25;156600;3;1800;3;1200;0;0;2;18000;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;23400;0;0;1;7200;0;0;0;0;0;0;0;0;32;118200;0;0
02.06.2020 23:00;9;102000;1;600;6;34800;0;0;2;8400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;8400;0;0;1;6600;0;0;0;0;0;0;0;0;34;100800;0;0
03.06.2020 00:00;1;15000;0;0;3;0;0;0;1;4200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;18;48600;1;1200
03.06.2020 01:00;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;28800;0;0
03.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3600;0;0
03.06.2020 03:00;1;600;0;0;0;0;0;0;11;87600;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6600;0;0
03.06.2020 04:00;0;0;0;0;1;600;1;40200;9;151200;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;24000;0;0
03.06.2020 05:00;4;13800;3;1800;2;17400;0;0;24;159600;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1200;0;0;1;3600;0;0;0;0;0;0;0;0;36;101400;0;0
03.06.2020 06:00;11;66000;6;27000;15;127200;1;27600;11;69000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6600;0;0;4;18600;0;0;0;0;0;0;0;0;91;264000;2;9000
03.06.2020 07:00;39;242400;14;28200;44;232200;2;2400;8;46800;0;0;0;0;0;0;5;4800;5;3000;3;6000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;32400;0;0;18;76800;0;0;2;33000;0;0;0;0;117;480600;1;3000
03.06.2020 08:00;39;216600;13;25800;44;401400;4;19800;12;175200;0;0;1;600;0;0;2;2400;6;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;110400;0;0;12;57000;0;0;0;0;0;0;0;0;107;479400;2;9000
03.06.2020 09:00;52;268800;9;5400;58;456000;4;12000;6;54600;0;0;0;0;0;0;1;600;4;3000;3;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;102600;0;0;25;125400;0;0;0;0;0;0;0;0;94;443400;6;30600
