01.06.2020 00:00;Bel_D571;Vwz_D571;Bel_ST53;Vwz_ST53;Bel_ST54;Vwz_ST54;Bel_T32;Vwz_T32;Bel_T32a;Vwz_T32a;Bel_T94;Vwz_T94
01.06.2020 00:00;0;0;0;0;0;0;1;6600;2;4800;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 07:00;0;0;0;0;0;0;1;0;0;0;0;0
01.06.2020 08:00;0;0;0;0;0;0;5;3600;1;0;0;0
01.06.2020 09:00;0;0;0;0;0;0;9;1200;3;600;8;6000
01.06.2020 10:00;0;0;0;0;0;0;17;31800;2;2400;3;1800
01.06.2020 11:00;0;0;0;0;0;0;16;37200;2;600;10;9600
01.06.2020 12:00;0;0;0;0;0;0;40;46800;3;1800;6;4800
01.06.2020 13:00;0;0;0;0;0;0;39;43800;3;0;6;4200
01.06.2020 14:00;0;0;0;0;0;0;55;48600;9;10800;7;5400
01.06.2020 15:00;0;0;0;0;0;0;23;25200;14;9600;12;9600
01.06.2020 16:00;0;0;0;0;0;0;27;34200;11;4200;10;7800
01.06.2020 17:00;0;0;0;0;0;0;25;23400;5;1200;15;12600
01.06.2020 18:00;0;0;0;0;0;0;43;81000;2;1800;10;7200
01.06.2020 19:00;0;0;0;0;0;0;33;74400;6;3600;6;4200
01.06.2020 20:00;0;0;0;0;0;0;24;20400;2;1200;3;2400
01.06.2020 21:00;0;0;0;0;0;0;16;13800;7;1200;0;0
01.06.2020 22:00;0;0;0;0;0;0;11;7800;0;0;2;1200
01.06.2020 23:00;0;0;0;0;0;0;2;0;1;1800;0;0
02.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;0;0;0;0;0;0;1;1200;0;0;0;0
02.06.2020 05:00;0;0;0;0;0;0;2;600;0;0;0;0
02.06.2020 06:00;0;0;0;0;0;0;1;0;0;0;2;1200
02.06.2020 07:00;0;0;0;0;0;0;47;81000;0;0;10;7800
02.06.2020 08:00;0;0;0;0;0;0;35;36000;7;5400;24;19200
02.06.2020 09:00;0;0;0;0;0;0;27;19200;8;4200;8;4800
02.06.2020 10:00;0;0;0;0;0;0;51;94200;7;1200;7;4200
02.06.2020 11:00;0;0;0;0;0;0;26;26400;13;4800;13;10800
02.06.2020 12:00;0;0;0;0;0;0;57;39000;11;10800;17;12600
02.06.2020 13:00;0;0;0;0;0;0;38;94200;29;19200;14;10800
02.06.2020 14:00;0;0;0;0;0;0;40;28800;17;18000;14;10800
02.06.2020 15:00;0;0;0;0;0;0;48;62400;9;4800;18;14400
02.06.2020 16:00;0;0;0;0;0;0;66;123600;13;10200;18;12600
02.06.2020 17:00;0;0;0;0;0;0;115;109200;9;9600;15;10800
02.06.2020 18:00;0;0;0;0;0;0;33;28800;11;6600;21;16200
02.06.2020 19:00;0;0;0;0;0;0;42;70800;11;3600;4;3000
02.06.2020 20:00;0;0;0;0;0;0;32;50400;7;3600;8;5400
02.06.2020 21:00;0;0;0;0;0;0;26;16800;4;1200;3;2400
02.06.2020 22:00;0;0;0;0;0;0;14;7200;4;600;0;0
02.06.2020 23:00;0;0;0;0;0;0;16;36600;0;0;0;0
03.06.2020 00:00;0;0;0;0;0;0;3;0;0;0;1;600
03.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 04:00;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 05:00;0;0;0;0;0;0;0;0;0;0;4;3600
03.06.2020 06:00;0;0;0;0;0;0;3;9600;0;0;2;1800
03.06.2020 07:00;0;0;0;0;0;0;34;27000;0;0;13;8400
03.06.2020 08:00;0;0;0;0;0;0;68;120600;4;1200;11;8400
03.06.2020 09:00;0;0;0;0;0;0;82;61200;6;2400;13;9000
03.06.2020 10:00;0;0;0;0;0;0;47;99000;2;3000;15;12600
03.06.2020 11:00;0;0;0;0;0;0;29;13200;13;6600;6;3600
03.06.2020 12:00;0;0;0;0;0;0;31;21000;21;14400;11;7800
03.06.2020 13:00;0;0;0;0;0;0;22;34800;36;16800;17;13200
