01.06.2020 00:00;Bel_B1;Vwz_B1;Bel_B2;Vwz_B2;Bel_D1;Vwz_D1;Bel_FG38_blind;Vwz_FG38_blind;Bel_FG38_sehend;Vwz_FG38_sehend;Bel_MP1;Vwz_MP1;Bel_MP1_A_113;Vwz_MP1_A_113;Bel_MP2;Vwz_MP2;Bel_MP3;Vwz_MP3;Bel_MP3_A_113;Vwz_MP3_A_113;Bel_MP4;Vwz_MP4;Bel_MP5;Vwz_MP5;Bel_MP6;Vwz_MP6;Bel_MP7;Vwz_MP7;Bel_MP8;Vwz_MP8;Bel_T1;Vwz_T1
01.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0;4;4000;0;0;4;3990;0;0;0;0;0;0;4;3990;0;0;4;4000;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;2;2000;0;0;2;2000;0;0;0;0;0;0;2;2000;0;0;2;2000;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;1;58750;0;0;0;0;0;0;0;0;0;0;0;0;1;1000;0;0;0;0;0;0;1;1000;0;0;0;0
01.06.2020 04:00;0;0;0;0;3;93885;0;0;0;0;0;0;0;0;0;0;0;0;3;3000;0;0;0;0;0;0;3;3000;0;0;0;0
01.06.2020 05:00;0;0;0;0;3;93990;0;0;0;0;0;0;1;1000;0;0;1;990;3;3000;2;2000;2;1980;1;1000;3;3000;1;1000;0;0
01.06.2020 06:00;0;0;0;0;2;94070;0;0;0;0;0;0;2;2000;0;0;2;2000;2;2000;1;1000;1;990;2;2000;2;1990;2;1990;0;0
01.06.2020 07:00;0;0;0;0;2;87060;0;0;0;0;0;0;2;2000;0;0;2;2000;2;2000;2;1980;2;2000;2;2000;2;2000;2;1990;0;0
01.06.2020 08:00;0;0;0;0;2;67740;0;0;0;0;0;0;2;2000;0;0;2;2000;2;2000;2;2000;2;1990;2;1990;2;2000;2;2000;0;0
01.06.2020 09:00;0;0;0;0;2;80630;2;890;0;0;0;0;2;1990;0;0;2;2000;2;2000;2;2000;2;2000;2;1990;2;2000;2;2000;0;0
01.06.2020 10:00;0;0;0;0;2;96450;1;880;0;0;0;0;2;2000;0;0;2;2000;2;2000;2;1990;2;2000;2;1990;2;2000;2;2000;0;0
01.06.2020 11:00;0;0;0;0;3;104110;4;1750;0;0;0;0;2;2000;0;0;2;2000;3;3000;2;2000;2;1990;2;1990;3;2990;2;2000;0;0
01.06.2020 12:00;0;0;0;0;3;165765;1;500;0;0;0;0;2;2000;0;0;2;2000;3;2990;2;2000;2;2000;2;1980;3;3000;2;2000;0;0
01.06.2020 13:00;0;0;0;0;4;157561;4;1620;0;0;0;0;3;3000;0;0;3;3000;4;4000;2;1990;2;2000;3;3000;4;4000;3;3000;0;0
01.06.2020 14:00;0;0;0;0;4;160941;1;510;0;0;0;0;4;4000;0;0;4;3990;4;4000;2;2000;2;1990;4;4000;4;4000;4;4000;0;0
01.06.2020 15:00;0;0;0;0;4;166650;8;4370;0;0;0;0;4;3990;0;0;4;3990;4;4000;2;2000;2;2000;4;4000;4;4000;4;3990;0;0
01.06.2020 16:00;0;0;0;0;4;174600;10;5270;0;0;0;0;4;3990;0;0;4;4000;4;3990;2;1990;2;2000;4;4000;4;4000;4;3980;0;0
01.06.2020 17:00;0;0;0;0;6;243480;1;260;0;0;0;0;4;4000;0;0;4;4000;4;3990;2;2000;2;2000;4;4000;4;3990;4;4000;0;0
01.06.2020 18:00;0;0;0;0;4;243810;9;4980;0;0;0;0;4;3990;0;0;4;4000;4;4000;2;2000;2;2000;4;4000;4;4000;4;4000;0;0
01.06.2020 19:00;0;0;0;0;3;180000;2;710;0;0;0;0;5;4990;0;0;5;4980;2;2000;2;2000;2;1990;5;4990;2;2000;5;5000;0;0
01.06.2020 20:00;0;0;0;0;2;119990;2;700;0;0;0;0;2;2000;0;0;2;2000;2;2000;2;2000;2;2000;2;2000;2;2000;2;1990;0;0
01.06.2020 21:00;0;0;0;0;2;98700;0;0;0;0;0;0;2;1990;0;0;2;2000;2;2000;2;2000;2;2000;2;2000;2;2000;2;2000;0;0
01.06.2020 22:00;0;0;0;0;3;96523;0;0;0;0;0;0;2;2000;0;0;2;2000;2;2000;2;1990;2;2000;2;1990;2;2000;2;2000;0;0
01.06.2020 23:00;0;0;0;0;2;93987;0;0;0;0;0;0;2;2000;0;0;2;2000;2;2000;2;1990;2;2000;2;2000;2;2000;2;1980;0;0
02.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0;4;4000;0;0;4;4000;0;0;1;1000;1;1000;4;4000;0;0;4;3990;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;2;2000;0;0;2;1990;0;0;0;0;0;0;2;2000;0;0;2;2000;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;1;27110;0;0;0;0;0;0;0;0;0;0;0;0;1;1000;0;0;0;0;0;0;1;1000;0;0;0;0
02.06.2020 04:00;0;0;0;0;7;304060;0;0;0;0;0;0;1;1000;0;0;1;1000;8;8056;1;990;1;990;1;1000;8;8000;1;1000;0;0
02.06.2020 05:00;0;0;0;0;9;327650;1;420;0;0;0;0;1;1000;0;0;1;1000;7;6990;2;2000;2;1990;1;1000;7;6990;1;1000;0;0
02.06.2020 06:00;2;2000;2;1980;12;334502;0;0;0;0;2;2000;8;7980;2;1980;7;7000;11;10990;3;3000;3;3000;8;7980;12;12000;7;6980;0;0
02.06.2020 07:00;2;2000;2;2000;11;418497;6;1740;0;0;2;2000;12;11990;2;2000;9;9000;12;11990;3;3000;3;3000;13;12990;12;11980;9;8990;0;0
02.06.2020 08:00;2;2000;2;2000;10;349507;6;3850;0;0;2;2000;12;11990;2;2000;9;9000;12;11980;3;3000;3;3000;12;11970;12;11990;9;9000;0;0
02.06.2020 09:00;2;2000;2;2000;12;296917;31;9794;0;0;2;1990;14;13960;2;2000;11;10990;12;11980;1;990;1;1000;15;14960;12;12000;12;11990;0;0
02.06.2020 10:00;2;2000;2;2000;9;366822;31;13679;0;0;2;1990;12;11980;2;2000;10;9970;11;10970;2;2000;2;2000;14;13980;11;11000;11;10990;0;0
02.06.2020 11:00;2;2000;2;2000;13;388400;16;4550;0;0;2;2000;11;10980;2;2000;10;9970;15;14940;2;1980;2;2000;14;13990;16;16053;11;10990;0;0
02.06.2020 12:00;2;2000;2;2000;11;346066;35;13204;0;0;2;2000;13;12990;2;2000;10;9990;13;12990;2;1990;2;2000;14;13990;13;13000;10;10000;0;0
02.06.2020 13:00;2;2000;2;1990;13;424657;15;6548;0;0;2;2000;12;12000;2;1990;10;9990;12;11990;3;2990;3;3000;14;14026;12;12000;10;9990;0;0
02.06.2020 14:00;2;2000;2;1990;11;361110;13;5060;0;0;2;2000;13;12960;2;1990;11;11000;13;12970;3;3000;3;3000;16;15970;13;12601;11;10990;0;0
02.06.2020 15:00;2;1990;2;2000;11;355567;37;13974;0;0;2;2000;14;13990;2;2000;10;9990;11;10990;3;3000;3;2990;14;13980;11;11420;10;9970;0;0
02.06.2020 16:00;2;2000;2;2000;11;503985;31;13719;0;0;2;2000;9;9000;2;2000;10;9950;12;11990;3;2990;3;3000;14;13980;12;11990;10;9980;0;0
02.06.2020 17:00;2;2000;2;2000;11;578977;18;9080;0;0;2;2000;14;13970;2;2000;10;9990;11;11000;3;3000;3;2980;13;12990;12;12000;10;9990;0;0
02.06.2020 18:00;2;2000;2;2000;10;583265;11;5120;0;0;2;2000;12;11970;2;2000;10;9980;10;9980;3;3000;3;3000;14;14000;10;10000;10;9990;0;0
02.06.2020 19:00;0;0;0;0;5;300115;5;2020;0;0;0;0;13;12990;0;0;11;11000;5;5000;3;2990;3;3000;13;12970;5;5000;11;11000;0;0
02.06.2020 20:00;0;0;0;0;4;210160;5;1780;0;0;0;0;4;4000;0;0;4;4000;4;3990;2;2000;2;2000;4;3990;4;4000;4;3980;0;0
02.06.2020 21:00;0;0;0;0;2;108230;1;600;0;0;0;0;4;4000;0;0;4;4000;2;2000;2;2000;2;1990;4;4000;2;2000;4;3990;0;0
02.06.2020 22:00;0;0;0;0;4;137133;0;0;0;0;0;0;3;2990;0;0;3;3000;3;3000;3;3000;3;3000;3;3000;3;3000;3;2990;0;0
02.06.2020 23:00;0;0;0;0;3;118986;0;0;0;0;0;0;3;3000;0;0;3;2990;3;3000;2;2000;2;2000;3;2990;3;3000;3;2990;0;0
03.06.2020 00:00;0;0;0;0;0;0;0;0;0;0;0;0;2;2000;0;0;2;2000;0;0;1;1000;1;1000;2;2000;0;0;3;3000;0;0
03.06.2020 01:00;0;0;0;0;0;0;0;0;0;0;0;0;4;4000;0;0;4;3990;0;0;0;0;0;0;4;3990;0;0;4;4000;0;0
03.06.2020 02:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;0;1;26230;0;0;0;0;0;0;0;0;0;0;0;0;1;1000;0;0;0;0;0;0;1;990;0;0;0;0
03.06.2020 04:00;0;0;0;0;8;316995;0;0;0;0;0;0;1;1000;0;0;1;1000;7;6980;2;2000;2;2000;1;1000;7;7000;1;1000;0;0
