01.06.2020 00:00;Bel_T1_b;Vwz_T1_b;Bel_T1_s;Vwz_T1_s;Bel_T2_b;Vwz_T2_b;Bel_T2_s;Vwz_T2_s
01.06.2020 00:00;0;0;0;0;0;0;0;0
01.06.2020 01:00;0;0;0;0;0;0;0;0
01.06.2020 02:00;0;0;0;0;0;0;0;0
01.06.2020 03:00;0;0;0;0;0;0;0;0
01.06.2020 04:00;0;0;0;0;0;0;0;0
01.06.2020 05:00;0;0;0;0;0;0;0;0
01.06.2020 06:00;0;0;0;0;0;0;0;0
01.06.2020 07:00;0;0;0;0;0;0;0;0
01.06.2020 08:00;1;600;0;0;0;0;0;0
01.06.2020 09:00;0;0;0;0;0;0;0;0
01.06.2020 10:00;0;0;0;0;0;0;0;0
01.06.2020 11:00;0;0;1;600;0;0;0;0
01.06.2020 12:00;0;0;0;0;0;0;0;0
01.06.2020 13:00;0;0;0;0;0;0;0;0
01.06.2020 14:00;2;1200;1;600;0;0;0;0
01.06.2020 15:00;1;600;1;600;0;0;0;0
01.06.2020 16:00;0;0;0;0;0;0;0;0
01.06.2020 17:00;4;3600;1;600;0;0;0;0
01.06.2020 18:00;1;600;1;600;1;600;2;1800
01.06.2020 19:00;0;0;0;0;0;0;0;0
01.06.2020 20:00;1;600;1;0;3;2400;3;2400
01.06.2020 21:00;0;0;0;0;0;0;0;0
01.06.2020 22:00;0;0;0;0;0;0;0;0
01.06.2020 23:00;0;0;0;0;0;0;0;0
02.06.2020 00:00;0;0;0;0;0;0;0;0
02.06.2020 01:00;0;0;0;0;0;0;0;0
02.06.2020 02:00;0;0;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;0;0
02.06.2020 04:00;0;0;0;0;0;0;0;0
02.06.2020 05:00;0;0;0;0;0;0;0;0
02.06.2020 06:00;0;0;0;0;0;0;0;0
02.06.2020 07:00;0;0;0;0;0;0;0;0
02.06.2020 08:00;0;0;2;1200;0;0;0;0
02.06.2020 09:00;0;0;0;0;1;600;0;0
02.06.2020 10:00;1;600;0;0;0;0;0;0
02.06.2020 11:00;0;0;0;0;0;0;0;0
02.06.2020 12:00;0;0;0;0;0;0;0;0
02.06.2020 13:00;1;600;0;0;0;0;0;0
02.06.2020 14:00;0;0;1;600;0;0;0;0
02.06.2020 15:00;0;0;0;0;1;600;1;600
02.06.2020 16:00;3;1800;1;600;0;0;0;0
02.06.2020 17:00;3;3000;1;600;3;3000;0;0
02.06.2020 18:00;2;1200;2;1200;2;1200;0;0
02.06.2020 19:00;0;0;0;0;0;0;0;0
02.06.2020 20:00;4;3600;2;1800;0;0;0;0
02.06.2020 21:00;0;0;0;0;0;0;0;0
02.06.2020 22:00;0;0;0;0;0;0;0;0
02.06.2020 23:00;0;0;0;0;0;0;0;0
03.06.2020 00:00;0;0;0;0;0;0;0;0
03.06.2020 01:00;0;0;0;0;0;0;0;0
03.06.2020 02:00;0;0;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;0;0;0;0;0
03.06.2020 04:00;0;0;0;0;0;0;0;0
03.06.2020 05:00;0;0;0;0;0;0;0;0
03.06.2020 06:00;0;0;0;0;0;0;0;0
03.06.2020 07:00;0;0;0;0;1;600;0;0
03.06.2020 08:00;2;1800;0;0;0;0;0;0
03.06.2020 09:00;1;600;0;0;0;0;0;0
03.06.2020 10:00;0;0;1;600;1;600;0;0
03.06.2020 11:00;0;0;0;0;0;0;0;0
03.06.2020 12:00;4;3600;1;600;1;600;1;600
03.06.2020 13:00;3;1800;0;0;2;1800;0;0
03.06.2020 14:00;0;0;0;0;2;1200;1;600
03.06.2020 15:00;3;1800;2;1200;1;600;0;0
03.06.2020 16:00;12;10800;4;3000;2;1200;1;600
03.06.2020 17:00;0;0;0;0;1;600;0;0
03.06.2020 18:00;2;1200;2;1200;5;4200;3;2400
03.06.2020 19:00;0;0;2;1800;0;0;0;0
03.06.2020 20:00;0;0;0;0;0;0;1;600
03.06.2020 21:00;0;0;1;600;0;0;0;0
03.06.2020 22:00;0;0;0;0;0;0;0;0
03.06.2020 23:00;0;0;0;0;0;0;0;0
04.06.2020 00:00;0;0;0;0;0;0;0;0
04.06.2020 01:00;0;0;0;0;0;0;0;0
04.06.2020 02:00;0;0;0;0;0;0;0;0
04.06.2020 03:00;0;0;0;0;0;0;0;0
04.06.2020 04:00;0;0;0;0;0;0;0;0
04.06.2020 05:00;0;0;0;0;0;0;0;0
04.06.2020 06:00;0;0;0;0;0;0;0;0
04.06.2020 07:00;0;0;0;0;0;0;0;0
04.06.2020 08:00;4;3600;2;1200;0;0;0;0
04.06.2020 09:00;0;0;0;0;0;0;0;0
04.06.2020 10:00;0;0;0;0;0;0;1;600
04.06.2020 11:00;0;0;2;1800;0;0;0;0
04.06.2020 12:00;0;0;0;0;0;0;0;0
04.06.2020 13:00;0;0;0;0;0;0;0;0
04.06.2020 14:00;1;600;1;600;0;0;1;600
04.06.2020 15:00;9;8400;0;0;0;0;2;1200
04.06.2020 16:00;0;0;0;0;1;600;0;0
04.06.2020 17:00;2;1200;0;0;1;600;1;600
04.06.2020 18:00;0;0;0;0;3;1800;0;0
04.06.2020 19:00;0;0;0;0;1;600;0;0
04.06.2020 20:00;0;0;0;0;0;0;0;0
04.06.2020 21:00;0;0;2;1200;1;600;1;600
04.06.2020 22:00;0;0;0;0;0;0;0;0
04.06.2020 23:00;0;0;0;0;0;0;0;0
05.06.2020 00:00;0;0;0;0;0;0;0;0
05.06.2020 01:00;0;0;0;0;0;0;0;0
05.06.2020 02:00;0;0;0;0;0;0;0;0
05.06.2020 03:00;0;0;0;0;0;0;0;0
05.06.2020 04:00;0;0;0;0;0;0;0;0
05.06.2020 05:00;0;0;0;0;0;0;0;0
05.06.2020 06:00;0;0;0;0;0;0;0;0
05.06.2020 07:00;0;0;0;0;0;0;0;0
05.06.2020 08:00;0;0;0;0;0;0;0;0
05.06.2020 09:00;0;0;1;600;1;600;1;600
05.06.2020 10:00;0;0;1;600;0;0;1;600
05.06.2020 11:00;1;600;0;0;0;0;0;0
05.06.2020 12:00;1;600;2;1200;0;0;0;0
05.06.2020 13:00;0;0;0;0;1;600;0;0
05.06.2020 14:00;0;0;0;0;0;0;0;0
05.06.2020 15:00;1;600;0;0;1;600;0;0
05.06.2020 16:00;0;0;0;0;0;0;0;0
05.06.2020 17:00;0;0;0;0;0;0;0;0
05.06.2020 18:00;8;7800;0;0;0;0;0;0
05.06.2020 19:00;0;0;0;0;0;0;0;0
05.06.2020 20:00;0;0;0;0;0;0;0;0
05.06.2020 21:00;0;0;0;0;0;0;0;0
05.06.2020 22:00;0;0;0;0;0;0;0;0
05.06.2020 23:00;0;0;0;0;0;0;0;0
06.06.2020 00:00;0;0;0;0;0;0;0;0
06.06.2020 01:00;0;0;0;0;0;0;0;0
06.06.2020 02:00;0;0;0;0;0;0;0;0
06.06.2020 03:00;0;0;0;0;0;0;0;0
06.06.2020 04:00;0;0;0;0;0;0;0;0
06.06.2020 05:00;0;0;0;0;0;0;0;0
06.06.2020 06:00;0;0;0;0;0;0;0;0
06.06.2020 07:00;0;0;0;0;0;0;0;0
06.06.2020 08:00;0;0;0;0;0;0;0;0
06.06.2020 09:00;0;0;1;600;0;0;0;0
06.06.2020 10:00;0;0;0;0;0;0;0;0
06.06.2020 11:00;0;0;0;0;0;0;0;0
06.06.2020 12:00;0;0;2;1200;0;0;0;0
06.06.2020 13:00;0;0;0;0;0;0;0;0
06.06.2020 14:00;0;0;0;0;0;0;0;0
06.06.2020 15:00;0;0;0;0;0;0;0;0
06.06.2020 16:00;2;1800;2;1800;1;600;0;0
06.06.2020 17:00;1;600;3;2400;1;600;1;600
06.06.2020 18:00;1;600;0;0;0;0;0;0
06.06.2020 19:00;0;0;0;0;3;2400;1;600
06.06.2020 20:00;0;0;0;0;0;0;0;0
06.06.2020 21:00;0;0;0;0;0;0;0;0
06.06.2020 22:00;0;0;0;0;0;0;0;0
06.06.2020 23:00;0;0;0;0;0;0;0;0
