01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D41;Vwz_D41;Bel_D42;Vwz_D42;Bel_MP1;Vwz_MP1
01.06.2020 00:00;7;5280;0;0;0;0;2;4040
01.06.2020 01:00;3;2690;0;0;0;0;0;0
01.06.2020 02:00;3;2600;0;0;0;0;0;0
01.06.2020 03:00;2;1390;0;0;0;0;0;0
01.06.2020 04:00;1;950;0;0;0;0;0;0
01.06.2020 05:00;2;1800;0;0;0;0;0;0
01.06.2020 06:00;4;9530;0;0;0;0;2;4040
01.06.2020 07:00;2;1660;0;0;0;0;2;4030
01.06.2020 08:00;2;1460;0;0;0;0;2;4020
01.06.2020 09:00;11;11160;0;0;0;0;2;4030
01.06.2020 10:00;16;16410;0;0;0;0;2;4040
01.06.2020 11:00;22;25417;0;0;0;0;2;4030
01.06.2020 12:00;35;35250;0;0;0;0;3;6050
01.06.2020 13:00;32;30820;0;0;0;0;4;8060
01.06.2020 14:00;33;32840;0;0;0;0;4;8070
01.06.2020 15:00;44;156199;0;0;0;0;4;8070
01.06.2020 16:00;20;15700;0;0;0;0;4;8050
01.06.2020 17:00;26;74070;0;0;0;0;4;8070
01.06.2020 18:00;28;28050;0;0;0;0;4;8060
01.06.2020 19:00;24;45890;0;0;0;0;4;8060
01.06.2020 20:00;23;23630;0;0;0;0;2;4030
01.06.2020 21:00;16;50111;0;0;0;0;2;4020
01.06.2020 22:00;17;14211;0;0;0;0;2;4030
01.06.2020 23:00;8;12450;0;0;0;0;2;4040
02.06.2020 00:00;6;6510;0;0;0;0;2;4030
02.06.2020 01:00;6;4300;0;0;0;0;0;0
02.06.2020 02:00;2;1560;0;0;0;0;0;0
02.06.2020 03:00;0;0;0;0;0;0;1;2020
02.06.2020 04:00;4;2480;0;0;0;0;0;0
02.06.2020 05:00;6;4060;0;0;0;0;3;6060
02.06.2020 06:00;24;145190;0;0;0;0;6;12110
02.06.2020 07:00;58;169660;0;0;0;0;5;10090
02.06.2020 08:00;58;139600;0;0;0;0;6;12090
02.06.2020 09:00;49;252250;0;0;0;0;5;10080
02.06.2020 10:00;53;197792;0;0;0;0;6;12110
02.06.2020 11:00;60;138883;0;0;0;0;6;12090
02.06.2020 12:00;58;175952;0;0;0;0;6;12100
02.06.2020 13:00;61;278300;0;0;0;0;6;12090
02.06.2020 14:00;75;396601;0;0;0;0;6;12110
02.06.2020 15:00;77;297760;0;0;0;0;6;12080
02.06.2020 16:00;94;577197;0;0;0;0;5;10090
02.06.2020 17:00;106;477459;0;0;0;0;6;12100
02.06.2020 18:00;90;489529;0;0;0;0;6;12090
02.06.2020 19:00;35;224771;0;0;0;0;3;6030
02.06.2020 20:00;21;25360;0;0;0;0;3;6040
02.06.2020 21:00;13;56810;0;0;0;0;3;6050
02.06.2020 22:00;24;22390;0;0;0;0;3;6060
02.06.2020 23:00;10;11440;0;0;0;0;1;2010
03.06.2020 00:00;4;2580;0;0;0;0;2;4030
03.06.2020 01:00;7;4640;0;0;0;0;0;0
03.06.2020 02:00;1;1410;0;0;0;0;0;0
03.06.2020 03:00;0;0;0;0;0;0;1;2020
03.06.2020 04:00;3;2760;0;0;0;0;0;0
03.06.2020 05:00;6;5060;0;0;0;0;3;6040
03.06.2020 06:00;17;13390;0;0;0;0;6;12090
03.06.2020 07:00;61;281960;0;0;0;0;5;10090
03.06.2020 08:00;66;265104;0;0;0;0;6;12110
03.06.2020 09:00;64;454327;0;0;0;0;6;12110
03.06.2020 10:00;45;263969;0;0;0;0;6;12090
03.06.2020 11:00;42;109130;0;0;0;0;6;12110
03.06.2020 12:00;58;164262;0;0;0;0;6;12100
03.06.2020 13:00;56;249563;0;0;0;0;6;12100
03.06.2020 14:00;66;411412;0;0;0;0;6;12090
